tick,firm_id,firm_type,reason,cash_before_exit,revenue_this_tick,wages_this_tick,commercial_rent_this_tick,capital_rental_this_tick,process_rental_this_tick,input_cost_this_tick,profit_this_tick,worker_count,capital_units,process_count,commercial_units
119,7,5,negative_cash,-9.313572530336742,0.0,19.83378069737407,4.479004150200072,0.5,0.6,15.83207127913808,-41.24485612671222,2,2,1,1
126,8,3,negative_cash,-2.1700576462680274,0.0,20.274299711205295,2.9109782822695958,0.5,0.6,21.25723667725851,-45.542514670733404,2,2,1,1
128,9,6,negative_cash,-33.315633519130586,0.0,18.915791360221867,4.582502852004287,0.5,0.6,12.289313538434754,-36.88760775066091,2,2,1,1
153,10,4,negative_cash,-4.531987730750316,0.0,19.08566152775842,3.639504036802617,0.5,0.6,17.25606690065937,-41.08123246522041,2,2,1,1
161,11,4,negative_cash,-7.089875225079567,0.0,18.147192825130777,3.438448112448277,0.5,0.6,19.462324379826637,-42.14796531740569,2,2,1,1
192,12,3,negative_cash,-23.662105786666736,0.0,18.278235882940123,2.6644825080549106,0.5,0.6,24.589825468616628,-46.63254385961166,2,2,1,1
218,14,3,negative_cash,-18.555594200383936,0.0,19.848319831939808,2.566222753003258,0.5,0.6,21.448578822050493,-44.963121406993565,2,2,1,1
239,6,6,negative_cash,-517.4863139544002,787.1429372628126,1471.754432145052,70.98413563004503,2.75,6.6,277.19472572465037,-1042.1403562369348,127,11,11,8
249,13,1,negative_cash,-12.122774460318283,0.0,32.043493306594826,1.954954004209378,0.5,0.6,0.0,-35.098447310804204,3,2,1,1
252,5,5,negative_cash,-40.31051760628429,1321.9127845929975,1917.9198504613814,84.78194588063283,3.0,7.199999999999999,410.6431001283275,-1101.6321118773444,169,12,12,6
257,17,4,negative_cash,-24.45506645360659,0.0,19.181571239452627,3.8339314657146226,0.5,0.6,24.54353959120276,-48.65904229637001,2,2,1,1
266,18,4,negative_cash,-6.059736260537633,0.0,18.899076617642393,3.398905665134904,0.5,0.6,18.621929795672887,-42.01991207845019,2,2,1,1
294,19,1,negative_cash,-34.54350471087495,0.0,31.5598068647608,2.497809074615729,0.5,0.6,0.0,-35.157615939376534,3,2,1,1
323,4,4,negative_cash,-328.66335612627665,210.25192369245744,311.33200999589013,12.05341297834946,3.75,9.0,212.89425771286034,-338.77775699464246,35,15,15,7
332,3,3,negative_cash,-21.04707388435611,0.0,48.0,5.0,1.5,0.6,59.56248851324656,-114.66248851324656,6,6,1,5
443,22,1,negative_cash,-6.300961057755806,0.0,21.85499083589187,2.3052013756592946,0.5,0.6,0.0,-25.260192211551164,2,2,1,1
450,16,5,negative_cash,-17.949798037851792,552.411122298528,541.2087659454955,52.191616398669254,2.25,5.3999999999999995,362.7053258049766,-411.34458585061344,64,9,9,7
461,26,1,negative_cash,-10.799301103239685,0.0,18.7502850858696,1.949598431337017,0.5,0.6,0.0,-21.799883517206617,2,2,1,1
465,15,6,negative_cash,-778.2659219075038,782.8181259879663,1246.22082940523,57.972315269462236,2.5,6.0,418.1899424492314,-948.0649611359574,135,10,10,6
465,27,1,negative_cash,-31.39198147248377,0.0,31.399217155053954,2.732779757026671,0.5,0.6,0.0,-35.231996912080625,3,2,1,1
494,31,2,negative_cash,-16.061722289293073,0.0,27.052537631270567,2.3036157590551993,0.5,0.6,0.0,-30.456153390325767,3,2,1,1
499,30,2,negative_cash,-37.51168447390528,0.0,48.71013619752617,2.485280150607924,0.5,0.6,0.0,-52.29541634813409,5,2,1,1
514,20,4,negative_cash,-276.5747349100785,52.30630562517938,187.40279862235133,15.861887180835646,2.0,4.8,138.10214910800804,-295.86052928601566,23,8,8,6
