"metric","value"
"ticks",2000
"firm_rows",302474
"unique_firms",4575
"final_active_firms",149
"final_total_revenue",1620.75943776078
"final_mean_revenue",10.8775801191999
"final_cv_revenue",1.18496472835852
"final_zero_revenue_share",0
"final_sold_out_share",0.523489932885906
"mean_total_revenue",4349.79638585849
"cv_total_revenue_over_time",0.757986158214339
"median_firm_cv_revenue",0.979926206936626
"median_firm_zero_revenue_share",1
"median_firm_lag1_revenue_corr",0.934326573620885
"mean_revenue_gini",0.410390545156802
"share_firms_lifetime_1_tick",0.967213114754098
"share_firms_lifetime_le_5_ticks",0.967213114754098
"share_firms_lifetime_ge_100_ticks",0.032568306010929
"continuing_firms_ge_100_ticks",149
"continuing_firm_median_cv_revenue",0.980519015281503
"continuing_firm_median_zero_revenue_share",0
