"metric","value"
"ticks",2000
"firm_rows",601504
"unique_firms",6635
"final_active_firms",416
"final_total_revenue",102560.605977377
"final_mean_revenue",246.539918214848
"final_cv_revenue",0.93677159917506
"final_zero_revenue_share",0.0673076923076923
"final_sold_out_share",0.552884615384615
"mean_total_revenue",97946.6129017911
"cv_total_revenue_over_time",0.286463714478083
"median_firm_cv_revenue",0.492182272555527
"median_firm_zero_revenue_share",1
"median_firm_lag1_revenue_corr",0.805299789978001
"mean_revenue_gini",0.454464726879967
"share_firms_lifetime_1_tick",0.793820648078372
"share_firms_lifetime_le_5_ticks",0.815523737754333
"share_firms_lifetime_ge_100_ticks",0.0831951770911831
"continuing_firms_ge_100_ticks",552
"continuing_firm_median_cv_revenue",0.689129946667011
"continuing_firm_median_zero_revenue_share",0.0122866271683208
