tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
5000.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,4.0,4.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0
5000.0,5.0,5.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,7.0,7.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,8.0,8.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,9.0,9.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,10.0,10.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,11.0,11.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,12.0,12.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0
5000.0,13.0,13.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,14.0,14.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0
5000.0,15.0,15.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,16.0,16.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,17.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,18.0,18.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,19.0,19.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,20.0,20.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,21.0,21.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,22.0,22.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,23.0,23.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,24.0,24.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,25.0,25.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,26.0,26.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,27.0,27.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,28.0,28.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,29.0,29.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,30.0,30.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,31.0,31.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,32.0,32.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,33.0,33.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,34.0,34.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,35.0,35.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,36.0,36.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,37.0,37.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,38.0,38.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,39.0,39.0,1.0,4.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0
5000.0,40.0,40.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,41.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,42.0,2.0,2.0,4.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0
5000.0,43.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,44.0,4.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,45.0,5.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,46.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,47.0,7.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,48.0,8.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,49.0,9.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,50.0,10.0,2.0,6.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0
5000.0,51.0,11.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,52.0,12.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,53.0,13.0,2.0,4.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0
5000.0,54.0,14.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,55.0,15.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,56.0,16.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,57.0,17.0,2.0,4.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0
5000.0,58.0,18.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,59.0,19.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0
5000.0,60.0,20.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,61.0,21.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
5000.0,62.0,22.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
5000.0,63.0,23.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,64.0,24.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,65.0,25.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,66.0,26.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
5000.0,67.0,27.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
