tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
250.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.459623545880563,1.0
250.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.1512376507598054,1.325427209077791
250.0,4.0,4.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,1.092727,1.0
250.0,5.0,5.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0609,1.0
250.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.3070434240612074,1.0
250.0,7.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
250.0,8.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0
250.0,9.0,9.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,1.3404146772736572,1.0
250.0,10.0,10.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.3758351832223235,7717.545932208176
250.0,11.0,11.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,1.286749200378677,1.0
250.0,12.0,12.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0795072238676628,1.0
250.0,13.0,13.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
250.0,14.0,14.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.3439163793441222,1.0
250.0,15.0,15.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
250.0,16.0,16.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
250.0,17.0,17.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0
250.0,18.0,18.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
250.0,19.0,19.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
250.0,20.0,20.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0
250.0,21.0,21.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
250.0,22.0,22.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
250.0,23.0,23.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
250.0,24.0,24.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0
