tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
50.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.335183837527266,1.0
50.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.1623304993531192,2.0119406510987696
50.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.8816642883476435,1.0
50.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.388617228539014,1.0
50.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.1592740743,1.0
50.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.1592740743,1.0
50.0,8.0,8.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0
50.0,9.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,10.0,10.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,11.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0609,1.0
50.0,12.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.419760008687643,1.0
50.0,13.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.4647025891337637,1.0
50.0,14.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,15.0,5.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0
50.0,16.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,17.0,7.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0394279504271802
50.0,18.0,8.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,19.0,9.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,20.0,10.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,21.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.092727,1.0
50.0,22.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
50.0,23.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0355642555064217,1.0
50.0,24.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,25.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,26.0,6.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,27.0,7.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,28.0,8.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,29.0,9.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,30.0,10.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,31.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.101310370585,1.0
50.0,32.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.1255088100000001,1.0
50.0,33.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.1592740743,20.37954172671411
50.0,34.0,4.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,1.117862093421171,1.0
50.0,35.0,5.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,36.0,6.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
50.0,37.0,7.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,38.0,8.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,39.0,9.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.1775577984058931,1.0
50.0,40.0,10.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,41.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
50.0,42.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,43.0,3.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,1.2110050046640923,1.0
50.0,44.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.03,1.0
50.0,45.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,46.0,6.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
50.0,47.0,7.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
50.0,48.0,8.0,5.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0
50.0,49.0,9.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
50.0,50.0,10.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,51.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,2.6022754316465746,20.3306827375251
50.0,52.0,2.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
50.0,53.0,3.0,6.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0776321976174223,1.0
50.0,54.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.2298738654248702,1.0
50.0,55.0,5.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
50.0,56.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0618401131586246,1.0
50.0,57.0,7.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
50.0,58.0,8.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.031792148603222,1.0
50.0,59.0,9.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,1.1255088100000001,1.0
