"tick","population","employed","unemployed","housed","unhoused","residential_units","vacant_residential_units","commercial_units","vacant_commercial_units","active_firms","firm_job_vacancies","firms_with_job_vacancies","committed_output","realized_sales","unsold_output","sold_out_firms","mean_wage","mean_residential_rent","mean_commercial_rent","mean_goods_price","housing_excess_supply","housing_excess_demand","labor_excess_supply","labor_excess_demand","commercial_space_excess_supply","goods_excess_supply","housing_vacancy_rate","commercial_vacancy_rate","goods_unsold_rate","employment_rate","housing_rate"
1,2015,1807,208,1201,814,1615,414,1602,1482,120,353,80,2068,686,1382,0,9.93891898609565,2.40922599271766,5.10161278631095,4.96412092743186,414,814,208,353,1482,1382,0.256346749226006,0.925093632958802,0.668278529980658,0.896774193548387,0.596029776674938
2,2025,1751,274,1219,806,1625,406,1605,1483,120,409,81,2125,1045,1080,8,9.94432043995742,2.43032269487935,4.375622772701,4.92469284217239,406,806,274,409,1483,1080,0.249846153846154,0.92398753894081,0.508235294117647,0.864691358024691,0.601975308641975
3,2038,1671,367,1221,817,1640,419,1607,1484,120,489,80,2151,1205,946,12,9.96828112677597,2.45278657954261,3.75933030335668,4.89494550546159,419,817,367,489,1484,946,0.255487804878049,0.923459863098942,0.439795443979544,0.819921491658489,0.599116781157998
4,2048,1564,484,1215,833,1649,434,1609,1483,120,596,78,2136,1265,871,16,9.97888007387134,2.47471114887184,3.23553258675114,4.86079805585722,434,833,484,596,1483,871,0.263189812007277,0.921690490988191,0.407771535580524,0.763671875,0.59326171875
5,2062,1537,525,1206,856,1667,461,1609,1483,120,623,79,2041,1247,794,24,9.99074592805752,2.49607388126829,2.79060600608484,4.8313212444282,461,856,525,623,1483,794,0.276544691061788,0.921690490988191,0.389024987751102,0.745392822502425,0.584869059165858
6,2070,1507,563,1198,872,1682,484,1610,1482,120,653,81,2032,1244,788,21,10.0434108693931,2.51539949981516,2.4125593643613,4.80966394764874,484,872,563,653,1482,788,0.287752675386445,0.920496894409938,0.387795275590551,0.728019323671498,0.578743961352657
7,2088,1500,588,1175,913,1703,528,1604,1476,120,660,81,2010,1261,749,21,10.0805229322817,2.53037599900431,2.09112264117659,4.79508992586371,528,913,588,660,1476,749,0.310041103934234,0.920199501246883,0.372636815920398,0.718390804597701,0.562739463601533
8,2099,1505,594,1180,919,1719,539,1600,1471,120,655,81,2019,1244,775,17,10.1082631954825,2.54286162882586,1.81915200257888,4.76182920163223,539,919,594,655,1471,775,0.313554392088424,0.919375,0.383853392768697,0.717008099094807,0.562172463077656
9,2114,1494,620,1175,939,1730,555,1596,1467,120,666,88,2046,1264,782,14,10.1509105615548,2.55398483321761,1.58822441699529,4.72477939535214,555,939,620,666,1467,782,0.320809248554913,0.919172932330827,0.382209188660802,0.706717123935667,0.555818353831599
10,2131,1534,597,1185,946,1746,561,1589,1460,120,626,85,2035,1299,736,19,10.2058399080266,2.56549447487579,1.39563396704709,4.69480934484518,561,946,597,626,1460,736,0.321305841924399,0.91881686595343,0.361670761670762,0.71984983575786,0.556076959174097
11,2138,1546,592,1177,961,1764,587,1586,1457,120,614,84,2079,1306,773,15,10.2815047539223,2.57391348723759,1.26542586237662,4.65978295322624,587,961,592,614,1457,773,0.332766439909297,0.918663303909206,0.371813371813372,0.72310570626754,0.550514499532273
12,2153,1558,595,1185,968,1782,597,1582,1453,120,602,84,2084,1353,731,16,10.3397282037114,2.58066845235117,1.20417397696984,4.62708750176426,597,968,595,602,1453,731,0.335016835016835,0.918457648546144,0.350767754318618,0.723641430562006,0.55039479795634
13,2165,1524,641,1187,978,1798,611,1577,1447,120,636,88,2096,1374,722,17,10.3735727760502,2.58558197712092,1.19694176380949,4.60522142650514,611,978,641,636,1447,722,0.339822024471635,0.917564996829423,0.344465648854962,0.70392609699769,0.548267898383372
14,2174,1505,669,1186,988,1817,631,1573,1441,120,655,89,2075,1333,742,16,10.4433566735868,2.58858746140718,1.19573252488811,4.57796924133286,631,988,669,655,1441,742,0.347275729223996,0.916083916083916,0.357590361445783,0.692272309107636,0.545538178472861
15,2186,1500,686,1198,988,1827,629,1570,1437,120,660,87,2057,1318,739,19,10.5025442773393,2.59005950124678,1.19465672195334,4.54790924987507,629,988,686,660,1437,739,0.344280240831965,0.915286624203822,0.359261059795819,0.686184812442818,0.548032936870997
16,2193,1449,744,1206,987,1844,638,1568,1435,120,711,92,2063,1321,742,25,10.5565914932931,2.59067083616164,1.19363141278962,4.51949611122767,638,987,744,711,1435,742,0.345986984815618,0.915178571428571,0.35967038293747,0.660738714090287,0.549931600547196
17,2210,1417,793,1189,1021,1861,672,1561,1428,120,743,94,2030,1292,738,26,10.6082892938779,2.58829755178317,1.19259241375859,4.48698877290766,672,1021,793,743,1428,738,0.361096184846857,0.914798206278027,0.363546798029557,0.641176470588235,0.538009049773756
18,2226,1430,796,1203,1023,1878,675,1555,1421,120,730,89,2006,1258,748,26,10.6673505609991,2.58602319548763,1.19178563836652,4.46672894913416,675,1023,796,730,1421,748,0.359424920127796,0.913826366559486,0.372881355932203,0.64240790655885,0.540431266846361
19,2239,1455,784,1212,1027,1891,679,1550,1416,120,705,89,2032,1286,746,19,10.726232821756,2.58344165129596,1.1907731990325,4.46829401045777,679,1027,784,705,1416,746,0.3590692755156,0.913548387096774,0.367125984251969,0.649843680214381,0.541313086199196
20,2254,1473,781,1217,1037,1904,687,1550,1415,120,687,91,2037,1326,711,26,10.7827634636175,2.58018852250948,1.18996644291981,4.43969734648486,687,1037,781,687,1415,711,0.360819327731092,0.912903225806452,0.349042709867452,0.653504880212955,0.539929015084295
21,2264,1441,823,1209,1055,1925,716,1541,1406,120,719,86,2064,1382,682,25,10.834903011635,2.57496277637473,1.18908527984179,4.4164791546474,716,1055,823,719,1406,682,0.371948051948052,0.91239454899416,0.330426356589147,0.636484098939929,0.534010600706714
22,2290,1454,836,1230,1060,1936,706,1535,1399,120,706,87,2018,1347,671,28,10.9439036424695,2.56978823031097,1.18825289618097,4.397867747176,706,1060,836,706,1399,671,0.364669421487603,0.911400651465798,0.332507433102081,0.634934497816594,0.537117903930131
23,2303,1470,833,1245,1058,1950,705,1532,1394,120,690,82,2024,1377,647,25,11.0231699022413,2.5649881551266,1.18775824809229,4.38312668824894,705,1058,833,690,1394,647,0.361538461538462,0.909921671018277,0.319664031620553,0.638297872340426,0.540599218410769
24,2314,1506,808,1250,1064,1962,712,1527,1387,120,654,87,2042,1396,646,30,11.1038484373443,2.56008039884295,1.18665694027455,4.36823572275957,712,1064,808,654,1387,646,0.36289500509684,0.908316961362148,0.316356513222331,0.650821089023336,0.54019014693172
25,2320,1540,780,1268,1052,1978,710,1520,1380,120,620,85,2094,1478,616,26,11.1807007085217,2.55539457308534,1.18529747533117,4.35546713326954,710,1052,780,620,1380,616,0.358948432760364,0.907894736842105,0.294173829990449,0.663793103448276,0.546551724137931
26,2332,1577,755,1290,1042,1998,708,1515,1375,120,583,82,2135,1516,619,32,11.248213009801,2.55236806759335,1.18417348164228,4.3468864642161,708,1042,755,583,1375,619,0.354354354354354,0.907590759075908,0.289929742388759,0.676243567753002,0.553173241852487
27,2344,1605,739,1326,1018,2017,691,1513,1373,120,555,83,2167,1573,594,29,11.3019620094948,2.55010683775757,1.18328028549374,4.32843545477668,691,1018,739,555,1373,594,0.342588001983143,0.907468605419696,0.274111675126904,0.684726962457338,0.565699658703072
28,2353,1593,760,1352,1001,2026,674,1513,1373,120,567,82,2205,1609,596,35,11.3374532219373,2.54933881224345,1.1826232330619,4.2992663611188,674,1001,760,567,1373,596,0.332675222112537,0.907468605419696,0.270294784580499,0.67700807479813,0.574585635359116
29,2366,1581,785,1369,997,2040,671,1508,1366,121,597,86,2196,1577,619,30,11.4115407209829,2.54848039876333,1.18231319399208,4.28489854656869,671,997,785,597,1366,619,0.328921568627451,0.905835543766578,0.281876138433515,0.66821639898563,0.578613693998309
30,2377,1579,798,1383,994,2052,669,1503,1360,122,617,91,2192,1589,603,34,11.428737737046,2.54889050614529,1.18207231442857,4.26541421435266,669,994,798,617,1360,603,0.326023391812865,0.904856952761144,0.275091240875912,0.664282709297434,0.58182583087926
31,2388,1604,784,1391,997,2068,677,1498,1355,122,592,84,2197,1619,578,38,11.5418903963247,2.54827247917916,1.18175594863993,4.24701438439981,677,997,784,592,1355,578,0.327369439071567,0.904539385847797,0.263086026399636,0.671691792294807,0.58249581239531
32,2397,1590,807,1387,1010,2079,692,1495,1352,122,606,86,2211,1640,571,41,11.609284770508,2.54604977799396,1.18112386724281,4.23238128490108,692,1010,807,606,1352,571,0.332852332852333,0.904347826086957,0.258254183627318,0.663329161451815,0.578639966624948
33,2404,1642,762,1410,994,2096,686,1488,1346,121,536,83,2206,1661,545,42,11.7052518243409,2.54602973341165,1.18054291040487,4.20820665552609,686,994,762,536,1346,545,0.327290076335878,0.904569892473118,0.247053490480508,0.683028286189684,0.586522462562396
34,2416,1623,793,1446,970,2111,665,1488,1345,121,555,78,2253,1738,515,42,11.7236570041117,2.54794455731531,1.17977043855874,4.19696642653679,665,970,793,555,1345,515,0.315016579819991,0.903897849462366,0.228584110075455,0.671771523178808,0.598509933774834
35,2424,1619,805,1459,965,2120,661,1487,1343,121,559,73,2244,1716,528,42,11.8065750404621,2.55067285327317,1.17816302728391,4.18953816721886,661,965,805,559,1343,528,0.311792452830189,0.903160726294553,0.235294117647059,0.667904290429043,0.601897689768977
36,2438,1660,778,1480,958,2134,654,1485,1341,121,518,76,2241,1731,510,48,11.8803973699836,2.55447877017073,1.17648924599114,4.18025911909603,654,958,778,518,1341,510,0.306466729147142,0.903030303030303,0.227576974564926,0.680885972108285,0.607054963084495
37,2452,1700,752,1498,954,2143,645,1487,1340,124,532,77,2277,1796,481,47,11.942643806814,2.55962950001043,1.17568545276509,4.19838312571721,645,954,752,532,1340,481,0.300979934671022,0.901143241425689,0.211242863416776,0.693311582381729,0.610929853181077
38,2464,1677,787,1511,953,2155,644,1483,1335,124,555,81,2324,1871,453,46,11.9916298336547,2.56314758450456,1.17452346162561,4.17023893372322,644,953,787,555,1335,453,0.298839907192575,0.900202292650034,0.194922547332186,0.680600649350649,0.613230519480519
39,2477,1695,782,1522,955,2161,639,1484,1333,127,591,79,2300,1855,445,49,12.0440529581449,2.56763579838599,1.17344023959966,4.1850054883851,639,955,782,591,1333,445,0.295696436834799,0.898247978436658,0.193478260869565,0.684295518772709,0.614452967299152
