"tick","population","employed","unemployed","housed","unhoused","residential_units","vacant_residential_units","commercial_units","vacant_commercial_units","active_firms","firm_job_vacancies","firms_with_job_vacancies","committed_output","realized_sales","unsold_output","sold_out_firms","mean_wage","mean_residential_rent","mean_commercial_rent","mean_goods_price","housing_excess_supply","housing_excess_demand","labor_excess_supply","labor_excess_demand","commercial_space_excess_supply","goods_excess_supply","housing_vacancy_rate","commercial_vacancy_rate","goods_unsold_rate","employment_rate","housing_rate"
1,2009,1753,256,1209,800,1615,406,1604,1484,120,407,79,2068,700,1368,0,9.91869155442687,2.41060558704768,5.15197667086897,4.96412092743186,406,800,256,407,1484,1368,0.251393188854489,0.925187032418953,0.661508704061896,0.872573419611747,0.60179193628671
2,2019,1638,381,1210,809,1627,417,1605,1485,120,522,85,2073,1032,1041,10,9.92248201352048,2.43147434171222,4.4264879777472,4.93424592250247,417,809,381,522,1485,1041,0.256299938537185,0.925233644859813,0.502170767004341,0.811292719167905,0.599306587419515
3,2037,1594,443,1209,828,1644,435,1607,1486,120,566,85,2022,1116,906,16,9.96571523121879,2.45322188431216,3.80950027766549,4.90331492375428,435,828,443,566,1486,906,0.264598540145985,0.924704418170504,0.448071216617211,0.782523318605793,0.593519882179676
4,2049,1538,511,1179,870,1657,478,1610,1488,120,622,78,2052,1178,874,19,9.99736545007698,2.47115018497671,3.28515279058278,4.86807287302877,478,870,511,622,1488,874,0.288473144236572,0.924223602484472,0.425925925925926,0.750610053684724,0.575402635431918
5,2063,1492,571,1174,889,1664,490,1612,1489,120,668,80,2014,1197,817,19,10.0123011747619,2.48749598638555,2.84114404734251,4.83380513044013,490,889,571,668,1489,817,0.294471153846154,0.923697270471464,0.405660377358491,0.723218613669413,0.569074163839069
6,2076,1474,602,1146,930,1677,531,1614,1490,120,686,79,2000,1202,798,17,10.0519168768024,2.50042946303723,2.46301738499905,4.79437944950014,531,930,602,686,1490,798,0.316636851520572,0.923172242874845,0.399,0.710019267822736,0.552023121387283
7,2089,1447,642,1128,961,1692,564,1612,1486,120,713,83,1990,1180,810,17,10.0777301325342,2.51081325839009,2.14102712907125,4.76654980423597,564,961,642,713,1486,810,0.333333333333333,0.921836228287841,0.407035175879397,0.692675921493538,0.539971278123504
8,2103,1458,645,1132,971,1705,573,1607,1481,120,702,80,1971,1204,767,19,10.116420720686,2.52008568487355,1.86685675100807,4.7338698195274,573,971,645,702,1481,767,0.336070381231672,0.921593030491599,0.389142567224759,0.693295292439372,0.538278649548264
9,2114,1454,660,1130,984,1718,588,1602,1476,120,706,84,1981,1206,775,15,10.1565623877963,2.52780924067005,1.63440522416032,4.70003365191062,588,984,660,706,1476,775,0.342258440046566,0.921348314606742,0.391216557294296,0.687795648060549,0.534531693472091
10,2121,1468,653,1144,977,1735,591,1594,1467,120,692,84,1994,1207,787,18,10.1847715976424,2.53532117111567,1.44084344308287,4.67266030326614,591,977,653,692,1467,787,0.340634005763689,0.920326223337516,0.394684052156469,0.692126355492692,0.539368222536539
11,2129,1478,651,1156,973,1751,595,1590,1462,120,682,85,2015,1233,782,15,10.2080413028229,2.54234052692544,1.31025712801503,4.63881074199126,595,973,651,682,1462,782,0.339805825242718,0.919496855345912,0.388089330024814,0.694222639736966,0.542977923907938
12,2144,1506,638,1160,984,1760,600,1588,1460,120,654,90,2031,1264,767,18,10.290115330788,2.54709875087412,1.24850370755971,4.6174000516351,600,984,638,654,1460,767,0.340909090909091,0.919395465994962,0.377646479566716,0.702425373134328,0.541044776119403
13,2152,1497,655,1169,983,1770,601,1589,1460,120,663,89,2051,1307,744,15,10.3582337934242,2.55167818497164,1.24168139914442,4.58316006715669,601,983,655,663,1460,744,0.33954802259887,0.91881686595343,0.36274987810824,0.695631970260223,0.5432156133829
14,2165,1503,662,1191,974,1787,596,1582,1452,120,657,90,2049,1284,765,15,10.4081314644369,2.55924966793093,1.24137890925558,4.55939531111562,596,974,662,657,1452,765,0.333519865696698,0.917825537294564,0.373352855051244,0.694226327944573,0.550115473441109
15,2177,1539,638,1200,977,1798,598,1580,1449,120,621,85,2071,1316,755,17,10.4624735987949,2.56555529643021,1.24138159480917,4.53172303764827,598,977,638,621,1449,755,0.332591768631813,0.917088607594937,0.364558184451956,0.706936150666054,0.551217271474506
16,2189,1464,725,1217,972,1809,592,1579,1447,120,696,91,2105,1371,734,19,10.4968568314706,2.57162048238651,1.24038511151917,4.49811515723542,592,972,725,696,1447,734,0.327252625760088,0.916402786573781,0.348693586698337,0.668798538145272,0.555961626313385
17,2197,1488,709,1214,983,1819,605,1576,1444,120,672,92,2036,1315,721,17,10.5679897166542,2.57586218747596,1.23918853171315,4.47970020366009,605,983,709,672,1444,721,0.332600329851567,0.916243654822335,0.354125736738703,0.677287209831589,0.552571688666363
18,2209,1512,697,1207,1002,1835,628,1571,1439,120,648,89,2069,1356,713,19,10.6057736909235,2.57803521861619,1.23840659969008,4.44626291860799,628,1002,697,648,1439,713,0.342234332425068,0.915977084659453,0.344610923151281,0.684472612041648,0.546401086464464
19,2217,1540,677,1226,991,1847,621,1572,1438,120,620,91,2105,1400,705,16,10.6790317678239,2.57907342963267,1.23801407949887,4.41568595686509,621,991,677,620,1438,705,0.336220898754737,0.914758269720102,0.334916864608076,0.694632386107352,0.552999548940009
20,2227,1543,684,1239,988,1861,622,1567,1433,120,617,89,2144,1441,703,18,10.7240804049415,2.58024746231135,1.2358388011506,4.39506358544749,622,988,684,617,1433,703,0.334228909188608,0.914486279514997,0.327891791044776,0.692860350246969,0.556353839245622
21,2241,1557,684,1250,991,1879,629,1560,1425,120,603,84,2154,1485,669,15,10.7997602167102,2.58203590418263,1.23417922675913,4.3847776553039,629,991,684,603,1425,669,0.334752527940394,0.913461538461538,0.31058495821727,0.694779116465863,0.557786702365016
22,2251,1559,692,1251,1000,1902,651,1555,1418,120,601,81,2181,1502,679,20,10.8330095386773,2.58218791684914,1.23739532737386,4.36407873393443,651,1000,692,601,1418,679,0.342271293375394,0.911897106109325,0.311325080238423,0.692581075077743,0.555752998667259
23,2258,1571,687,1268,990,1918,650,1553,1415,120,589,83,2198,1507,691,15,10.8785568308164,2.58240047568173,1.23536690237579,4.35118530712198,650,990,687,589,1415,691,0.338894681960375,0.911139729555699,0.314376706096451,0.695748449955713,0.561558901682905
24,2273,1550,723,1263,1010,1933,670,1551,1413,120,610,83,2218,1523,695,22,10.9071699767476,2.58069871817207,1.23277492307019,4.32965904345684,670,1010,723,610,1413,695,0.346611484738748,0.911025145067698,0.313345356176736,0.681918169819622,0.555653321601408
25,2283,1571,712,1286,997,1944,658,1551,1413,120,589,81,2197,1498,699,20,10.9673180915677,2.5809117050411,1.23058521539855,4.29452041491026,658,997,712,589,1413,699,0.338477366255144,0.911025145067698,0.318161128812016,0.688129653964082,0.56329391151993
26,2299,1606,693,1306,993,1956,650,1547,1409,120,554,82,2219,1557,662,24,11.0144262047537,2.5811181906679,1.22854989979471,4.26815524470748,650,993,693,554,1409,662,0.332310838445808,0.910795087265675,0.298332582244254,0.698564593301435,0.568073075250109
27,2309,1608,701,1310,999,1965,655,1550,1410,120,552,79,2245,1581,664,25,11.0716376483687,2.58006558996947,1.23109981895837,4.24478881835734,655,999,701,552,1410,664,0.333333333333333,0.909677419354839,0.295768374164811,0.696405370290169,0.567345171069727
28,2328,1574,754,1333,995,1974,641,1550,1410,120,586,85,2252,1610,642,20,11.1329461498195,2.58105911544421,1.229351022999,4.21838890003835,641,995,754,586,1410,642,0.324721377912867,0.909677419354839,0.285079928952043,0.676116838487973,0.572594501718213
29,2337,1582,755,1338,999,1992,654,1544,1403,120,578,81,2228,1593,635,25,11.1810319744347,2.58200495365422,1.22830311566894,4.20284672295575,654,999,755,578,1403,635,0.328313253012048,0.908678756476684,0.285008976660682,0.676936243046641,0.572528883183569
30,2343,1589,754,1361,982,2006,645,1539,1398,120,571,81,2221,1618,603,32,11.2296781858473,2.58415896638988,1.22686244036101,4.18870621845671,645,982,754,571,1398,603,0.321535393818544,0.908382066276803,0.271499324628546,0.678190354246692,0.580879214682032
