"tick","population","employed","unemployed","housed","unhoused","residential_units","vacant_residential_units","commercial_units","vacant_commercial_units","active_firms","firm_job_vacancies","firms_with_job_vacancies","committed_output","realized_sales","unsold_output","sold_out_firms","mean_wage","mean_residential_rent","mean_commercial_rent","mean_goods_price","housing_excess_supply","housing_excess_demand","labor_excess_supply","labor_excess_demand","commercial_space_excess_supply","goods_excess_supply","housing_vacancy_rate","commercial_vacancy_rate","goods_unsold_rate","employment_rate","housing_rate"
1,3001,2444,557,1358,1643,1615,257,1604,1454,150,256,50,2598,1674,924,23,9.97289249617018,2.44378595280215,5.18793964126252,4.99207777857657,257,1643,557,256,1454,924,0.159133126934985,0.906483790523691,0.355658198614319,0.814395201599467,0.452515828057314
2,3003,2422,581,1377,1626,1633,256,1605,1454,150,278,47,2511,1606,905,24,9.98788251310295,2.48531343238298,4.48979624524501,4.95717398468196,256,1626,581,278,1454,905,0.156766687078996,0.905919003115265,0.360414177618479,0.806526806526807,0.458541458541459
3,3004,2329,675,1385,1619,1641,256,1606,1455,150,371,44,2501,1562,939,26,10.0034689141715,2.52778944824766,3.89823487492875,4.92638772647409,256,1619,675,371,1455,939,0.156002437538087,0.905977584059776,0.375449820071971,0.775299600532623,0.461051930758988
4,3005,2252,753,1386,1619,1658,272,1605,1454,150,448,49,2433,1548,885,23,10.0131316550083,2.57085797960499,3.39786495215404,4.88834590646922,272,1619,753,448,1454,885,0.164053075995175,0.905919003115265,0.363748458692972,0.749417637271215,0.461231281198003
5,3006,2207,799,1366,1640,1668,302,1608,1455,150,493,59,2381,1462,919,21,10.0241191133817,2.6096884114583,2.97588772757836,4.86239156688448,302,1640,799,493,1455,919,0.1810551558753,0.904850746268657,0.385972280554389,0.734198270126414,0.454424484364604
6,3009,2142,867,1337,1672,1679,342,1606,1453,150,558,66,2362,1473,889,25,10.0328649108419,2.64507356441643,2.618624963184,4.82672178603862,342,1672,867,558,1453,889,0.20369267421084,0.904732254047322,0.376375952582557,0.711864406779661,0.444333665669658
7,3010,2049,961,1312,1698,1695,383,1604,1451,150,651,74,2328,1452,876,28,10.0392442071663,2.67552491300061,2.31754529982183,4.79711335791785,383,1698,961,651,1451,876,0.225958702064897,0.904613466334165,0.376288659793814,0.680730897009967,0.435880398671096
8,3011,1987,1024,1284,1727,1714,430,1598,1444,150,713,78,2274,1436,838,27,10.0534353120349,2.70062658668445,2.06390547373325,4.78352733474732,430,1727,1024,713,1444,838,0.250875145857643,0.903629536921151,0.368513632365875,0.659913649950183,0.426436399867154
9,3011,1978,1033,1244,1767,1736,492,1594,1440,150,722,83,2246,1351,895,25,10.0731503212954,2.71897826990158,1.85157832097332,4.75662100052852,492,1767,1033,722,1440,895,0.283410138248848,0.903387703889586,0.398486197684773,0.656924609764198,0.413151776818333
10,3012,1953,1059,1231,1781,1746,515,1592,1437,150,747,85,2246,1344,902,16,10.0892217368783,2.73385319118112,1.67789985501833,4.73747844073563,515,1781,1059,747,1437,902,0.29495990836197,0.902638190954774,0.40160284951024,0.648406374501992,0.408698539176627
11,3012,1888,1124,1214,1798,1756,542,1592,1435,150,812,98,2228,1419,809,27,10.1147947957976,2.74570450496552,1.56560487080947,4.69860104064482,542,1798,1124,812,1435,809,0.308656036446469,0.901381909547739,0.36310592459605,0.626826029216467,0.403054448871182
12,3012,1964,1048,1207,1805,1769,562,1589,1432,150,736,95,2180,1341,839,23,10.1544696426991,2.75515946015106,1.51901487410616,4.68287005684189,562,1805,1048,736,1432,839,0.317693612210288,0.90119572057898,0.384862385321101,0.652058432934927,0.400730411686587
13,3014,2007,1007,1207,1807,1791,584,1587,1430,150,693,93,2233,1430,803,23,10.1784000447832,2.76232876768058,1.52751525280381,4.65907273732268,584,1807,1007,693,1430,803,0.32607481853713,0.90107120352867,0.359605911330049,0.665892501658925,0.400464499004645
14,3017,2008,1009,1222,1795,1804,582,1586,1429,150,692,87,2259,1513,746,36,10.2060143608654,2.76896578085865,1.54145134523207,4.63666835532718,582,1795,1009,692,1429,746,0.322616407982262,0.901008827238335,0.330234617087207,0.665561816373881,0.405038117335101
15,3022,1981,1041,1225,1797,1818,593,1580,1422,150,719,86,2262,1507,755,30,10.2305533191365,2.77388259948982,1.55651579385127,4.62279378368075,593,1797,1041,719,1422,755,0.326182618261826,0.9,0.333775419982317,0.655526141628061,0.405360688285903
16,3023,2036,987,1241,1782,1828,587,1578,1420,150,664,91,2237,1451,786,28,10.2724445078832,2.77915399071011,1.57275283324687,4.60077986957846,587,1782,987,664,1420,786,0.321115973741794,0.899873257287706,0.351363433169423,0.673503142573602,0.410519351637446
17,3025,2025,1000,1260,1765,1849,589,1573,1415,150,675,90,2288,1509,779,29,10.2842693024978,2.78484585823976,1.58840851899922,4.57750973545145,589,1765,1000,675,1415,779,0.318550567874527,0.899554990464081,0.340472027972028,0.669421487603306,0.416528925619835
18,3026,2073,953,1274,1752,1864,590,1568,1409,150,627,88,2274,1520,754,27,10.3183641808711,2.78961213098298,1.60356075680703,4.5628636255333,590,1752,953,627,1409,754,0.316523605150215,0.89859693877551,0.331574318381706,0.685062789160608,0.421017845340383
19,3027,2065,962,1301,1726,1883,582,1561,1401,150,635,86,2308,1593,715,25,10.3507189544698,2.79521771742973,1.61832833819903,4.54191966316472,582,1726,962,635,1401,715,0.309081253319172,0.897501601537476,0.309792027729636,0.682193591014206,0.429798480343574
20,3029,2098,931,1315,1714,1898,583,1557,1397,150,602,89,2300,1606,694,36,10.3709563419808,2.80149017302434,1.63435748786017,4.52484165539693,583,1714,931,602,1397,694,0.307165437302424,0.897238278741169,0.301739130434783,0.692637834268736,0.434136678771872
