"tick","population","employed","unemployed","housed","unhoused","residential_units","vacant_residential_units","commercial_units","vacant_commercial_units","active_firms","firm_job_vacancies","firms_with_job_vacancies","committed_output","realized_sales","unsold_output","sold_out_firms","mean_wage","mean_residential_rent","mean_commercial_rent","mean_goods_price","housing_excess_supply","housing_excess_demand","labor_excess_supply","labor_excess_demand","commercial_space_excess_supply","goods_excess_supply","housing_vacancy_rate","commercial_vacancy_rate","goods_unsold_rate","employment_rate","housing_rate"
1,50,42,8,47,3,100,53,101,93,8,102,8,92,32,60,0,10.316964785013,2.36123243353748,5.18279927935766,4.94997992872864,53,3,8,102,93,60,0.53,0.920792079207921,0.652173913043478,0.84,0.94
2,51,37,14,43,8,101,58,101,93,8,107,8,89,26,63,0,10.3799536497243,2.32198566392804,4.47395104613824,4.89885796788063,58,8,14,107,93,63,0.574257425742574,0.920792079207921,0.707865168539326,0.725490196078431,0.843137254901961
3,53,38,15,44,9,101,57,101,93,8,106,8,77,29,48,1,10.3984631331244,2.28489123814986,3.87348719766227,4.81970796783024,57,9,15,106,93,48,0.564356435643564,0.920792079207921,0.623376623376623,0.716981132075472,0.830188679245283
4,56,41,15,44,12,101,57,102,94,8,103,8,78,22,56,1,10.5840909959294,2.25070170815567,3.36521179071104,4.81970796783024,57,12,15,103,94,56,0.564356435643564,0.92156862745098,0.717948717948718,0.732142857142857,0.785714285714286
5,57,42,15,43,14,101,58,102,94,8,102,8,80,31,49,1,10.7632432583786,2.21859864462452,2.93536012498343,4.77110022618025,58,14,15,102,94,49,0.574257425742574,0.92156862745098,0.6125,0.736842105263158,0.754385964912281
6,57,43,14,43,14,102,59,102,94,8,101,8,81,28,53,2,10.8649668000127,2.18864887033979,2.57223411220133,4.69198703811325,59,14,14,101,94,53,0.57843137254902,0.92156862745098,0.654320987654321,0.754385964912281,0.754385964912281
7,57,44,13,41,16,102,61,102,94,8,100,8,82,35,47,1,10.9614843673612,2.15331315416732,2.26589234151552,4.66508273136424,61,16,13,100,94,47,0.598039215686274,0.92156862745098,0.573170731707317,0.771929824561403,0.719298245614035
8,57,45,12,43,14,103,60,102,94,8,99,8,83,34,49,2,11.105376727544,2.1228660015839,2.0078866368169,4.64404574065049,60,14,12,99,94,49,0.58252427184466,0.92156862745098,0.590361445783133,0.789473684210526,0.754385964912281
9,59,45,14,45,14,104,59,102,95,7,81,7,79,32,47,1,11.1423308673834,2.0915262558784,1.78069783722575,4.63175507530038,59,14,14,81,95,47,0.567307692307692,0.931372549019608,0.59493670886076,0.76271186440678,0.76271186440678
10,59,41,18,43,16,104,61,102,95,7,85,7,76,31,45,0,11.3822232109291,2.05293214346732,1.59254525636404,4.63446596185638,61,16,18,85,95,45,0.586538461538462,0.931372549019608,0.592105263157895,0.694915254237288,0.728813559322034
11,60,42,18,43,17,105,62,102,95,7,84,7,68,18,50,0,11.4272476705094,2.0163636568697,1.46567123243036,4.60761269865293,62,17,18,84,95,50,0.59047619047619,0.931372549019608,0.735294117647059,0.7,0.716666666666667
12,60,42,18,43,17,106,63,101,94,7,84,7,70,35,35,1,11.4723219546106,1.98076726746843,1.41634110158469,4.55762840543033,63,17,18,84,94,35,0.594339622641509,0.930693069306931,0.5,0.7,0.716666666666667
13,60,46,14,44,16,107,63,100,93,7,80,7,69,30,39,0,11.5003636130428,1.94620146698383,1.42243648402217,4.50952177014394,63,16,14,80,93,39,0.588785046728972,0.93,0.565217391304348,0.766666666666667,0.733333333333333
14,60,49,11,46,14,108,62,99,92,7,77,6,73,34,39,1,11.6812926405363,1.91502463332826,1.43290970633641,4.4530830181836,62,14,11,77,92,39,0.574074074074074,0.929292929292929,0.534246575342466,0.816666666666667,0.766666666666667
15,65,51,14,49,16,109,60,99,92,7,75,6,77,40,37,1,11.7622028789287,1.88938359878724,1.44438533189327,4.4530830181836,60,16,14,75,92,37,0.55045871559633,0.929292929292929,0.48051948051948,0.784615384615385,0.753846153846154
