tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,3001.0,2444.0,557.0,1358.0,1643.0,1615.0,257.0,1604.0,1454.0,150.0,256.0,50.0,2598.0,1674.0,924.0,23.0,9.972892496170179,2.4437859528021533,5.187939641262517,4.992077778576575
2.0,3003.0,2422.0,581.0,1377.0,1626.0,1633.0,256.0,1605.0,1454.0,150.0,278.0,47.0,2511.0,1606.0,905.0,24.0,9.98788251310295,2.4853134323829806,4.489796245245015,4.957173984681959
3.0,3004.0,2329.0,675.0,1385.0,1619.0,1641.0,256.0,1606.0,1455.0,150.0,371.0,44.0,2501.0,1562.0,939.0,26.0,10.00346891417151,2.5277894482476633,3.898234874928752,4.926387726474086
4.0,3005.0,2252.0,753.0,1386.0,1619.0,1658.0,272.0,1605.0,1454.0,150.0,448.0,49.0,2433.0,1548.0,885.0,23.0,10.013131655008335,2.5708579796049924,3.3978649521540416,4.88834590646922
5.0,3006.0,2207.0,799.0,1366.0,1640.0,1668.0,302.0,1608.0,1455.0,150.0,493.0,59.0,2381.0,1462.0,919.0,21.0,10.024119113381689,2.6096884114583037,2.975887727578359,4.862391566884477
6.0,3009.0,2142.0,867.0,1337.0,1672.0,1679.0,342.0,1606.0,1453.0,150.0,558.0,66.0,2362.0,1473.0,889.0,25.0,10.032864910841937,2.645073564416431,2.6186249631839984,4.826721786038621
7.0,3010.0,2049.0,961.0,1312.0,1698.0,1695.0,383.0,1604.0,1451.0,150.0,651.0,74.0,2328.0,1452.0,876.0,28.0,10.039244207166316,2.6755249130006087,2.3175452998218287,4.797113357917849
8.0,3011.0,1987.0,1024.0,1284.0,1727.0,1714.0,430.0,1598.0,1444.0,150.0,713.0,78.0,2274.0,1436.0,838.0,27.0,10.053435312034903,2.7006265866844514,2.063905473733253,4.783527334747317
9.0,3011.0,1978.0,1033.0,1244.0,1767.0,1736.0,492.0,1594.0,1440.0,150.0,722.0,83.0,2246.0,1351.0,895.0,25.0,10.073150321295444,2.7189782699015836,1.8515783209733194,4.756621000528516
10.0,3012.0,1953.0,1059.0,1231.0,1781.0,1746.0,515.0,1592.0,1437.0,150.0,747.0,85.0,2246.0,1344.0,902.0,16.0,10.089221736878255,2.7338531911811197,1.6778998550183337,4.73747844073563
11.0,3012.0,1888.0,1124.0,1214.0,1798.0,1756.0,542.0,1592.0,1435.0,150.0,812.0,98.0,2228.0,1419.0,809.0,27.0,10.11479479579763,2.745704504965519,1.565604870809472,4.6986010406448155
12.0,3012.0,1964.0,1048.0,1207.0,1805.0,1769.0,562.0,1589.0,1432.0,150.0,736.0,95.0,2180.0,1341.0,839.0,23.0,10.15446964269914,2.755159460151057,1.519014874106158,4.682870056841888
13.0,3014.0,2007.0,1007.0,1207.0,1807.0,1791.0,584.0,1587.0,1430.0,150.0,693.0,93.0,2233.0,1430.0,803.0,23.0,10.178400044783238,2.7623287676805774,1.5275152528038134,4.659072737322676
14.0,3017.0,2008.0,1009.0,1222.0,1795.0,1804.0,582.0,1586.0,1429.0,150.0,692.0,87.0,2259.0,1513.0,746.0,36.0,10.20601436086545,2.768965780858648,1.5414513452320662,4.636668355327175
15.0,3022.0,1981.0,1041.0,1225.0,1797.0,1818.0,593.0,1580.0,1422.0,150.0,719.0,86.0,2262.0,1507.0,755.0,30.0,10.230553319136483,2.773882599489818,1.5565157938512726,4.622793783680752
16.0,3023.0,2036.0,987.0,1241.0,1782.0,1828.0,587.0,1578.0,1420.0,150.0,664.0,91.0,2237.0,1451.0,786.0,28.0,10.272444507883247,2.779153990710108,1.5727528332468705,4.600779869578464
17.0,3025.0,2025.0,1000.0,1260.0,1765.0,1849.0,589.0,1573.0,1415.0,150.0,675.0,90.0,2288.0,1509.0,779.0,29.0,10.284269302497794,2.7848458582397573,1.5884085189992163,4.577509735451446
18.0,3026.0,2073.0,953.0,1274.0,1752.0,1864.0,590.0,1568.0,1409.0,150.0,627.0,88.0,2274.0,1520.0,754.0,27.0,10.318364180871054,2.7896121309829804,1.603560756807035,4.562863625533303
19.0,3027.0,2065.0,962.0,1301.0,1726.0,1883.0,582.0,1561.0,1401.0,150.0,635.0,86.0,2308.0,1593.0,715.0,25.0,10.350718954469816,2.7952177174297264,1.6183283381990332,4.541919663164718
20.0,3029.0,2098.0,931.0,1315.0,1714.0,1898.0,583.0,1557.0,1397.0,150.0,602.0,89.0,2300.0,1606.0,694.0,36.0,10.370956341980762,2.8014901730243422,1.6343574878601674,4.524841655396932
21.0,3029.0,2070.0,959.0,1314.0,1715.0,1914.0,600.0,1552.0,1392.0,150.0,630.0,91.0,2324.0,1592.0,732.0,32.0,10.393964041238112,2.805648194342961,1.6506873986550046,4.501565356049392
22.0,3034.0,2066.0,968.0,1313.0,1721.0,1928.0,615.0,1546.0,1385.0,150.0,634.0,91.0,2311.0,1632.0,679.0,35.0,10.430781035622909,2.8077232084808714,1.6674059812395665,4.480325270169561
23.0,3034.0,2120.0,914.0,1330.0,1704.0,1940.0,610.0,1542.0,1380.0,150.0,580.0,93.0,2312.0,1643.0,669.0,41.0,10.469506946451157,2.811094084833759,1.6853619842564347,4.4673454695617885
24.0,3036.0,2118.0,918.0,1342.0,1694.0,1952.0,610.0,1537.0,1373.0,150.0,582.0,88.0,2351.0,1741.0,610.0,44.0,10.487912548579882,2.8168248268207425,1.7047545671431594,4.452180398628681
25.0,3037.0,2115.0,922.0,1354.0,1683.0,1969.0,615.0,1532.0,1368.0,150.0,585.0,86.0,2354.0,1756.0,598.0,41.0,10.537315513731283,2.821544304319649,1.7254330325601221,4.440278227730412
26.0,3038.0,2117.0,921.0,1381.0,1657.0,1983.0,602.0,1528.0,1364.0,150.0,583.0,87.0,2358.0,1761.0,597.0,40.0,10.571784866515635,2.8265371401324075,1.7470828782762902,4.426910815579362
27.0,3042.0,2071.0,971.0,1388.0,1654.0,2002.0,614.0,1525.0,1361.0,150.0,629.0,83.0,2363.0,1749.0,614.0,47.0,10.576143193045393,2.8311131694315606,1.768680312159029,4.400361387738124
28.0,3042.0,2021.0,1021.0,1413.0,1629.0,2023.0,610.0,1524.0,1360.0,150.0,679.0,86.0,2335.0,1728.0,607.0,39.0,10.600223113580206,2.8371213467350973,1.7903341691527492,4.387988348602557
29.0,3047.0,2078.0,969.0,1406.0,1641.0,2038.0,632.0,1522.0,1357.0,151.0,640.0,88.0,2311.0,1711.0,600.0,43.0,10.640353316176757,2.838422965354357,1.812323073152957,4.3727797268358675
30.0,3048.0,2089.0,959.0,1414.0,1634.0,2058.0,644.0,1517.0,1352.0,151.0,629.0,88.0,2352.0,1727.0,625.0,45.0,10.670280240520983,2.839106147880593,1.8358290821471293,4.352554496568604
31.0,3048.0,2123.0,925.0,1439.0,1609.0,2076.0,637.0,1511.0,1345.0,152.0,613.0,92.0,2361.0,1734.0,627.0,50.0,10.709196078347398,2.840983831218167,1.8594850401683534,4.3469660195525766
32.0,3049.0,2164.0,885.0,1461.0,1588.0,2099.0,638.0,1509.0,1344.0,151.0,554.0,96.0,2382.0,1803.0,579.0,48.0,10.756793221339198,2.8434904148891054,1.883207519091833,4.3421569277790635
33.0,3051.0,2144.0,907.0,1486.0,1565.0,2119.0,633.0,1507.0,1340.0,152.0,592.0,91.0,2404.0,1856.0,548.0,50.0,10.788296889286762,2.8450205343192714,1.9056806010271934,4.325857874652663
34.0,3052.0,2151.0,901.0,1498.0,1554.0,2133.0,635.0,1505.0,1338.0,152.0,585.0,91.0,2399.0,1821.0,578.0,49.0,10.826090666528016,2.8475722429718417,1.928194082562453,4.312794092654792
35.0,3055.0,2183.0,872.0,1523.0,1532.0,2147.0,624.0,1498.0,1331.0,152.0,553.0,95.0,2403.0,1867.0,536.0,48.0,10.87802293717661,2.849721593657957,1.9511537318866379,4.3034104973453084
36.0,3062.0,2159.0,903.0,1532.0,1530.0,2164.0,632.0,1494.0,1326.0,153.0,595.0,98.0,2423.0,1886.0,537.0,48.0,10.92353771568042,2.8515588676850188,1.9760180762601498,4.293796105182359
37.0,3066.0,2209.0,857.0,1556.0,1510.0,2176.0,620.0,1492.0,1324.0,153.0,545.0,97.0,2410.0,1875.0,535.0,56.0,10.974204346169541,2.854277117030214,2.0025764407533777,4.289326174257257
38.0,3068.0,2234.0,834.0,1581.0,1487.0,2191.0,610.0,1489.0,1318.0,156.0,574.0,84.0,2445.0,1930.0,515.0,52.0,11.014035950118448,2.858441010248579,2.0293104964059423,4.28461475847045
39.0,3069.0,2228.0,841.0,1604.0,1465.0,2213.0,609.0,1480.0,1310.0,155.0,562.0,82.0,2477.0,1952.0,525.0,50.0,11.040644444074218,2.8638722165462793,2.056088417791356,4.263333180386501
40.0,3070.0,2188.0,882.0,1614.0,1456.0,2233.0,619.0,1480.0,1310.0,155.0,602.0,88.0,2469.0,1961.0,508.0,59.0,11.078550415733257,2.8687971823177043,2.0846876024174614,4.258401589874204
41.0,3070.0,2198.0,872.0,1615.0,1455.0,2252.0,637.0,1472.0,1301.0,156.0,610.0,94.0,2451.0,1927.0,524.0,59.0,11.103394014077947,2.872352239274469,2.1100591231211934,4.2432836206995646
