tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,3004.0,2496.0,508.0,1375.0,1629.0,1611.0,236.0,1600.0,1450.0,150.0,204.0,46.0,2738.0,1055.0,1683.0,2.0,9.975286615835385,2.4463034747184005,5.133987989146861,4.992077778576575
2.0,3006.0,2360.0,646.0,1371.0,1635.0,1623.0,252.0,1601.0,1450.0,150.0,340.0,57.0,2830.0,1559.0,1271.0,17.0,10.009369954140235,2.488199306200798,4.422710274034545,4.947177267232839
3.0,3009.0,2249.0,760.0,1353.0,1656.0,1630.0,277.0,1603.0,1451.0,150.0,451.0,50.0,2772.0,1761.0,1011.0,30.0,10.006754157021462,2.528051397773418,3.818369100498905,4.918949574975058
4.0,3011.0,2207.0,804.0,1355.0,1656.0,1649.0,294.0,1604.0,1448.0,150.0,493.0,53.0,2780.0,1812.0,968.0,34.0,10.016561179194905,2.5684034045528517,3.3056685729366415,4.902718686221528
5.0,3019.0,2183.0,836.0,1350.0,1669.0,1667.0,317.0,1605.0,1447.0,150.0,517.0,62.0,2762.0,1872.0,890.0,32.0,10.02907922191317,2.606566942904793,2.8705197940488016,4.885662030206987
6.0,3022.0,2187.0,835.0,1347.0,1675.0,1684.0,337.0,1607.0,1448.0,150.0,513.0,65.0,2765.0,1885.0,880.0,31.0,10.03293821764225,2.642791033412502,2.500908962777188,4.865829484977179
7.0,3025.0,2193.0,832.0,1338.0,1687.0,1704.0,366.0,1600.0,1441.0,150.0,507.0,61.0,2779.0,1932.0,847.0,30.0,10.03345214832102,2.6760571398598,2.185441603073652,4.838112234493075
8.0,3026.0,2183.0,843.0,1307.0,1719.0,1717.0,410.0,1598.0,1439.0,150.0,517.0,70.0,2789.0,1958.0,831.0,33.0,10.049239960433404,2.7030533416326903,1.9185318660299453,4.812263564918396
9.0,3029.0,2161.0,868.0,1324.0,1705.0,1736.0,412.0,1591.0,1431.0,150.0,539.0,71.0,2798.0,1955.0,843.0,31.0,10.057964628666241,2.7309669217590624,1.6924804044939714,4.795384277098998
10.0,3031.0,2128.0,903.0,1299.0,1732.0,1757.0,458.0,1586.0,1426.0,150.0,572.0,85.0,2795.0,1925.0,870.0,24.0,10.084615382570064,2.7547990683092043,1.5037566610486892,4.771201646001532
