tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,50.0,42.0,8.0,47.0,3.0,100.0,53.0,101.0,93.0,8.0,102.0,8.0,92.0,32.0,60.0,0.0,10.316964785013012,2.3612324335374804,5.18279927935766,4.949979928728638
2.0,51.0,37.0,14.0,43.0,8.0,101.0,58.0,101.0,93.0,8.0,107.0,8.0,89.0,26.0,63.0,0.0,10.379953649724271,2.3219856639280407,4.473951046138245,4.898857967880632
3.0,53.0,38.0,15.0,44.0,9.0,101.0,57.0,101.0,93.0,8.0,106.0,8.0,77.0,29.0,48.0,1.0,10.398463133124368,2.284891238149861,3.873487197662271,4.819707967830237
4.0,56.0,41.0,15.0,44.0,12.0,101.0,57.0,102.0,94.0,8.0,103.0,8.0,78.0,22.0,56.0,1.0,10.584090995929378,2.250701708155672,3.365211790711036,4.819707967830237
5.0,57.0,42.0,15.0,43.0,14.0,101.0,58.0,102.0,94.0,8.0,102.0,8.0,80.0,31.0,49.0,1.0,10.76324325837856,2.218598644624519,2.935360124983429,4.771100226180252
6.0,57.0,43.0,14.0,43.0,14.0,102.0,59.0,102.0,94.0,8.0,101.0,8.0,81.0,28.0,53.0,2.0,10.864966800012695,2.188648870339791,2.572234112201335,4.691987038113251
7.0,57.0,44.0,13.0,41.0,16.0,102.0,61.0,102.0,94.0,8.0,100.0,8.0,82.0,35.0,47.0,1.0,10.961484367361184,2.153313154167323,2.265892341515517,4.665082731364239
8.0,57.0,45.0,12.0,43.0,14.0,103.0,60.0,102.0,94.0,8.0,99.0,8.0,83.0,34.0,49.0,2.0,11.105376727543979,2.1228660015838994,2.007886636816904,4.644045740650492
9.0,59.0,45.0,14.0,45.0,14.0,104.0,59.0,102.0,95.0,7.0,81.0,7.0,79.0,32.0,47.0,1.0,11.14233086738338,2.0915262558783962,1.7806978372257485,4.631755075300376
10.0,59.0,41.0,18.0,43.0,16.0,104.0,61.0,102.0,95.0,7.0,85.0,7.0,76.0,31.0,45.0,0.0,11.382223210929096,2.0529321434673227,1.5925452563640403,4.634465961856384
11.0,60.0,42.0,18.0,43.0,17.0,105.0,62.0,102.0,95.0,7.0,84.0,7.0,68.0,18.0,50.0,0.0,11.427247670509436,2.016363656869699,1.465671232430363,4.607612698652931
12.0,60.0,42.0,18.0,43.0,17.0,106.0,63.0,101.0,94.0,7.0,84.0,7.0,70.0,35.0,35.0,1.0,11.472321954610592,1.9807672674684278,1.4163411015846925,4.5576284054303295
13.0,60.0,46.0,14.0,44.0,16.0,107.0,63.0,100.0,93.0,7.0,80.0,7.0,69.0,30.0,39.0,0.0,11.50036361304278,1.9462014669838268,1.4224364840221682,4.50952177014394
14.0,60.0,49.0,11.0,46.0,14.0,108.0,62.0,99.0,92.0,7.0,77.0,6.0,73.0,34.0,39.0,1.0,11.681292640536327,1.915024633328259,1.432909706336407,4.453083018183595
15.0,65.0,51.0,14.0,49.0,16.0,109.0,60.0,99.0,92.0,7.0,75.0,6.0,77.0,40.0,37.0,1.0,11.762202878928676,1.8893835987872396,1.4443853318932676,4.453083018183595
16.0,67.0,37.0,30.0,50.0,17.0,111.0,61.0,99.0,92.0,7.0,89.0,7.0,77.0,30.0,47.0,0.0,11.650977945810867,1.866030872668113,1.4567902018040497,4.459154052671748
17.0,70.0,36.0,34.0,47.0,23.0,112.0,65.0,99.0,91.0,7.0,90.0,7.0,65.0,21.0,44.0,2.0,11.775606311710686,1.83689767822635,1.4703644470612884,4.459154052671748
18.0,73.0,34.0,39.0,43.0,30.0,112.0,69.0,99.0,91.0,7.0,92.0,7.0,68.0,36.0,32.0,1.0,11.907868357153104,1.8012118290898795,1.484768564538007,4.41263361520887
19.0,76.0,41.0,35.0,43.0,33.0,113.0,70.0,99.0,91.0,7.0,85.0,7.0,66.0,32.0,34.0,1.0,12.131875628004426,1.7677693007593134,1.5003508397555885,4.391362548904736
20.0,77.0,45.0,32.0,42.0,35.0,114.0,72.0,98.0,90.0,7.0,81.0,7.0,74.0,31.0,43.0,0.0,12.287461862171853,1.7368549562353712,1.517749536563128,4.34377631791499
21.0,79.0,48.0,31.0,43.0,36.0,114.0,71.0,98.0,90.0,7.0,78.0,7.0,77.0,41.0,36.0,0.0,12.422097428588152,1.7083749492316125,1.5356701942748938,4.279610004843517
22.0,81.0,44.0,37.0,42.0,39.0,115.0,73.0,97.0,89.0,7.0,82.0,7.0,80.0,30.0,50.0,0.0,12.614368738958596,1.6773341519578113,1.5541284717180124,4.279610004843517
23.0,83.0,45.0,38.0,42.0,41.0,117.0,75.0,96.0,88.0,7.0,81.0,7.0,71.0,40.0,31.0,0.0,12.719936515716684,1.6460743077623012,1.5731404974844247,4.239058088048423
24.0,86.0,45.0,41.0,45.0,41.0,118.0,73.0,96.0,88.0,7.0,81.0,7.0,71.0,56.0,15.0,2.0,12.761583098781008,1.6135197419250538,1.5927228840238292,4.218947526042788
25.0,88.0,51.0,37.0,44.0,44.0,119.0,75.0,96.0,88.0,7.0,75.0,6.0,70.0,45.0,25.0,1.0,13.021496905887968,1.5830004984947719,1.612892742159416,4.2162945385881505
26.0,90.0,53.0,37.0,47.0,43.0,119.0,72.0,97.0,89.0,7.0,73.0,6.0,74.0,46.0,28.0,0.0,13.17888403641112,1.5505338567392346,1.6336676960390701,4.182781460578567
27.0,91.0,56.0,35.0,48.0,43.0,120.0,72.0,98.0,90.0,7.0,70.0,6.0,77.0,47.0,30.0,3.0,13.285897033631139,1.5224362509971199,1.6375840713028997,4.159973733851939
28.0,92.0,57.0,35.0,50.0,42.0,121.0,71.0,98.0,90.0,7.0,69.0,6.0,80.0,40.0,40.0,1.0,13.311716393933622,1.4956384197083157,1.6258472746091501,4.181863387355601
29.0,92.0,49.0,43.0,51.0,41.0,121.0,70.0,98.0,90.0,7.0,77.0,6.0,80.0,44.0,36.0,0.0,13.196670324564664,1.4706126682445702,1.6187462475817438,4.203758805013164
30.0,92.0,48.0,44.0,53.0,39.0,123.0,70.0,98.0,90.0,7.0,78.0,7.0,68.0,32.0,36.0,1.0,13.443089082487996,1.4496717208621763,1.6156718822755984,4.154882003321801
31.0,93.0,52.0,41.0,52.0,41.0,123.0,71.0,98.0,90.0,7.0,74.0,6.0,68.0,44.0,24.0,1.0,13.621539685342311,1.4253253753954696,1.6161090246625391,4.056650459145151
32.0,93.0,56.0,37.0,52.0,41.0,124.0,72.0,98.0,90.0,7.0,70.0,6.0,71.0,50.0,21.0,2.0,13.593447543095435,1.4025507784963207,1.619622459175518,4.014496235917421
33.0,93.0,47.0,46.0,48.0,45.0,125.0,77.0,98.0,90.0,7.0,79.0,6.0,74.0,53.0,21.0,2.0,13.260661570133294,1.3747231408101175,1.6258449979001517,3.9965092592206433
34.0,93.0,55.0,38.0,50.0,43.0,125.0,75.0,98.0,90.0,7.0,71.0,6.0,69.0,47.0,22.0,2.0,13.37367466839313,1.3478500981501842,1.6344673587863494,3.9755288143649095
35.0,94.0,57.0,37.0,51.0,43.0,126.0,75.0,98.0,90.0,7.0,69.0,7.0,77.0,45.0,32.0,0.0,13.569438738510957,1.3252354310056802,1.6452295645989856,3.9755288143649095
36.0,94.0,47.0,47.0,51.0,43.0,126.0,75.0,98.0,89.0,8.0,97.0,8.0,80.0,51.0,29.0,1.0,13.284374293976297,1.3041184377732211,1.6579136345708745,4.128772296726005
37.0,94.0,49.0,45.0,52.0,42.0,127.0,75.0,98.0,90.0,7.0,77.0,7.0,78.0,46.0,32.0,1.0,13.353067946609757,1.28321714416976,1.6723373749290626,3.9344386669803932
38.0,96.0,50.0,46.0,52.0,44.0,128.0,76.0,98.0,90.0,7.0,76.0,7.0,77.0,46.0,31.0,2.0,13.551567957399753,1.2641802343394282,1.6883491035420681,3.961690989232536
39.0,99.0,41.0,58.0,51.0,48.0,129.0,78.0,97.0,89.0,7.0,85.0,7.0,79.0,49.0,30.0,1.0,13.710753715997532,1.2456836631472006,1.7058231686509249,3.9217640972502763
40.0,100.0,46.0,54.0,50.0,50.0,129.0,79.0,97.0,89.0,7.0,80.0,7.0,69.0,32.0,37.0,0.0,13.800472816243643,1.229104423127537,1.7272912663339897,3.873809686642872
41.0,101.0,53.0,48.0,51.0,50.0,129.0,78.0,97.0,89.0,7.0,73.0,7.0,74.0,51.0,23.0,2.0,14.13560214985616,1.2164246799644678,1.751198175938881,3.823101566670661
