tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,5.123574507215088,16.097055649719383
250.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,4.049623884029008,68.50513599871219
250.0,3.0,3.0,1.0,4.0,2.0,4.0,2.0,0.0,0.0,3.881352302386466,100.6021017586933
250.0,4.0,4.0,1.0,6.0,1.0,6.0,1.0,0.0,0.0,4.160367317464554,7.68720573992403
250.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,4.500828715975573,11.465120903842248
250.0,6.0,6.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,5.2158063403457655,1.8602945717094976
250.0,7.0,7.0,1.0,7.0,0.0,6.0,0.0,1.0,0.0,3.962694720557915,1.0
250.0,8.0,8.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,3.9779905790003394,12.335708549533253
250.0,9.0,9.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,6.239100439264446,2.5750827556851132
250.0,10.0,10.0,1.0,4.0,2.0,3.0,2.0,1.0,0.0,4.524780925131347,26.603081336889336
250.0,11.0,11.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,5.284715260002449,35.75231674966951
250.0,12.0,12.0,1.0,2.0,4.0,2.0,3.0,0.0,1.0,4.848278480019687,2.2220152569455998
250.0,13.0,13.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,4.261721503116549,5.234613049404514
250.0,14.0,14.0,1.0,4.0,2.0,4.0,2.0,0.0,0.0,4.374262505107157,1.91798343585082
250.0,15.0,15.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,4.347031275022028,2.8982783280026725
250.0,16.0,16.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,5.910597521963399,2.3949125985382707
250.0,17.0,17.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,4.574411206880097,2.023680742954874
250.0,18.0,18.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,4.379960705372718,5.234613049404514
250.0,19.0,19.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,4.2303191864258265,152.1697054190278
250.0,20.0,20.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,3.9605116752901623,1.384233870724446
250.0,21.0,21.0,1.0,4.0,2.0,4.0,2.0,0.0,0.0,4.122306544032985,5.391651440886649
250.0,22.0,22.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,4.3574504596744426,6.250401733082133
250.0,23.0,23.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,4.6105059766828616,1.3644464337628812
250.0,24.0,24.0,1.0,7.0,3.0,5.0,3.0,2.0,0.0,4.3626807633539375,12.335708549533253
250.0,25.0,25.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,4.546265424371462,57.371972900894114
250.0,26.0,26.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,5.001249390794951,2.0937779296542165
250.0,27.0,27.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,4.572415593741368,103.62016481145409
250.0,28.0,28.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,4.765714439368603,3.5645167703377765
