tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,2010.0,1800.0,210.0,1198.0,812.0,1610.0,412.0,1602.0,1482.0,120.0,360.0,79.0,2006.0,1045.0,961.0,4.0,9.97045152507721,2.4222441642283234,5.164440221778859,4.924435532485502
2.0,2022.0,1721.0,301.0,1200.0,822.0,1619.0,419.0,1602.0,1481.0,120.0,439.0,79.0,1945.0,1022.0,923.0,10.0,9.988152303788148,2.441643389528634,4.453412992499973,4.89804425199566
3.0,2031.0,1633.0,398.0,1197.0,834.0,1635.0,438.0,1603.0,1482.0,120.0,527.0,85.0,1887.0,1005.0,882.0,11.0,10.006060042236996,2.462379966005045,3.850949011732558,4.8662629506507775
4.0,2046.0,1550.0,496.0,1211.0,835.0,1642.0,431.0,1605.0,1484.0,120.0,610.0,85.0,1815.0,913.0,902.0,16.0,10.023660776911173,2.484278049843773,3.340821067123482,4.8334140670267205
5.0,2061.0,1490.0,571.0,1194.0,867.0,1652.0,458.0,1607.0,1486.0,120.0,670.0,88.0,1764.0,902.0,862.0,17.0,10.032248897496991,2.503840338462731,2.9092377464202936,4.7992942458946946
6.0,2078.0,1408.0,670.0,1164.0,914.0,1669.0,505.0,1607.0,1483.0,120.0,752.0,90.0,1727.0,848.0,879.0,17.0,10.0996518765577,2.5192619911312635,2.544817272764744,4.756051284239149
7.0,2089.0,1379.0,710.0,1159.0,930.0,1685.0,526.0,1601.0,1476.0,120.0,781.0,91.0,1665.0,848.0,817.0,18.0,10.14561220977559,2.5323829850922257,2.236947229612611,4.716756692264691
8.0,2098.0,1419.0,679.0,1156.0,942.0,1699.0,543.0,1598.0,1471.0,120.0,741.0,91.0,1645.0,842.0,803.0,17.0,10.186354511945419,2.5441097580114533,1.9788196769629798,4.7004482367157605
9.0,2103.0,1350.0,753.0,1145.0,958.0,1719.0,574.0,1593.0,1466.0,120.0,810.0,93.0,1682.0,882.0,800.0,19.0,10.232801439754452,2.5524660187524164,1.7616970715172438,4.679130198158505
10.0,2113.0,1352.0,761.0,1132.0,981.0,1732.0,600.0,1589.0,1461.0,120.0,808.0,89.0,1661.0,845.0,816.0,15.0,10.299411911696023,2.5575112800257536,1.584863920683678,4.645865501306167
11.0,2121.0,1371.0,750.0,1128.0,993.0,1748.0,620.0,1585.0,1456.0,120.0,789.0,89.0,1660.0,899.0,761.0,13.0,10.36244855165001,2.5598936151438796,1.4710303394115523,4.606212314305723
12.0,2136.0,1373.0,763.0,1127.0,1009.0,1764.0,637.0,1579.0,1448.0,120.0,787.0,92.0,1673.0,903.0,770.0,12.0,10.451123199836841,2.560049837706228,1.422958308390725,4.574813186696673
13.0,2151.0,1390.0,761.0,1127.0,1024.0,1781.0,654.0,1575.0,1443.0,120.0,770.0,90.0,1674.0,944.0,730.0,17.0,10.513730804409372,2.557547424323962,1.4299035056612937,4.546683014635021
14.0,2160.0,1401.0,759.0,1138.0,1022.0,1797.0,659.0,1571.0,1437.0,120.0,759.0,87.0,1689.0,952.0,737.0,17.0,10.568167675379224,2.555730520174615,1.4433706101511405,4.519966701750673
15.0,2172.0,1402.0,770.0,1146.0,1026.0,1813.0,667.0,1567.0,1431.0,120.0,758.0,84.0,1700.0,990.0,710.0,22.0,10.616167743071776,2.553499863465693,1.4575609578459836,4.498562281821805
16.0,2181.0,1374.0,807.0,1154.0,1027.0,1830.0,676.0,1561.0,1425.0,120.0,786.0,91.0,1710.0,993.0,717.0,19.0,10.659617160811901,2.550311925895583,1.4716438507980145,4.478839813148927
17.0,2193.0,1397.0,796.0,1176.0,1017.0,1842.0,666.0,1557.0,1421.0,120.0,763.0,96.0,1688.0,984.0,704.0,21.0,10.730419485328566,2.5483086903288807,1.4847944830632058,4.469547920647639
18.0,2207.0,1397.0,810.0,1177.0,1030.0,1859.0,682.0,1555.0,1419.0,120.0,763.0,94.0,1722.0,980.0,742.0,21.0,10.831725821877255,2.5449189934559353,1.4988878295815653,4.443750181962802
