tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,4.020056878912608,1.0
250.0,2.0,2.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,1.809253778093178,1.0
250.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,3.658546802136362,55.700944563974865
250.0,4.0,4.0,1.0,5.0,1.0,5.0,0.0,0.0,1.0,3.264305658056558,1.0
250.0,5.0,5.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,5.290780260142363,1.0
250.0,6.0,6.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,7.20735536076368,1.0
250.0,7.0,7.0,1.0,5.0,0.0,4.0,0.0,1.0,0.0,5.93688605039882,1.0
250.0,8.0,8.0,1.0,6.0,3.0,4.0,2.0,2.0,1.0,5.959802216043534,1.0
250.0,9.0,9.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,6.764498370991981,1.0
250.0,10.0,10.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,6.25247601790075,1.0
250.0,11.0,11.0,1.0,7.0,0.0,7.0,0.0,0.0,0.0,6.212248664084891,1.0
250.0,12.0,12.0,1.0,5.0,0.0,4.0,0.0,1.0,0.0,4.848278480019681,1.0
250.0,13.0,13.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,6.384886226859054,1.0
250.0,14.0,14.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,6.044485216351349,1.0
250.0,15.0,15.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,6.512696828104949,1.0
250.0,16.0,16.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,5.910597521963396,1.0
250.0,17.0,17.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,5.8301007550493855,1.0
250.0,18.0,18.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,4.870177298403558,1.0
250.0,19.0,19.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,5.845580084172833,1.0
250.0,20.0,20.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,6.433288302622053,1.0
250.0,21.0,21.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4.469448147741035,1.0
250.0,22.0,22.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,4.019007705524974,1.0
250.0,23.0,23.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.3239997446236926,1.0
250.0,24.0,24.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,6.028481223283911,1.0
250.0,25.0,25.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,4.929108828529063,1.0
250.0,26.0,26.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.374107296171678,1.0
250.0,27.0,27.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3.844562932105862,1.0
250.0,28.0,28.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.804225701072798,1.0
250.0,29.0,29.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.455801738412217,1.0
250.0,30.0,30.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4.540843591800541,1.0
