tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,2019.0,1810.0,209.0,1211.0,808.0,1617.0,406.0,1604.0,1484.0,120.0,350.0,78.0,2006.0,687.0,1319.0,1.0,9.998286226776505,2.4237551330444065,5.164440221778859,4.924435532485502
2.0,2036.0,1694.0,342.0,1211.0,825.0,1634.0,423.0,1606.0,1486.0,120.0,466.0,78.0,1941.0,685.0,1256.0,5.0,10.024125015697585,2.443638501760477,4.452947988238733,4.89138318054178
3.0,2048.0,1607.0,441.0,1197.0,851.0,1647.0,450.0,1608.0,1488.0,120.0,553.0,76.0,1842.0,632.0,1210.0,6.0,10.037605943788012,2.4621604339277248,3.8500748037214265,4.8644804419356795
4.0,2057.0,1566.0,491.0,1185.0,872.0,1658.0,473.0,1610.0,1489.0,120.0,594.0,78.0,1769.0,600.0,1169.0,7.0,10.059342639809396,2.479945966746659,3.3393772510523987,4.840247538922035
5.0,2063.0,1498.0,565.0,1179.0,884.0,1670.0,491.0,1612.0,1490.0,120.0,662.0,75.0,1737.0,609.0,1128.0,9.0,10.069981641522398,2.4973468384538884,2.9070000439037416,4.815636418101323
6.0,2079.0,1413.0,666.0,1172.0,907.0,1682.0,510.0,1612.0,1490.0,120.0,747.0,77.0,1689.0,599.0,1090.0,13.0,10.064719311023303,2.512536366432558,2.5409254285679053,4.7776763906813295
7.0,2094.0,1391.0,703.0,1155.0,939.0,1693.0,538.0,1609.0,1486.0,120.0,769.0,75.0,1627.0,551.0,1076.0,8.0,10.101112912692598,2.524096454653627,2.232094121616846,4.742692411417312
8.0,2106.0,1317.0,789.0,1132.0,974.0,1714.0,582.0,1607.0,1484.0,120.0,843.0,83.0,1615.0,534.0,1081.0,7.0,10.166589787707704,2.531850171526155,1.9722988824471661,4.714978063983708
9.0,2116.0,1353.0,763.0,1133.0,983.0,1736.0,603.0,1600.0,1477.0,120.0,807.0,90.0,1552.0,525.0,1027.0,9.0,10.206094046320704,2.5379113482558164,1.7538898009359667,4.665911049101241
10.0,2133.0,1335.0,798.0,1119.0,1014.0,1748.0,629.0,1597.0,1473.0,120.0,825.0,93.0,1568.0,594.0,974.0,13.0,10.222603755786803,2.541010578502381,1.5757120190616336,4.637176412722855
