tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
30.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.5811185368451803,1.0
30.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.6106383310287353,1.0
30.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.941320328175942,11.001020613500915
30.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.473717364826188,1.0
30.0,5.0,5.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.901512906830858,1.0
30.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.433318743046246,1.0
30.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.7697224856718057,1.0
30.0,8.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.780413514391698,1.0
30.0,9.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.4761233847796604,1.0
30.0,10.0,10.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.1625922143481944,1.1541711115983257
30.0,11.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.8981868045698267,1.0
30.0,12.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.4523289221747713,1.0
30.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.245972893959584,1.0
30.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.2125648307263464,1.0
30.0,15.0,15.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.870495590663637,1.0
30.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.989665158505192,1.0
30.0,17.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.134090071941634,1.0
30.0,18.0,18.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.884664882388757,1.0
30.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.1397562317544065,1.0
30.0,20.0,20.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.7681966478286975,1.0
30.0,21.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.4510867678206902,1.0
30.0,22.0,22.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.3896661981726774,1.0
30.0,23.0,23.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
30.0,24.0,24.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.2067066193245846,1.0
30.0,25.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.930804222758222,1.0
30.0,26.0,26.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.973698358772684,1.0
30.0,27.0,27.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.9674768055887832,1.0
