tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0255318626742793,1.0
250.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.2634693913409911,1.0
250.0,3.0,3.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.1032265956746676,1.0
250.0,4.0,4.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.1592740743,1.0
250.0,5.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,1.1542451463756116,1.0
250.0,6.0,6.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,1.03809065,1.0
250.0,7.0,7.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0052289378472705,1.0
250.0,8.0,8.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.5060281145559595,1.0
250.0,9.0,9.0,1.0,5.0,1.0,5.0,0.0,0.0,1.0,1.6201254493246482,1.0
250.0,10.0,10.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.9753000920711237,1.0
250.0,11.0,11.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.408512077452479,1.0
250.0,12.0,12.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,1.6173114081779092,1.0
250.0,13.0,13.0,1.0,5.0,1.0,5.0,0.0,0.0,1.0,1.4916949881252553,1.0
250.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.9370084291872205,1.0
250.0,15.0,15.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,1.5178579653957969,1.0
250.0,16.0,16.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,2.150812669880691,1.0
250.0,17.0,17.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.9725516530884966,1.0
250.0,18.0,18.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,1.5633937043576704,1.0
250.0,19.0,19.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,2.0630579347343696,1.0
250.0,20.0,20.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,2.931218090175526,1.0
250.0,21.0,21.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.5728419735002097,1.0
250.0,22.0,22.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.429369959609616,1.0
250.0,23.0,23.0,1.0,7.0,1.0,7.0,0.0,0.0,1.0,2.002968868674145,1.0
250.0,24.0,24.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,4.65491160012326,1.0
250.0,25.0,25.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.597745226732418,1.0
250.0,26.0,26.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.8716405863971992,1.0
250.0,27.0,27.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.4979048286409817,1.0
250.0,28.0,28.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,4.330565109293659,1.0
250.0,29.0,29.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0336024730707334,1.0
250.0,30.0,30.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4.268692148308242,1.0
250.0,31.0,31.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0
250.0,32.0,32.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.5661313194456765,1.0
250.0,33.0,33.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0612571878070227,1.0
250.0,34.0,34.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.6442455499412414,1.0
250.0,35.0,35.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.2889880797788278,1.0
250.0,36.0,36.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.1816591469940938,1.0
250.0,37.0,37.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.13434968170255,1.0
250.0,38.0,38.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
250.0,39.0,39.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0
250.0,40.0,40.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
