tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,2015.0,1807.0,208.0,1201.0,814.0,1615.0,414.0,1602.0,1482.0,120.0,353.0,80.0,2068.0,686.0,1382.0,0.0,9.938918986095649,2.4092259927176634,5.1016127863109455,4.96412092743186
2.0,2025.0,1751.0,274.0,1219.0,806.0,1625.0,406.0,1605.0,1483.0,120.0,409.0,81.0,2125.0,1045.0,1080.0,8.0,9.944320439957423,2.430322694879351,4.375622772701003,4.924692842172388
3.0,2038.0,1671.0,367.0,1221.0,817.0,1640.0,419.0,1607.0,1484.0,120.0,489.0,80.0,2151.0,1205.0,946.0,12.0,9.968281126775974,2.452786579542613,3.7593303033566814,4.894945505461588
4.0,2048.0,1564.0,484.0,1215.0,833.0,1649.0,434.0,1609.0,1483.0,120.0,596.0,78.0,2136.0,1265.0,871.0,16.0,9.97888007387134,2.474711148871842,3.2355325867511424,4.860798055857216
5.0,2062.0,1537.0,525.0,1206.0,856.0,1667.0,461.0,1609.0,1483.0,120.0,623.0,79.0,2041.0,1247.0,794.0,24.0,9.990745928057517,2.496073881268289,2.790606006084839,4.831321244428205
6.0,2070.0,1507.0,563.0,1198.0,872.0,1682.0,484.0,1610.0,1482.0,120.0,653.0,81.0,2032.0,1244.0,788.0,21.0,10.043410869393096,2.5153994998151576,2.4125593643612997,4.809663947648738
7.0,2088.0,1500.0,588.0,1175.0,913.0,1703.0,528.0,1604.0,1476.0,120.0,660.0,81.0,2010.0,1261.0,749.0,21.0,10.080522932281703,2.5303759990043075,2.0911226411765944,4.795089925863712
8.0,2099.0,1505.0,594.0,1180.0,919.0,1719.0,539.0,1600.0,1471.0,120.0,655.0,81.0,2019.0,1244.0,775.0,17.0,10.108263195482534,2.542861628825859,1.8191520025788812,4.761829201632226
9.0,2114.0,1494.0,620.0,1175.0,939.0,1730.0,555.0,1596.0,1467.0,120.0,666.0,88.0,2046.0,1264.0,782.0,14.0,10.150910561554843,2.5539848332176094,1.588224416995285,4.724779395352144
10.0,2131.0,1534.0,597.0,1185.0,946.0,1746.0,561.0,1589.0,1460.0,120.0,626.0,85.0,2035.0,1299.0,736.0,19.0,10.205839908026627,2.5654944748757926,1.3956339670470874,4.694809344845185
11.0,2138.0,1546.0,592.0,1177.0,961.0,1764.0,587.0,1586.0,1457.0,120.0,614.0,84.0,2079.0,1306.0,773.0,15.0,10.281504753922269,2.5739134872375904,1.2654258623766217,4.659782953226242
12.0,2153.0,1558.0,595.0,1185.0,968.0,1782.0,597.0,1582.0,1453.0,120.0,602.0,84.0,2084.0,1353.0,731.0,16.0,10.339728203711351,2.5806684523511687,1.2041739769698436,4.627087501764256
13.0,2165.0,1524.0,641.0,1187.0,978.0,1798.0,611.0,1577.0,1447.0,120.0,636.0,88.0,2096.0,1374.0,722.0,17.0,10.373572776050244,2.5855819771209196,1.1969417638094917,4.6052214265051425
14.0,2174.0,1505.0,669.0,1186.0,988.0,1817.0,631.0,1573.0,1441.0,120.0,655.0,89.0,2075.0,1333.0,742.0,16.0,10.443356673586804,2.588587461407178,1.1957325248881074,4.577969241332862
15.0,2186.0,1500.0,686.0,1198.0,988.0,1827.0,629.0,1570.0,1437.0,120.0,660.0,87.0,2057.0,1318.0,739.0,19.0,10.502544277339315,2.5900595012467824,1.1946567219533446,4.547909249875073
16.0,2193.0,1449.0,744.0,1206.0,987.0,1844.0,638.0,1568.0,1435.0,120.0,711.0,92.0,2063.0,1321.0,742.0,25.0,10.55659149329314,2.590670836161644,1.1936314127896157,4.5194961112276735
17.0,2210.0,1417.0,793.0,1189.0,1021.0,1861.0,672.0,1561.0,1428.0,120.0,743.0,94.0,2030.0,1292.0,738.0,26.0,10.608289293877892,2.5882975517831714,1.1925924137585882,4.486988772907663
18.0,2226.0,1430.0,796.0,1203.0,1023.0,1878.0,675.0,1555.0,1421.0,120.0,730.0,89.0,2006.0,1258.0,748.0,26.0,10.66735056099909,2.5860231954876323,1.1917856383665224,4.466728949134164
19.0,2239.0,1455.0,784.0,1212.0,1027.0,1891.0,679.0,1550.0,1416.0,120.0,705.0,89.0,2032.0,1286.0,746.0,19.0,10.726232821756005,2.583441651295963,1.1907731990324952,4.468294010457766
20.0,2254.0,1473.0,781.0,1217.0,1037.0,1904.0,687.0,1550.0,1415.0,120.0,687.0,91.0,2037.0,1326.0,711.0,26.0,10.782763463617481,2.580188522509484,1.1899664429198145,4.4396973464848575
21.0,2264.0,1441.0,823.0,1209.0,1055.0,1925.0,716.0,1541.0,1406.0,120.0,719.0,86.0,2064.0,1382.0,682.0,25.0,10.834903011635037,2.5749627763747265,1.1890852798417937,4.416479154647403
22.0,2290.0,1454.0,836.0,1230.0,1060.0,1936.0,706.0,1535.0,1399.0,120.0,706.0,87.0,2018.0,1347.0,671.0,28.0,10.943903642469543,2.569788230310974,1.1882528961809722,4.397867747175998
23.0,2303.0,1470.0,833.0,1245.0,1058.0,1950.0,705.0,1532.0,1394.0,120.0,690.0,82.0,2024.0,1377.0,647.0,25.0,11.023169902241328,2.5649881551266005,1.187758248092286,4.383126688248938
24.0,2314.0,1506.0,808.0,1250.0,1064.0,1962.0,712.0,1527.0,1387.0,120.0,654.0,87.0,2042.0,1396.0,646.0,30.0,11.103848437344256,2.560080398842954,1.186656940274554,4.3682357227595725
25.0,2320.0,1540.0,780.0,1268.0,1052.0,1978.0,710.0,1520.0,1380.0,120.0,620.0,85.0,2094.0,1478.0,616.0,26.0,11.180700708521696,2.555394573085343,1.1852974753311742,4.355467133269539
