tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.2760142892875406,1.0
250.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.313877872889308,1.0
250.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,1.697997209823107,7338.755410871219
250.0,4.0,4.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.010767354518186,1.0
250.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,6.219378147351838,2.5000803453253524
250.0,6.0,6.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.774565623347943,1.0
250.0,7.0,7.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,5.050466264949509,1.0
250.0,8.0,8.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.6690204369420667,1.0
250.0,9.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.515101309743314,1.0
250.0,10.0,10.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,3.8491985907541117,2011.6440174695585
250.0,11.0,11.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,4.1464910687157985,1.0
250.0,12.0,12.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.341881859684832,1.0
250.0,13.0,13.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.9307140077288554,1.0
250.0,14.0,14.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,1.9530972949583056,1.0
250.0,15.0,15.0,1.0,5.0,0.0,2.0,0.0,3.0,0.0,2.0997625710673704,1.0
250.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.6387286551632094,1.0
250.0,17.0,17.0,1.0,6.0,1.0,6.0,1.0,0.0,0.0,3.211380132451643,15.626506523266155
250.0,18.0,18.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,3.745595722352117,1.0
250.0,19.0,19.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,1.7811522902419132,1.0
250.0,20.0,20.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,3.3691787981425003,1.0
250.0,21.0,21.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.5068165293522218,1.0
250.0,22.0,22.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.2232117046395725,1.0
250.0,23.0,23.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,5.419707247271854,1.0
