tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,2019.0,1810.0,209.0,1211.0,808.0,1617.0,406.0,1604.0,1484.0,120.0,350.0,78.0,2006.0,687.0,1319.0,1.0,9.998286226776505,2.4237551330444065,5.164440221778859,4.924435532485502
2.0,2036.0,1694.0,342.0,1211.0,825.0,1634.0,423.0,1606.0,1486.0,120.0,466.0,78.0,1941.0,685.0,1256.0,5.0,10.024125015697585,2.443638501760477,4.452947988238733,4.89138318054178
3.0,2048.0,1607.0,441.0,1197.0,851.0,1647.0,450.0,1608.0,1488.0,120.0,553.0,76.0,1842.0,632.0,1210.0,6.0,10.037605943788012,2.4621604339277248,3.8500748037214265,4.8644804419356795
4.0,2057.0,1566.0,491.0,1187.0,870.0,1658.0,471.0,1610.0,1489.0,120.0,594.0,78.0,1769.0,600.0,1169.0,7.0,10.059342639809396,2.480169816962493,3.3394910905167707,4.840247538922035
5.0,2065.0,1488.0,577.0,1186.0,879.0,1672.0,486.0,1612.0,1491.0,120.0,672.0,75.0,1737.0,576.0,1161.0,6.0,10.080074314069329,2.4974515545448863,2.9069145919461192,4.815636418101323
6.0,2078.0,1469.0,609.0,1169.0,909.0,1679.0,510.0,1615.0,1493.0,120.0,691.0,76.0,1676.0,575.0,1101.0,10.0,10.128696324378273,2.5120458321652404,2.5409464468440173,4.775139978380149
7.0,2084.0,1462.0,622.0,1160.0,924.0,1696.0,536.0,1611.0,1488.0,120.0,698.0,74.0,1656.0,554.0,1102.0,10.0,10.159195514449396,2.52524233154884,2.2316274896677015,4.740552575050846
8.0,2095.0,1456.0,639.0,1162.0,933.0,1715.0,553.0,1607.0,1484.0,120.0,704.0,76.0,1651.0,613.0,1038.0,10.0,10.182922320586602,2.536938287882,1.9710609915111201,4.700759948428819
9.0,2105.0,1475.0,630.0,1164.0,941.0,1725.0,561.0,1605.0,1481.0,120.0,685.0,82.0,1656.0,540.0,1116.0,12.0,10.216282704439946,2.5471725522960598,1.7526579465840084,4.673544064574084
10.0,2119.0,1419.0,700.0,1169.0,950.0,1745.0,576.0,1600.0,1476.0,120.0,741.0,83.0,1678.0,594.0,1084.0,10.0,10.278000881010533,2.5564016962783027,1.5746608586795992,4.640299636559564
