tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.8890833338358655,1.0
20.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.2835036077207813,1.372705714544856
20.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.372923278627884,8.185792496159465
20.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.5435033169198014,1.0
20.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6939921812534917,1.0
20.0,6.0,6.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.9630907366273733,1.5042729272298063
20.0,7.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.2344859547023708,1.0
20.0,8.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.24311098975173,1.0
20.0,9.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.760375294112211,1.0
20.0,10.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,3.8225455295096213,8.608302912923476
20.0,11.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.2308903919052714,1.0
20.0,12.0,12.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.521511485677815,1.0
20.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.824875535809923,1.0
20.0,14.0,14.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.1436393270004124,1.0
20.0,15.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.451205811615265,1.0
20.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.484848710255175,1.0
20.0,17.0,17.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.023864145721383,1.0
20.0,18.0,18.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.1477344370737157,1.0
20.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.2001208182688057,1.0
20.0,20.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.4906312226215195,1.0
20.0,21.0,21.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.732464544863405,1.0
20.0,22.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.927873851574232,1.0
20.0,23.0,23.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.5997740364715125,1.0
20.0,24.0,24.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.667190693877355,1.0
20.0,25.0,25.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0114115616627357,1.0
20.0,26.0,26.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.7361362609513016,1.0
20.0,27.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.795415246196247,1.0
20.0,28.0,28.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.944735540722404,1.0
