tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.101310370585,1.0
250.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.1592740743,1.0
250.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.729206543915218,1.0
250.0,4.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.576769617622743,1.0
250.0,5.0,5.0,1.0,5.0,1.0,5.0,0.0,0.0,1.0,1.03,1.0
250.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.551019174050578,1.0
250.0,7.0,7.0,1.0,7.0,0.0,4.0,0.0,3.0,0.0,1.0,1.0
250.0,8.0,8.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.9215034807407012,1.0
250.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.895320367405914,1.0
250.0,10.0,10.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,5.318936380578216,1.0
250.0,11.0,11.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.5273901305646174,1.0
250.0,12.0,12.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.7529113184926755,1.0
250.0,13.0,13.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.4545535338943238,1.0
250.0,14.0,14.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,3.7211536533690324,1.0
250.0,15.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.54030435230909,1.0
250.0,16.0,16.0,1.0,7.0,0.0,7.0,0.0,0.0,0.0,2.6202473718721158,1.0
250.0,17.0,17.0,1.0,6.0,1.0,5.0,0.0,1.0,1.0,2.6202473718721158,1.0
250.0,18.0,18.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,3.726001071353448,1.0
250.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.586556591598523,1.0
