tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,2016.0,1729.0,287.0,1190.0,826.0,1615.0,425.0,1602.0,1482.0,120.0,431.0,76.0,2006.0,695.0,1311.0,2.0,9.97482621255158,2.4212942028550515,5.164440221778859,4.924435532485502
2.0,2024.0,1570.0,454.0,1169.0,855.0,1620.0,451.0,1603.0,1481.0,120.0,590.0,80.0,1867.0,949.0,918.0,15.0,9.980162147089574,2.4365360545671284,4.45496724433329,4.879390363532108
3.0,2035.0,1529.0,506.0,1169.0,866.0,1634.0,465.0,1605.0,1481.0,120.0,631.0,83.0,1744.0,1068.0,676.0,31.0,9.991530253935668,2.453606997547261,3.854193018760676,4.853117933709132
4.0,2046.0,1486.0,560.0,1162.0,884.0,1647.0,485.0,1607.0,1483.0,120.0,674.0,82.0,1725.0,1103.0,622.0,32.0,10.031127800322858,2.4696411057143246,3.3455590528562755,4.8397044215461245
5.0,2060.0,1478.0,582.0,1142.0,918.0,1654.0,512.0,1607.0,1483.0,120.0,682.0,84.0,1714.0,1138.0,576.0,32.0,10.04350574928916,2.482851310789975,2.9147195631461424,4.819773213916445
6.0,2073.0,1441.0,632.0,1158.0,915.0,1662.0,504.0,1609.0,1485.0,120.0,719.0,83.0,1708.0,1160.0,548.0,32.0,10.085078024201309,2.497578816335848,2.5508717864828556,4.796338710687794
7.0,2081.0,1435.0,646.0,1137.0,944.0,1671.0,534.0,1608.0,1484.0,120.0,725.0,83.0,1683.0,1165.0,518.0,32.0,10.133167843494203,2.509696494760773,2.2431891578195278,4.790252234096714
8.0,2098.0,1437.0,661.0,1130.0,968.0,1683.0,553.0,1602.0,1477.0,120.0,723.0,82.0,1672.0,1161.0,511.0,30.0,10.175410471777763,2.519668360749902,1.9842556887871887,4.776803648776989
9.0,2112.0,1414.0,698.0,1136.0,976.0,1696.0,560.0,1599.0,1471.0,120.0,746.0,87.0,1683.0,1176.0,507.0,28.0,10.223262217965443,2.529681848967202,1.7673092693868986,4.7543184964043395
10.0,2129.0,1435.0,694.0,1141.0,988.0,1706.0,565.0,1595.0,1467.0,120.0,725.0,91.0,1690.0,1170.0,520.0,24.0,10.298552773356125,2.5390987247706005,1.5906816273878317,4.737468579643138
11.0,2137.0,1432.0,705.0,1140.0,997.0,1720.0,580.0,1592.0,1463.0,120.0,728.0,89.0,1696.0,1213.0,483.0,32.0,10.352077287075208,2.5468791071599517,1.4769615954523454,4.728772435542231
12.0,2148.0,1481.0,667.0,1150.0,998.0,1738.0,588.0,1584.0,1455.0,120.0,679.0,90.0,1704.0,1215.0,489.0,34.0,10.392819323340365,2.5541949787890736,1.4290546923329972,4.71045630566194
13.0,2162.0,1502.0,660.0,1167.0,995.0,1761.0,594.0,1573.0,1444.0,120.0,658.0,89.0,1732.0,1225.0,507.0,28.0,10.418679893717677,2.5612657214506585,1.436590161865695,4.699471716182228
14.0,2176.0,1538.0,638.0,1183.0,993.0,1776.0,593.0,1570.0,1441.0,120.0,622.0,89.0,1748.0,1256.0,492.0,33.0,10.462301621458236,2.5678705533898154,1.4503960699998242,4.680890174933946
15.0,2188.0,1528.0,660.0,1198.0,990.0,1795.0,597.0,1565.0,1434.0,120.0,632.0,84.0,1776.0,1299.0,477.0,27.0,10.530212022841287,2.574481050249818,1.4649571939505233,4.670826914435038
16.0,2203.0,1494.0,709.0,1214.0,989.0,1806.0,592.0,1565.0,1433.0,120.0,666.0,81.0,1781.0,1324.0,457.0,32.0,10.569780761694409,2.579508720028698,1.4793351692888081,4.649903136030288
17.0,2212.0,1460.0,752.0,1224.0,988.0,1820.0,596.0,1558.0,1426.0,120.0,700.0,90.0,1753.0,1290.0,463.0,38.0,10.594267746744661,2.5843470934921853,1.493659387943011,4.626616243202045
18.0,2222.0,1464.0,758.0,1216.0,1006.0,1836.0,620.0,1553.0,1421.0,120.0,696.0,87.0,1731.0,1292.0,439.0,38.0,10.66675445002061,2.587210329502473,1.508786449502885,4.6117683088685295
19.0,2235.0,1479.0,756.0,1220.0,1015.0,1849.0,629.0,1550.0,1418.0,120.0,681.0,87.0,1746.0,1254.0,492.0,29.0,10.708545988551176,2.5898509599051573,1.5245148180515298,4.599901719626178
20.0,2247.0,1504.0,743.0,1228.0,1019.0,1867.0,639.0,1544.0,1412.0,120.0,656.0,82.0,1752.0,1289.0,463.0,35.0,10.741923387035609,2.5914701655409815,1.5411180402319697,4.591303441554325
21.0,2262.0,1540.0,722.0,1235.0,1027.0,1886.0,651.0,1534.0,1402.0,120.0,620.0,88.0,1773.0,1339.0,434.0,37.0,10.798961051993357,2.592954847664331,1.5575061705818534,4.578087107549283
22.0,2275.0,1526.0,749.0,1259.0,1016.0,1898.0,639.0,1530.0,1398.0,120.0,634.0,86.0,1799.0,1389.0,410.0,41.0,10.854518979232045,2.595602680651932,1.5748320877683022,4.559998368574907
23.0,2286.0,1541.0,745.0,1269.0,1017.0,1909.0,640.0,1525.0,1393.0,120.0,619.0,93.0,1799.0,1368.0,431.0,39.0,10.90876332076856,2.597518410320031,1.5929540641006086,4.548572670252335
24.0,2297.0,1599.0,698.0,1285.0,1012.0,1926.0,641.0,1517.0,1384.0,120.0,561.0,82.0,1798.0,1372.0,426.0,35.0,10.993986880728631,2.598853396502041,1.6098059110840364,4.532993603385957
25.0,2306.0,1587.0,719.0,1310.0,996.0,1946.0,636.0,1514.0,1381.0,120.0,573.0,85.0,1834.0,1453.0,381.0,41.0,11.052562461836306,2.6015337017096813,1.6265710903921324,4.506666585080898
26.0,2312.0,1584.0,728.0,1326.0,986.0,1963.0,637.0,1509.0,1376.0,120.0,576.0,83.0,1837.0,1455.0,382.0,44.0,11.117899494943542,2.6036500107874385,1.6422028440285446,4.49889270009474
27.0,2326.0,1615.0,711.0,1362.0,964.0,1987.0,625.0,1504.0,1371.0,120.0,545.0,79.0,1836.0,1459.0,377.0,38.0,11.166088642238174,2.6082387132268354,1.6568766901024936,4.496197812884925
28.0,2344.0,1631.0,713.0,1377.0,967.0,1996.0,619.0,1505.0,1371.0,120.0,529.0,79.0,1853.0,1507.0,346.0,40.0,11.239200460251315,2.613327657806416,1.6730915098579362,4.482848641060617
29.0,2351.0,1623.0,728.0,1387.0,964.0,2004.0,617.0,1501.0,1367.0,120.0,537.0,81.0,1861.0,1525.0,336.0,43.0,11.248837843729167,2.618858911432882,1.688375006900351,4.471445919873048
30.0,2363.0,1658.0,705.0,1406.0,957.0,2026.0,620.0,1497.0,1363.0,120.0,502.0,79.0,1859.0,1525.0,334.0,44.0,11.311710048690374,2.6250829590253137,1.7051950668640319,4.4681131859864305
31.0,2370.0,1681.0,689.0,1416.0,954.0,2040.0,624.0,1496.0,1361.0,121.0,497.0,81.0,1883.0,1565.0,318.0,47.0,11.369317314917458,2.6285920753122203,1.720940756655746,4.466712474569727
32.0,2383.0,1699.0,684.0,1431.0,952.0,2059.0,628.0,1494.0,1359.0,121.0,479.0,72.0,1892.0,1598.0,294.0,44.0,11.404028100481435,2.631860943613789,1.73827728644972,4.45811772507527
33.0,2397.0,1732.0,665.0,1452.0,945.0,2074.0,622.0,1488.0,1351.0,122.0,464.0,77.0,1916.0,1630.0,286.0,45.0,11.456322895000383,2.6348200446763532,1.7544909790406729,4.462741306432641
34.0,2408.0,1745.0,663.0,1461.0,947.0,2089.0,628.0,1485.0,1349.0,121.0,433.0,74.0,1938.0,1653.0,285.0,49.0,11.50032329787732,2.6372846777546126,1.7710519064727321,4.456677556982926
35.0,2416.0,1778.0,638.0,1486.0,930.0,2108.0,622.0,1481.0,1344.0,122.0,418.0,71.0,1945.0,1668.0,277.0,54.0,11.545849327888424,2.6414314218622645,1.7880083062791343,4.456164870018135
36.0,2430.0,1796.0,634.0,1515.0,915.0,2131.0,616.0,1478.0,1340.0,122.0,400.0,75.0,1973.0,1729.0,244.0,57.0,11.588175417838336,2.647621826807046,1.8051714340442266,4.454063494922916
37.0,2446.0,1813.0,633.0,1540.0,906.0,2151.0,611.0,1472.0,1333.0,123.0,401.0,76.0,1994.0,1743.0,251.0,63.0,11.635421545845283,2.6541564019022315,1.819802808060254,4.452892726880266
38.0,2461.0,1812.0,649.0,1563.0,898.0,2169.0,606.0,1470.0,1331.0,123.0,402.0,76.0,2006.0,1775.0,231.0,61.0,11.690622483503754,2.661852319672457,1.8367686816817814,4.462467087410748
39.0,2471.0,1835.0,636.0,1578.0,893.0,2187.0,609.0,1466.0,1328.0,122.0,361.0,69.0,2003.0,1781.0,222.0,59.0,11.768673339700133,2.669105045094998,1.8544062128573944,4.4441221176116485
40.0,2482.0,1840.0,642.0,1605.0,877.0,2204.0,599.0,1461.0,1321.0,124.0,392.0,65.0,2014.0,1790.0,224.0,63.0,11.80536779892201,2.6771629242120487,1.872591384970623,4.454374536857337
41.0,2494.0,1852.0,642.0,1620.0,874.0,2219.0,599.0,1457.0,1316.0,125.0,398.0,71.0,2028.0,1826.0,202.0,74.0,11.827081766947911,2.684266407828911,1.8911943155779445,4.463272021033443
42.0,2505.0,1893.0,612.0,1639.0,866.0,2243.0,604.0,1448.0,1306.0,125.0,357.0,67.0,2046.0,1828.0,218.0,65.0,11.869948519462335,2.6920388695353537,1.9101030292043806,4.478910049481026
43.0,2518.0,1894.0,624.0,1655.0,863.0,2264.0,609.0,1439.0,1296.0,126.0,374.0,65.0,2074.0,1866.0,208.0,72.0,11.903047761535037,2.698975461282545,1.9312180929765788,4.482817751680509
44.0,2528.0,1876.0,652.0,1657.0,871.0,2275.0,618.0,1441.0,1298.0,125.0,374.0,66.0,2074.0,1896.0,178.0,71.0,11.929972735713806,2.7026339793946472,1.9527883837852102,4.485327576944357
45.0,2544.0,1896.0,648.0,1671.0,873.0,2286.0,615.0,1442.0,1298.0,126.0,372.0,62.0,2069.0,1883.0,186.0,64.0,11.953535736423305,2.7056693957201987,1.972556272646634,4.507557812133471
46.0,2558.0,1924.0,634.0,1695.0,863.0,2296.0,601.0,1442.0,1296.0,128.0,380.0,63.0,2084.0,1885.0,199.0,65.0,11.99701746761602,2.7100170104804535,1.9946351415714958,4.522459606696857
47.0,2572.0,1953.0,619.0,1721.0,851.0,2310.0,589.0,1438.0,1290.0,130.0,387.0,69.0,2116.0,1910.0,206.0,65.0,12.050048159935383,2.7158538979349554,2.016717332681753,4.51551438983478
48.0,2591.0,1973.0,618.0,1742.0,849.0,2324.0,582.0,1433.0,1282.0,132.0,403.0,68.0,2145.0,1960.0,185.0,72.0,12.071511719034053,2.7231665193266186,2.0389703025556383,4.511603671043913
49.0,2600.0,2005.0,595.0,1761.0,839.0,2343.0,582.0,1431.0,1277.0,135.0,425.0,75.0,2180.0,1996.0,184.0,73.0,12.092363773466209,2.7312143884130933,2.0635956628212866,4.527497129390881
50.0,2610.0,2026.0,584.0,1779.0,831.0,2364.0,585.0,1428.0,1271.0,138.0,458.0,75.0,2206.0,2016.0,190.0,83.0,12.126134707486907,2.7384187969148064,2.090399474237949,4.527903132115261
51.0,2622.0,2022.0,600.0,1784.0,838.0,2375.0,591.0,1427.0,1265.0,143.0,552.0,85.0,2225.0,2052.0,173.0,82.0,12.147171858629243,2.7439174342907005,2.116798337122518,4.5753700688028855
52.0,2632.0,2058.0,574.0,1798.0,834.0,2390.0,592.0,1422.0,1255.0,146.0,570.0,81.0,2232.0,2055.0,177.0,84.0,12.20305593638178,2.7500090739008054,2.142999936515362,4.5975342444613885
53.0,2638.0,2101.0,537.0,1813.0,825.0,2403.0,590.0,1419.0,1255.0,143.0,473.0,70.0,2273.0,2093.0,180.0,83.0,12.230102194908957,2.7562349076295347,2.1715963144668806,4.601268040607078
54.0,2646.0,2122.0,524.0,1824.0,822.0,2418.0,594.0,1420.0,1250.0,147.0,524.0,76.0,2311.0,2112.0,199.0,79.0,12.242772232698126,2.761088399966608,2.200194167546606,4.609025971479755
55.0,2659.0,2129.0,530.0,1838.0,821.0,2442.0,604.0,1416.0,1242.0,150.0,571.0,76.0,2348.0,2152.0,196.0,85.0,12.260886523501034,2.7666783975759386,2.2284198062208045,4.6291149932478755
56.0,2665.0,2170.0,495.0,1850.0,815.0,2456.0,606.0,1414.0,1241.0,149.0,512.0,71.0,2372.0,2151.0,221.0,87.0,12.27868069033908,2.7728605820078474,2.259119972080174,4.632534485229063
57.0,2680.0,2197.0,483.0,1853.0,827.0,2469.0,616.0,1417.0,1238.0,155.0,593.0,78.0,2402.0,2206.0,196.0,93.0,12.31547899114583,2.7805052438118425,2.2894215530788298,4.6731759364800665
58.0,2691.0,2200.0,491.0,1879.0,812.0,2479.0,600.0,1418.0,1236.0,157.0,626.0,76.0,2426.0,2238.0,188.0,96.0,12.323381727227265,2.789866860982686,2.3136817397751104,4.673386788666134
59.0,2709.0,2237.0,472.0,1895.0,814.0,2497.0,602.0,1416.0,1229.0,161.0,661.0,81.0,2453.0,2246.0,207.0,93.0,12.33233987038913,2.800204606033877,2.3414297669941173,4.727018956728084
60.0,2719.0,2272.0,447.0,1913.0,806.0,2509.0,596.0,1414.0,1221.0,166.0,716.0,83.0,2499.0,2281.0,218.0,82.0,12.348424698599471,2.8105181867434545,2.366500555747271,4.731701212832423
61.0,2729.0,2286.0,443.0,1938.0,791.0,2524.0,586.0,1412.0,1215.0,170.0,774.0,91.0,2536.0,2318.0,218.0,93.0,12.346741196654188,2.82344330102054,2.395150670073496,4.748514378977679
62.0,2742.0,2309.0,433.0,1955.0,787.0,2538.0,583.0,1411.0,1212.0,172.0,787.0,90.0,2559.0,2347.0,212.0,95.0,12.374037228837574,2.8351967857774003,2.423911618323889,4.751464466353512
63.0,2750.0,2332.0,418.0,1985.0,765.0,2554.0,569.0,1405.0,1196.0,180.0,908.0,102.0,2581.0,2369.0,212.0,104.0,12.408385900718024,2.848017688723571,2.4558700983517276,4.776672590687537
