tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
20.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.266831352522199,1.0
20.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.2835036077207804,1.0
20.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.024297810742338,8.185792496159465
20.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.543503316919801,1.0
20.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.6939921812534913,1.0
20.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.1887618844111403,1.0
20.0,7.0,7.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.617048893328785,1.0
20.0,8.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.636804929670483,1.0
20.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5459772130161173,1.0
20.0,10.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.7662930729926005,8.608302912923476
20.0,11.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.979947448844667,1.0
20.0,12.0,12.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.521511485677815,1.0
20.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.3206764054745124,1.0
20.0,14.0,14.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.1436393270004137,1.0
20.0,15.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.657623143119709,1.0
20.0,16.0,16.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.7454581680994075,1.0
20.0,17.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.5643200412125844,1.0
20.0,18.0,18.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.700201068467042,1.0
20.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.02923764791783,1.0
20.0,20.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.059798280886847,1.0
20.0,21.0,21.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.5202342889516838,1.0
20.0,22.0,22.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.9278738515742317,1.0
20.0,23.0,23.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.3615282187914939,1.0
20.0,24.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.092730042511163,1.0
20.0,25.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.1807935879080174,1.0
20.0,26.0,26.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.8823372092419377,1.0
20.0,27.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.2860454678001094,1.0
20.0,28.0,28.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.10850274415166,1.0
20.0,29.0,29.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.8668362682124218,1.0
20.0,30.0,30.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.7090527158925286,1.0
20.0,31.0,31.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.680908724561446,1.0
20.0,32.0,32.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.2040782324438142,1.0
20.0,33.0,33.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.1377976636712273,1.0
20.0,34.0,34.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.01557708589931,1.0
20.0,35.0,35.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.118096590278267,1.0
20.0,36.0,36.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.9201677657335807,1.0
20.0,37.0,37.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.3060937566789,1.0
20.0,38.0,38.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.5454461342279995,8.417358570362795
20.0,39.0,39.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.540255994660206,1.0
20.0,40.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.899651702083611,1.0
20.0,41.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.2876354877937044,1.0
20.0,42.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.5517239255265238,1.0
20.0,43.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5834274212520127,1.0
20.0,44.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0238265020274735,1.0
20.0,45.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.560980685473917,1.0
20.0,46.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.352904253705521,1.0
20.0,47.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5450758116872674,1.0
20.0,48.0,8.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.2734013303164216,1.0
20.0,49.0,9.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.2863305187650678,1.0
20.0,50.0,10.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.542180245941922,1.0
20.0,51.0,11.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.2876495019624,1.0
20.0,52.0,12.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5226203232473625,1.0
20.0,53.0,13.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.503941610795939,8.507109265512762
20.0,54.0,14.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.4776004040524118,1.0
20.0,55.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.4659024224590875,1.0
20.0,56.0,16.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.794334121712458,1.0
20.0,57.0,17.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.166809291294366,1.0
20.0,58.0,18.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.005125067938661,1.0
20.0,59.0,19.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0802384529127504,1.0
20.0,60.0,20.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0462647145445776,1.0
20.0,61.0,21.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5470310112792824,1.0
20.0,62.0,22.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.3731987771953174,1.0
20.0,63.0,23.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.7198390551749598,1.0
20.0,64.0,24.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.982444308386667,1.0
20.0,65.0,25.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.274673171786796,1.0
20.0,66.0,26.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.733452845711605,1.0
20.0,67.0,27.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,1.9004346694428433,1.0
20.0,68.0,28.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.2183106282466802,1.0
20.0,69.0,29.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.869739119719918,1.0
20.0,70.0,30.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.3680294043137966,1.0
20.0,71.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.343415543566897,1.0
20.0,72.0,32.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.9084454719360973,1.0
20.0,73.0,33.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.6838820458340296,1.0
20.0,74.0,34.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.307811385915553,1.0
20.0,75.0,35.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.8928740559884543,1.0
20.0,76.0,36.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.405569424579813,1.0
20.0,77.0,37.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.1033642037611475,1.0
20.0,78.0,38.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.254596515306369,1.0
20.0,79.0,39.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.215458987066625,1.0
20.0,80.0,40.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.4065262909562217,1.0
20.0,81.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.7763081535195706,1.0
20.0,82.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.4047970902295623,1.0
20.0,83.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.351446689012976,8.145803441437513
20.0,84.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.4013528217709212,1.0
20.0,85.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.5090658914728494,1.0
20.0,86.0,6.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.5266925053936293,1.0
20.0,87.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.37824562573084,1.0
20.0,88.0,8.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.167315840704033,1.0
20.0,89.0,9.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,2.5100283639366245,1.0
20.0,90.0,10.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,2.22176144755768,1.0
20.0,91.0,11.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.920472820235924,8.25211035104223
20.0,92.0,12.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.632621341453374,1.0
20.0,93.0,13.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.4539280667883694,1.4587700987928387
20.0,94.0,14.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.344325246445251,8.438061316890032
20.0,95.0,15.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.087714376733581,1.0
20.0,96.0,16.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.018132098219703,1.0
20.0,97.0,17.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.103766299788322,1.0
