tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.194415922559616,1.0
250.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0
250.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,1.487808234820732,1.0
250.0,4.0,4.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.237164315432216,1.0
250.0,5.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.005193515652051,1.0
250.0,6.0,6.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.82324237313048,1.0
250.0,7.0,7.0,1.0,6.0,1.0,5.0,0.0,1.0,1.0,1.0984408015670346,1.0
250.0,8.0,8.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.5076492543883866,1.0
250.0,9.0,9.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,3.2674806305328774,1.0
250.0,10.0,10.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,5.766846812626905,1.0
250.0,11.0,11.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,2.767659363402604,1.0
250.0,12.0,12.0,1.0,5.0,1.0,5.0,0.0,0.0,1.0,1.8374863615956063,1.0
250.0,13.0,13.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,2.2319070833551877,1.0
250.0,14.0,14.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,3.721153653369034,1.0
250.0,15.0,15.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,3.1458520013281017,1.0
250.0,16.0,16.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.6332687983886416,1.0
250.0,17.0,17.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,3.310401913312327,1.0
250.0,18.0,18.0,1.0,5.0,0.0,2.0,0.0,3.0,0.0,3.7260010713534495,1.0
250.0,19.0,19.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,6.337839459682128,1.0
250.0,20.0,20.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,5.472752090787453,1.0
250.0,21.0,21.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,5.253892011012149,1.0
250.0,22.0,22.0,1.0,7.0,1.0,7.0,0.0,0.0,1.0,4.724393656278612,1.0
250.0,23.0,23.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9.544895194568818,77.10313409679873
250.0,24.0,24.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,5.128385619769742,1.0
250.0,25.0,25.0,1.0,6.0,1.0,6.0,0.0,0.0,1.0,5.344191677247301,1.0
250.0,26.0,26.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,5.879031001323386,1.0
250.0,27.0,27.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,6.31829901088824,1.0
250.0,28.0,28.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,5.602156729890476,1.0
250.0,29.0,29.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,5.976447599523107,1.0
250.0,30.0,30.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,5.337818245475009,1.0
250.0,31.0,31.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,4.0445273480272155,1.0
250.0,32.0,32.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,4.792960904218598,1.0
250.0,33.0,33.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,5.238827069731997,1.0
250.0,34.0,34.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,4.201841231828641,1.0
