tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.132374561948361,1.0
20.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.475798648370952,1.0
20.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.2789755211206395,1.0
20.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5435033169198005,1.0
20.0,5.0,5.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.234598321228776,1.0
20.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.9410910584374585,1.0
20.0,7.0,7.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0609336475410216,1.0
20.0,8.0,8.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.432004546783456,1.0
20.0,9.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.3482314100634074,1.0
20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.999244068613031,8.608302912923476
20.0,11.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.4645398365374565,1.0
20.0,12.0,12.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.32566593339216,1.0
20.0,13.0,13.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.3206764054745124,1.0
20.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.674271366403876,1.0
20.0,15.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.387148638940685,1.0
20.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.3328702002223367,1.0
20.0,17.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0238641457213826,1.0
20.0,18.0,18.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.4697740725598214,1.0
20.0,19.0,19.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0292376479178302,1.0
20.0,20.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.8462901444414968,1.0
20.0,21.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.2120461336793196,1.0
20.0,22.0,22.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.888329327253419,1.0
20.0,23.0,23.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.4761832266897248,1.0
20.0,24.0,24.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.6671906938773544,1.0
