tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,1.7157629909799563
250.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.03,1.0
250.0,3.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,1.1255088100000001,1.0
250.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.211822131538071,1.0
250.0,5.0,5.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,1.03809065,1.0
250.0,6.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.4596235458805626,1.0
250.0,7.0,7.0,1.0,5.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0
250.0,8.0,8.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,1.1576329549330209,1.0
250.0,9.0,9.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,1.8522196604266081,1.0
250.0,10.0,10.0,1.0,6.0,1.0,5.0,0.0,1.0,1.0,1.9667312454003654,1.0
250.0,11.0,11.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4.567930147275347,1.0
250.0,12.0,12.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,2.5262942314774453,1.0
250.0,13.0,13.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,5.629958153798044,1.0
250.0,14.0,14.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.628002484791933,1.0
250.0,15.0,15.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,3.75341819871916,1.0
250.0,16.0,16.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,2.528307104129004,1.0
250.0,17.0,17.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,2.83349754729216,1.0
250.0,18.0,18.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,3.266771805371732,1.0
250.0,19.0,19.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,4.223036093555568,1.0
250.0,20.0,20.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,4.60260171517897,1.0
250.0,21.0,21.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.865677910869172,1.0
250.0,22.0,22.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,4.687406056099466,1.0
250.0,23.0,23.0,1.0,5.0,0.0,4.0,0.0,1.0,0.0,3.831219073351036,1.0
250.0,24.0,24.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,4.075158528428865,1.0
250.0,25.0,25.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,3.5000183229002526,1.0
250.0,26.0,26.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,3.6682476342135977,1.0
250.0,27.0,27.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,4.312070820096626,2.1424401117323053
250.0,28.0,28.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,6.449098170031031,1.0
250.0,29.0,29.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,5.817590041291848,1.0
250.0,30.0,30.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,5.017900831180289,1.0
250.0,31.0,31.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,5.749912553881155,1.0
250.0,32.0,32.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,5.077948642844857,1.0
250.0,33.0,33.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.7557550404209046,1.0
250.0,34.0,34.0,1.0,5.0,1.0,5.0,0.0,0.0,1.0,1.59497005841943,1.0
250.0,35.0,35.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,3.639667862790519,1.0
250.0,36.0,36.0,1.0,5.0,1.0,5.0,1.0,0.0,0.0,1.6921037349771733,2.0388402009085667
250.0,37.0,37.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.59859662916579,1.0
250.0,38.0,38.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.773430403566296,1.0
250.0,39.0,39.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.1775577984058936,1.0
250.0,40.0,40.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.7796118971953192,1.0
250.0,41.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,1.1704130953512553,1.0
250.0,42.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.1268003691734667,1.0
250.0,43.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.9787370156642787,1.0
250.0,44.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.1437671533213947,1.0
250.0,45.0,5.0,2.0,5.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0
250.0,46.0,6.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.359827175296698,1.0
250.0,47.0,7.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.773025705889803,1.0
250.0,48.0,8.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,2.7224160044952566,1.0
250.0,49.0,9.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,3.1662026549658187,1.0
250.0,50.0,10.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,3.210459148177147,1.0
250.0,51.0,11.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,6.536786991000158,1.0
250.0,52.0,12.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,5.41302551024339,1.0
250.0,53.0,13.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,5.4621238526662514,1.0
250.0,54.0,14.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,3.893545823908132,1.0
250.0,55.0,15.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,5.511909578830388,1.0
250.0,56.0,16.0,2.0,4.0,2.0,4.0,2.0,0.0,0.0,4.173240518788392,2.5833739646144824
250.0,57.0,17.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,4.655623395185608,1.0
250.0,58.0,18.0,2.0,6.0,1.0,6.0,0.0,0.0,1.0,4.064263521025242,1.0
250.0,59.0,19.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,5.792853538120289,1.0
250.0,60.0,20.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,4.721436263766546,1.0
250.0,61.0,21.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,4.841257748956258,1.0
250.0,62.0,22.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0,4.844843910714704,1.0
250.0,63.0,23.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,5.122055157463403,1.0
250.0,64.0,24.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,6.8290950236501535,3.312141378558451
250.0,65.0,25.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,4.936335031757082,1.0
250.0,66.0,26.0,2.0,7.0,1.0,6.0,0.0,1.0,1.0,4.082249100918798,1.0
250.0,67.0,27.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,5.020408925182341,1.0
250.0,68.0,28.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0,5.285471581310166,4.3354608164020165
250.0,69.0,29.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,6.642571115131959,1.0
250.0,70.0,30.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0,5.64724130340565,2.5970901255351233
250.0,71.0,31.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,5.1789133224198345,1.0
250.0,72.0,32.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,5.809277759720433,1.0
250.0,73.0,33.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,4.303454595568881,1.1623687180730007
250.0,74.0,34.0,2.0,6.0,1.0,5.0,1.0,1.0,0.0,2.796782165127417,4.34640862603759
250.0,75.0,35.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,4.21570098420562,1.0
250.0,76.0,36.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,2.63394848252411,1.0
250.0,77.0,37.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,1.705395209815419,1.0
250.0,78.0,38.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.5594518714440277,1.592770704748823
250.0,79.0,39.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.2590840925705353,1.0
250.0,80.0,40.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.630184361668845,1.0
250.0,81.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,1.432689230167362,1.0
250.0,82.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
250.0,83.0,3.0,3.0,4.0,2.0,4.0,1.0,0.0,1.0,1.346254726783043,1.0
250.0,84.0,4.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,1.03,1.0
250.0,85.0,5.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.737957538259504,1.0
250.0,86.0,6.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,2.2164345257878573,1.0
250.0,87.0,7.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,5.212536176534803,1.0
250.0,88.0,8.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,3.631768931435399,1.0
250.0,89.0,9.0,3.0,6.0,0.0,6.0,0.0,0.0,0.0,3.3422537524708544,1.0
250.0,90.0,10.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,3.111953098239997,1.0
250.0,91.0,11.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,5.862492309010025,1.0
250.0,92.0,12.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,5.4025509957521205,1.0
250.0,93.0,13.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,6.455350382121165,1.0
250.0,94.0,14.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,5.698746068848798,1.0
250.0,95.0,15.0,3.0,4.0,1.0,3.0,0.0,1.0,1.0,6.433080157254631,1.0
250.0,96.0,16.0,3.0,5.0,2.0,3.0,2.0,2.0,0.0,5.703252227213579,2.9936616062639017
250.0,97.0,17.0,3.0,4.0,1.0,4.0,0.0,0.0,1.0,5.577350151673087,1.0
250.0,98.0,18.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,5.116651844080551,1.0
250.0,99.0,19.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,5.2945894120658785,1.0
250.0,100.0,20.0,3.0,9.0,0.0,9.0,0.0,0.0,0.0,4.690475696927609,1.0
250.0,101.0,21.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,6.1191403350704405,2.3863889879479228
250.0,102.0,22.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,6.042010531395296,2.3795035651110017
250.0,103.0,23.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,7.244317114693524,2.1918839628934794
250.0,104.0,24.0,3.0,5.0,1.0,5.0,0.0,0.0,1.0,5.80592130821428,1.0
250.0,105.0,25.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,6.790004465390766,7.187885418721136
250.0,106.0,26.0,3.0,6.0,1.0,6.0,1.0,0.0,0.0,5.202838680040474,7.278558224598725
250.0,107.0,27.0,3.0,5.0,2.0,5.0,2.0,0.0,0.0,5.461922762151626,3.5424644509884073
250.0,108.0,28.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,6.360011085679256,3.697621330649299
250.0,109.0,29.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,6.1897865260969205,1.0
250.0,110.0,30.0,3.0,5.0,1.0,5.0,0.0,0.0,1.0,5.813096293464473,2.419173268196724
250.0,111.0,31.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,5.295086852306128,3.757932381293413
250.0,112.0,32.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,6.888070519729884,3.024177116670341
250.0,113.0,33.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,5.741373020320229,1.0
250.0,114.0,34.0,3.0,5.0,1.0,5.0,0.0,0.0,1.0,3.51993509922882,1.0
250.0,115.0,35.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,5.34032387886801,3.4384656989367484
250.0,116.0,36.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,5.928527862056009,1.0
250.0,117.0,37.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,2.9800335769029576,1.0
250.0,118.0,38.0,3.0,4.0,1.0,4.0,0.0,0.0,1.0,1.5949700584194302,1.0
250.0,119.0,39.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,1.3651122266817384,1.0
250.0,120.0,40.0,3.0,4.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0
250.0,121.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,2.180006140497631,1.0
250.0,122.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,4.491923124997209,1.0
250.0,123.0,3.0,4.0,5.0,1.0,5.0,0.0,0.0,1.0,1.1255088100000001,1.0
250.0,124.0,4.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,2.613623075137643,1.0
250.0,125.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0294553103984847,2.0002625199442425
250.0,126.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,4.524067039913477,1.0
250.0,127.0,7.0,4.0,3.0,1.0,3.0,0.0,0.0,1.0,3.8831848892591214,1.0
250.0,128.0,8.0,4.0,5.0,1.0,4.0,0.0,1.0,1.0,3.044884510574045,1.0
250.0,129.0,9.0,4.0,3.0,1.0,2.0,1.0,1.0,0.0,6.02364999292436,3.148920098342776
250.0,130.0,10.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,5.470320036998509,1.0
250.0,131.0,11.0,4.0,2.0,1.0,0.0,1.0,2.0,0.0,5.464114821082556,3.19266745091209
250.0,132.0,12.0,4.0,3.0,1.0,2.0,0.0,1.0,1.0,5.257323558745757,1.0
250.0,133.0,13.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,5.966211273614135,4.435281952061219
250.0,134.0,14.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,6.031557928061145,1.0
250.0,135.0,15.0,4.0,4.0,1.0,3.0,1.0,1.0,0.0,6.449569997376112,3.3154339878229377
250.0,136.0,16.0,4.0,5.0,2.0,5.0,1.0,0.0,1.0,5.160813085298974,1.0
250.0,137.0,17.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,5.519247929178867,3.434639007888414
250.0,138.0,18.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,5.870026368685352,1.0
250.0,139.0,19.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,5.474351635464558,1.0
250.0,140.0,20.0,4.0,4.0,1.0,3.0,1.0,1.0,0.0,5.331629962073188,3.035200397098478
250.0,141.0,21.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,6.487597797436623,6.499709748643011
250.0,142.0,22.0,4.0,4.0,2.0,4.0,2.0,0.0,0.0,6.077265263511741,2.1976198402779277
250.0,143.0,23.0,4.0,5.0,1.0,5.0,0.0,0.0,1.0,5.343190216946508,1.0
250.0,144.0,24.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,5.7579018383276175,5.385093943344904
250.0,145.0,25.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,7.522563685441199,2.7720168834026673
250.0,146.0,26.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,5.93339104988379,1.0
250.0,147.0,27.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,6.267059503405294,3.573208859683384
250.0,148.0,28.0,4.0,1.0,2.0,0.0,2.0,1.0,0.0,9.751039703957419,1.8764694743061952
250.0,149.0,29.0,4.0,5.0,1.0,5.0,1.0,0.0,0.0,6.564464285880623,3.5310923128974716
250.0,150.0,30.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,6.9355965100825046,2.6518063668305083
250.0,151.0,31.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,6.409968972757269,1.0
250.0,152.0,32.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,7.434590138345152,8.30037941410519
250.0,153.0,33.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,6.190010753758123,1.0
250.0,154.0,34.0,4.0,3.0,0.0,2.0,0.0,1.0,0.0,5.63606380949351,1.0
250.0,155.0,35.0,4.0,4.0,1.0,3.0,0.0,1.0,1.0,5.640972463622821,1.0
250.0,156.0,36.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,6.4659458074058715,3.0658543190604846
250.0,157.0,37.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,6.288540029574233,1.0
250.0,158.0,38.0,4.0,1.0,2.0,1.0,0.0,0.0,2.0,7.83424369442589,1.0
250.0,159.0,39.0,4.0,4.0,1.0,4.0,0.0,0.0,1.0,1.6047064390987884,1.0
250.0,160.0,40.0,4.0,3.0,1.0,3.0,0.0,0.0,1.0,2.130500895688948,1.0
250.0,161.0,1.0,5.0,5.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0
250.0,162.0,2.0,5.0,3.0,1.0,3.0,0.0,0.0,1.0,1.4008449121047326,1.0
250.0,163.0,3.0,5.0,2.0,1.0,0.0,0.0,2.0,1.0,1.5482244961462464,1.0
250.0,164.0,4.0,5.0,5.0,1.0,5.0,0.0,0.0,1.0,1.0609,1.0
250.0,165.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,1.0,3.106491311264162,1.0
250.0,166.0,6.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,3.750985261048144,1.0
250.0,167.0,7.0,5.0,4.0,1.0,3.0,1.0,1.0,0.0,3.788976884432679,1.0
250.0,168.0,8.0,5.0,5.0,2.0,4.0,1.0,1.0,1.0,3.051695243829528,1.0
250.0,169.0,9.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,7.8123244208355445,1.0
250.0,170.0,10.0,5.0,2.0,2.0,2.0,1.0,0.0,1.0,6.090690227918876,1.0
250.0,171.0,11.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,7.134356590931096,1.0
250.0,172.0,12.0,5.0,2.0,2.0,2.0,1.0,0.0,1.0,7.944903872457165,1.0
250.0,173.0,13.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,7.03070074555443,1.0
250.0,174.0,14.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,5.757831702605937,1.0
