tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.5235922850311439,1.0
250.0,2.0,2.0,1.0,5.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0
250.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.3894687112422197,1.0
250.0,4.0,4.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.630015389289147,1.0
250.0,5.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,3.2571518648011106,1.0
250.0,6.0,6.0,1.0,7.0,1.0,6.0,0.0,1.0,1.0,1.5510191740505777,1.0
250.0,7.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,4.658197040487413,1.0
250.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.959802216043532,1.0
250.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.3075578720295615,1.0
250.0,10.0,10.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,5.807103334333872,4.383906018707096
250.0,11.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7.917550684048425,1.0
250.0,12.0,12.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,4.124395634101012,1.0
250.0,13.0,13.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,5.888972733510782,3.5645167703377765
250.0,14.0,14.0,1.0,7.0,1.0,7.0,0.0,0.0,1.0,4.742621452905652,1.0
250.0,15.0,15.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,6.006856297766702,1.3439163793441222
250.0,16.0,16.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,6.0736038289365135,1.0
250.0,17.0,17.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,5.377277395433902,1.0
250.0,18.0,18.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,5.148698407013754,1.0
250.0,19.0,19.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,4.972792936154194,1.0
250.0,20.0,20.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,5.271125995748784,4.132251879260153
250.0,21.0,21.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,3.1670100267775716,1.0
250.0,22.0,22.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,4.293365068074851,338.01289362813594
250.0,23.0,23.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,4.720114710115315,1.0
250.0,24.0,24.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,5.4719066111587455,1.0
250.0,25.0,25.0,1.0,4.0,1.0,3.0,0.0,1.0,1.0,4.546265424371471,1.0
250.0,26.0,26.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,5.422407234230316,1.0
250.0,27.0,27.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,3.95302175946251,1.0
250.0,28.0,28.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,4.765714439368599,1.0
250.0,29.0,29.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,4.720114710115316,1.0
250.0,30.0,30.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.966725980614193,1.0
250.0,31.0,31.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,3.173415349867653,1.0
250.0,32.0,32.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,2.4314857867696578,1.0
250.0,33.0,33.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,3.287643497254042,5.891603104045746
250.0,34.0,34.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,4.555680493456316,1.0
250.0,35.0,35.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,5.695174409836263,2.7319052955063365
250.0,36.0,36.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4.705509338183533,1.0
250.0,37.0,37.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,4.959911801086031,1.0
250.0,38.0,38.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,5.7533097503300175,1.0
250.0,39.0,39.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.339634059752008,1.0
250.0,40.0,40.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,6.044857408329195,1.0
250.0,41.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.707894343942682,1.0
250.0,42.0,2.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,2.751867020916851,1.0
250.0,43.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,6.33087487049682,1.0
250.0,44.0,4.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,1.6173114081779092,1.0
250.0,45.0,5.0,2.0,3.0,1.0,3.0,0.0,0.0,1.0,2.1937984004048277,1.0
250.0,46.0,6.0,2.0,4.0,1.0,3.0,0.0,1.0,1.0,3.376282696612481,1.0
250.0,47.0,7.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,2.562821594165746,1.0
250.0,48.0,8.0,2.0,7.0,0.0,7.0,0.0,0.0,0.0,2.2892528367072424,1.0
250.0,49.0,9.0,2.0,6.0,1.0,6.0,1.0,0.0,0.0,3.7397139228861076,3.8950437169008882
250.0,50.0,10.0,2.0,5.0,0.0,4.0,0.0,1.0,0.0,5.299642395653165,1.0
250.0,51.0,11.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,9.470659324762522,1.0
250.0,52.0,12.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,5.258866138449042,1.0
250.0,53.0,13.0,2.0,6.0,2.0,6.0,2.0,0.0,0.0,6.136089169982122,1.8607000323461345
250.0,54.0,14.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,7.738193514318044,2.3565655060093813
250.0,55.0,15.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,6.073603828936515,1.0
250.0,56.0,16.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,5.825303537263791,1.0
250.0,57.0,17.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0,5.239144015709934,1.0
250.0,58.0,18.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,6.262529571250126,1.1596530994465983
250.0,59.0,19.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0,5.4387064167119386,1.0
250.0,60.0,20.0,2.0,4.0,1.0,3.0,1.0,1.0,0.0,5.014518988660561,3.953253010959406
250.0,61.0,21.0,2.0,5.0,0.0,4.0,0.0,1.0,0.0,4.89734657568242,1.0
250.0,62.0,22.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,5.08894412544023,1.0
250.0,63.0,23.0,2.0,5.0,1.0,2.0,0.0,3.0,1.0,5.371506801766016,1.0
250.0,64.0,24.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,4.858122489093248,1.0
250.0,65.0,25.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,7.104398738522926,2.3917830862157974
250.0,66.0,26.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,5.592137568889885,274.83541453364137
250.0,67.0,27.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,4.295431424199752,1.7024330612399046
250.0,68.0,28.0,2.0,5.0,0.0,3.0,0.0,2.0,0.0,2.8469567493553907,1.0
250.0,69.0,29.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,5.582424428945294,1.0
250.0,70.0,30.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,4.93659292856507,1.0
250.0,71.0,31.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,4.885280807741535,1.0
250.0,72.0,32.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,5.592262288707348,1.092727
250.0,73.0,33.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,5.595045865744369,4.790412472103749
250.0,74.0,34.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,5.655457934970162,2.8982783280026725
250.0,75.0,35.0,2.0,4.0,1.0,4.0,0.0,0.0,1.0,2.799210491728311,1.0
250.0,76.0,36.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,4.3706723193987616,1.0
250.0,77.0,37.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,4.071612412246379,97.67194345504203
250.0,78.0,38.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,5.7717849609256495,1.0
250.0,79.0,39.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,3.92895180799239,1.0
250.0,80.0,40.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,1.2503557570846155,1.0
250.0,81.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,1.8660239893298594,1.0
250.0,82.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,2.846579568164872,1.0
250.0,83.0,3.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,2.183932286762976,3.2620377919990777
250.0,84.0,4.0,3.0,3.0,1.0,3.0,0.0,0.0,1.0,3.927854047187009,1.0
250.0,85.0,5.0,3.0,4.0,1.0,4.0,0.0,0.0,1.0,2.1493269240352957,1.0
250.0,86.0,6.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,5.320510972815941,1.4257608868461793
250.0,87.0,7.0,3.0,4.0,1.0,4.0,0.0,0.0,1.0,5.375397091774173,1.0
250.0,88.0,8.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,6.76909373867697,1.1592740743
250.0,89.0,9.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,4.451348698473746,1.0
250.0,90.0,10.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,5.444586366496353,7.9178219121217515
250.0,91.0,11.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,6.0882628594812225,17.58777076145853
250.0,92.0,12.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,6.442183886307158,1.0
250.0,93.0,13.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,6.013527380036982,1.9735865111266062
250.0,94.0,14.0,3.0,5.0,2.0,5.0,2.0,0.0,0.0,6.753245971710279,3.35989892575905
