tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,2012.0,1697.0,315.0,1191.0,821.0,1613.0,422.0,1602.0,1482.0,120.0,463.0,80.0,2006.0,657.0,1349.0,0.0,10.015651714719358,2.4215496221865918,5.164440221778859,4.924435532485502
2.0,2020.0,1611.0,409.0,1182.0,838.0,1618.0,436.0,1608.0,1486.0,120.0,549.0,79.0,1861.0,624.0,1237.0,10.0,10.041963889096508,2.4385122705350795,4.454424618094484,4.880639640164275
3.0,2026.0,1510.0,516.0,1177.0,849.0,1627.0,450.0,1610.0,1487.0,120.0,650.0,81.0,1795.0,611.0,1184.0,10.0,10.03871936687851,2.4566576856341458,3.8510971671721874,4.840304663094044
4.0,2034.0,1440.0,594.0,1154.0,880.0,1638.0,484.0,1613.0,1489.0,120.0,720.0,78.0,1711.0,589.0,1122.0,13.0,10.040699269806934,2.472505517989553,3.340556488515332,4.817020268545883
5.0,2047.0,1378.0,669.0,1156.0,891.0,1647.0,491.0,1615.0,1492.0,119.0,764.0,83.0,1642.0,510.0,1132.0,11.0,10.03822512693221,2.488427063224571,2.906625110265157,4.788460731203666
6.0,2056.0,1336.0,720.0,1144.0,912.0,1654.0,510.0,1615.0,1491.0,119.0,806.0,84.0,1610.0,557.0,1053.0,12.0,10.099978087094446,2.5031693454174473,2.5390600037480793,4.7628195937972
7.0,2069.0,1281.0,788.0,1122.0,947.0,1666.0,544.0,1612.0,1487.0,119.0,861.0,87.0,1580.0,546.0,1034.0,8.0,10.154287479929447,2.514224218579078,2.2284890478855575,4.737860815025767
8.0,2076.0,1287.0,789.0,1098.0,978.0,1680.0,582.0,1608.0,1483.0,119.0,855.0,89.0,1535.0,548.0,987.0,7.0,10.185031592917753,2.521144502932123,1.9669220472993145,4.713349735452004
9.0,2090.0,1297.0,793.0,1102.0,988.0,1697.0,595.0,1603.0,1477.0,119.0,845.0,90.0,1529.0,564.0,965.0,6.0,10.222386737419283,2.5273035450309265,1.747032415435559,4.673394082383239
10.0,2099.0,1282.0,817.0,1110.0,989.0,1715.0,605.0,1599.0,1473.0,119.0,860.0,88.0,1537.0,517.0,1020.0,8.0,10.269588812828927,2.5331397985237167,1.566856706843048,4.63597048439711
11.0,2111.0,1281.0,830.0,1094.0,1017.0,1731.0,637.0,1595.0,1468.0,119.0,861.0,92.0,1531.0,534.0,997.0,9.0,10.351177481915785,2.5352037494148147,1.449948860090974,4.617010660712176
12.0,2122.0,1228.0,894.0,1087.0,1035.0,1742.0,655.0,1592.0,1465.0,119.0,914.0,103.0,1527.0,598.0,929.0,7.0,10.420947219872515,2.5352689055201987,1.3994037635802465,4.58295332662415
13.0,2130.0,1241.0,889.0,1077.0,1053.0,1747.0,670.0,1588.0,1461.0,119.0,901.0,101.0,1475.0,567.0,908.0,12.0,10.417596451162867,2.5348308481894692,1.4034904015850538,4.5493696394756125
14.0,2136.0,1299.0,837.0,1089.0,1047.0,1762.0,673.0,1583.0,1455.0,119.0,843.0,95.0,1493.0,580.0,913.0,9.0,10.499280053965242,2.534795668491353,1.4141282465634726,4.52437871845473
15.0,2148.0,1323.0,825.0,1106.0,1042.0,1783.0,677.0,1579.0,1451.0,119.0,819.0,95.0,1546.0,606.0,940.0,11.0,10.530589471304209,2.536220666119541,1.42600625683478,4.4917466296573725
16.0,2153.0,1319.0,834.0,1119.0,1034.0,1804.0,685.0,1572.0,1444.0,119.0,823.0,94.0,1562.0,644.0,918.0,9.0,10.63502554070365,2.5360624738794364,1.4371167233706572,4.462975119702064
17.0,2164.0,1303.0,861.0,1128.0,1036.0,1818.0,690.0,1569.0,1441.0,119.0,839.0,93.0,1552.0,662.0,890.0,9.0,10.731051950391747,2.5340704521901682,1.4492538769742618,4.429021631136547
18.0,2174.0,1327.0,847.0,1148.0,1026.0,1830.0,682.0,1564.0,1437.0,117.0,779.0,86.0,1506.0,619.0,887.0,16.0,10.771413824812923,2.531529141063485,1.460542494902188,4.405700437655751
19.0,2187.0,1305.0,882.0,1148.0,1039.0,1844.0,696.0,1559.0,1432.0,117.0,801.0,87.0,1525.0,681.0,844.0,22.0,10.872519589465075,2.5272915710220927,1.4721127787327497,4.373465217132747
20.0,2200.0,1304.0,896.0,1165.0,1035.0,1854.0,689.0,1556.0,1428.0,118.0,820.0,93.0,1507.0,707.0,800.0,16.0,10.954145382291372,2.523484727984628,1.484750349945528,4.347721196238095
21.0,2220.0,1315.0,905.0,1162.0,1058.0,1867.0,705.0,1556.0,1429.0,117.0,791.0,91.0,1503.0,696.0,807.0,18.0,10.993249937592683,2.5185466838002735,1.4983998535516792,4.3194615124066615
22.0,2228.0,1286.0,942.0,1147.0,1081.0,1887.0,740.0,1547.0,1420.0,117.0,820.0,87.0,1506.0,699.0,807.0,16.0,11.034858415332405,2.512118810334969,1.5112227500457005,4.29537795731181
23.0,2235.0,1307.0,928.0,1163.0,1072.0,1896.0,733.0,1541.0,1414.0,117.0,799.0,87.0,1485.0,700.0,785.0,7.0,11.107354988141575,2.5063364256901592,1.5240660747794783,4.276541396173098
24.0,2244.0,1317.0,927.0,1177.0,1067.0,1908.0,731.0,1534.0,1407.0,117.0,789.0,84.0,1493.0,767.0,726.0,14.0,11.179874698657786,2.5002715063358303,1.5369670984671393,4.240603799020341
25.0,2259.0,1325.0,934.0,1195.0,1064.0,1919.0,724.0,1532.0,1405.0,117.0,781.0,89.0,1502.0,735.0,767.0,15.0,11.201368234090477,2.49539539769403,1.55102508722839,4.20607781239452
26.0,2275.0,1325.0,950.0,1201.0,1074.0,1940.0,739.0,1530.0,1403.0,117.0,781.0,89.0,1513.0,757.0,756.0,16.0,11.272445938884355,2.490580616994755,1.565033343013896,4.18584631992777
27.0,2289.0,1346.0,943.0,1225.0,1064.0,1951.0,726.0,1528.0,1401.0,117.0,760.0,91.0,1493.0,758.0,735.0,12.0,11.343446368063995,2.4854335164678805,1.5801229494432172,4.159252476193575
28.0,2303.0,1242.0,1061.0,1200.0,1103.0,1963.0,763.0,1529.0,1402.0,117.0,864.0,98.0,1515.0,804.0,711.0,16.0,11.420707272123769,2.476326821919475,1.59472748224952,4.132134885121805
29.0,2317.0,1305.0,1012.0,1219.0,1098.0,1974.0,755.0,1527.0,1400.0,117.0,801.0,97.0,1442.0,767.0,675.0,14.0,11.540809907663284,2.4685904162590413,1.6089595814758904,4.105971559104073
30.0,2325.0,1382.0,943.0,1250.0,1075.0,1987.0,737.0,1517.0,1390.0,117.0,724.0,98.0,1484.0,824.0,660.0,15.0,11.630947704281152,2.4621231986574306,1.6233521357425038,4.08497756192863
31.0,2338.0,1422.0,916.0,1282.0,1056.0,1998.0,716.0,1515.0,1388.0,117.0,684.0,90.0,1535.0,885.0,650.0,20.0,11.724019633998111,2.458519121185333,1.6385747460290458,4.060546777253886
32.0,2346.0,1441.0,905.0,1297.0,1049.0,2004.0,707.0,1516.0,1389.0,117.0,665.0,92.0,1562.0,940.0,622.0,21.0,11.804211012831228,2.453541103526697,1.6552514093999355,4.03888508902557
33.0,2355.0,1437.0,918.0,1305.0,1050.0,2018.0,713.0,1512.0,1385.0,117.0,669.0,88.0,1568.0,919.0,649.0,21.0,11.882501910974467,2.4492146055676436,1.671750023306974,4.026855524335846
34.0,2366.0,1415.0,951.0,1324.0,1042.0,2035.0,711.0,1509.0,1381.0,117.0,691.0,88.0,1548.0,972.0,576.0,26.0,11.942925488279892,2.4447412689997225,1.6895935817116499,3.9983902667321956
35.0,2377.0,1387.0,990.0,1315.0,1062.0,2048.0,733.0,1507.0,1376.0,119.0,755.0,88.0,1534.0,977.0,557.0,20.0,11.969764302247999,2.438504515329291,1.7087593025651184,4.001142887314654
36.0,2390.0,1377.0,1013.0,1309.0,1081.0,2059.0,750.0,1504.0,1372.0,119.0,765.0,89.0,1529.0,975.0,554.0,28.0,12.08421694831755,2.431421651731707,1.7262691447013816,3.975642625979926
37.0,2401.0,1355.0,1046.0,1300.0,1101.0,2076.0,776.0,1499.0,1366.0,119.0,787.0,91.0,1523.0,960.0,563.0,25.0,12.119362659202505,2.423518101760865,1.7453165062482783,3.9611071291884357
38.0,2413.0,1423.0,990.0,1309.0,1104.0,2085.0,776.0,1498.0,1364.0,120.0,737.0,92.0,1513.0,980.0,533.0,28.0,12.209980848871226,2.414625753980755,1.7657054531233747,3.954321072854798
39.0,2427.0,1452.0,975.0,1343.0,1084.0,2100.0,757.0,1495.0,1359.0,122.0,744.0,95.0,1567.0,1035.0,532.0,28.0,12.290551868137799,2.4102523544360537,1.783981225756453,3.9552543421738595
40.0,2437.0,1470.0,967.0,1370.0,1067.0,2109.0,739.0,1493.0,1357.0,121.0,708.0,92.0,1576.0,1064.0,512.0,35.0,12.379196121060879,2.407250598959629,1.8038593284148965,3.9386437077286
41.0,2446.0,1495.0,951.0,1401.0,1045.0,2128.0,727.0,1490.0,1350.0,124.0,737.0,97.0,1573.0,1039.0,534.0,32.0,12.453237153571402,2.405331425272232,1.8253361989880679,3.9594999756977542
42.0,2458.0,1482.0,976.0,1408.0,1050.0,2142.0,734.0,1489.0,1350.0,123.0,732.0,93.0,1618.0,1166.0,452.0,37.0,12.541301139650766,2.401235648835312,1.848190957716256,3.9227342822631766
43.0,2466.0,1481.0,985.0,1405.0,1061.0,2157.0,752.0,1483.0,1344.0,123.0,733.0,95.0,1621.0,1139.0,482.0,35.0,12.619468779862567,2.3952319807718485,1.8670169850585177,3.9191240273882193
44.0,2483.0,1481.0,1002.0,1401.0,1082.0,2166.0,765.0,1481.0,1341.0,124.0,751.0,96.0,1628.0,1127.0,501.0,30.0,12.708192762714734,2.387725742952558,1.8860490486208275,3.9137447454244714
45.0,2491.0,1519.0,972.0,1406.0,1085.0,2181.0,775.0,1482.0,1340.0,126.0,749.0,94.0,1620.0,1167.0,453.0,39.0,12.807920173624312,2.381061029571319,1.9070889837977265,3.907071468812635
46.0,2504.0,1496.0,1008.0,1417.0,1087.0,2191.0,774.0,1482.0,1336.0,130.0,844.0,101.0,1656.0,1242.0,414.0,43.0,12.835465824449246,2.3743307192598375,1.9279843334133875,3.9368196289398254
47.0,2515.0,1519.0,996.0,1443.0,1072.0,2209.0,766.0,1479.0,1331.0,132.0,857.0,104.0,1681.0,1200.0,481.0,40.0,12.922510248255584,2.369731842868005,1.946772063589699,3.944064317139577
48.0,2527.0,1544.0,983.0,1455.0,1072.0,2224.0,769.0,1475.0,1322.0,137.0,922.0,105.0,1706.0,1302.0,404.0,49.0,13.014494718376863,2.3656120190214063,1.9679522337672681,3.9749094299775374
49.0,2533.0,1592.0,941.0,1481.0,1052.0,2236.0,755.0,1477.0,1325.0,136.0,856.0,98.0,1721.0,1319.0,402.0,51.0,13.113549236458917,2.362685308695161,1.988985503270772,3.969651689849382
50.0,2552.0,1620.0,932.0,1507.0,1045.0,2249.0,742.0,1475.0,1314.0,141.0,918.0,101.0,1754.0,1424.0,330.0,61.0,13.175661236710887,2.3617682430960714,2.007719654868524,4.0073048858589795
51.0,2567.0,1620.0,947.0,1519.0,1048.0,2263.0,744.0,1471.0,1310.0,140.0,900.0,98.0,1793.0,1437.0,356.0,63.0,13.261055580416961,2.3615591526985664,2.026877177305085,4.008436940755059
52.0,2583.0,1662.0,921.0,1536.0,1047.0,2278.0,742.0,1466.0,1304.0,141.0,876.0,96.0,1795.0,1466.0,329.0,66.0,13.300664839778694,2.3618007077620558,2.048771719878187,4.01151487975234
53.0,2594.0,1664.0,930.0,1543.0,1051.0,2285.0,742.0,1466.0,1300.0,145.0,946.0,99.0,1823.0,1539.0,284.0,72.0,13.324732044478857,2.362387759148652,2.0707473708656465,4.052929226966674
54.0,2612.0,1686.0,926.0,1570.0,1042.0,2301.0,731.0,1466.0,1298.0,145.0,924.0,102.0,1841.0,1501.0,340.0,67.0,13.351468671293503,2.3641115384830713,2.090269007950633,4.042598610858482
55.0,2627.0,1711.0,916.0,1600.0,1027.0,2308.0,708.0,1467.0,1294.0,149.0,971.0,107.0,1879.0,1558.0,321.0,67.0,13.37010873596787,2.3661347718112573,2.1103402101300706,4.062222039346111
56.0,2646.0,1759.0,887.0,1636.0,1010.0,2319.0,683.0,1466.0,1287.0,154.0,1013.0,120.0,1929.0,1593.0,336.0,71.0,13.426918788989253,2.3736411673664115,2.130835776435838,4.077486539388588
57.0,2657.0,1746.0,911.0,1640.0,1017.0,2337.0,697.0,1464.0,1279.0,160.0,1134.0,121.0,1980.0,1682.0,298.0,76.0,13.447133425739969,2.3800158495701833,2.154349009297421,4.129400205407733
58.0,2666.0,1799.0,867.0,1682.0,984.0,2346.0,664.0,1461.0,1277.0,158.0,1045.0,120.0,1982.0,1655.0,327.0,75.0,13.529594341362785,2.387633312840403,2.17764592546088,4.131828062771238
59.0,2677.0,1817.0,860.0,1703.0,974.0,2358.0,655.0,1459.0,1276.0,154.0,955.0,115.0,2031.0,1707.0,324.0,72.0,13.615836774024276,2.3967818291977627,2.203766841755944,4.109140032331512
60.0,2685.0,1842.0,843.0,1722.0,963.0,2374.0,652.0,1458.0,1269.0,157.0,984.0,110.0,2052.0,1792.0,260.0,77.0,13.687713048791796,2.4048492258114442,2.229931817725034,4.127388776399571
61.0,2706.0,1857.0,849.0,1751.0,955.0,2388.0,637.0,1462.0,1267.0,161.0,1041.0,120.0,2077.0,1795.0,282.0,77.0,13.717813119532194,2.415406643082398,2.2528969402631356,4.175196943014384
62.0,2718.0,1908.0,810.0,1792.0,926.0,2401.0,609.0,1458.0,1263.0,161.0,990.0,114.0,2100.0,1816.0,284.0,85.0,13.77090374170241,2.4276050998843335,2.2726184982416124,4.171716803834864
63.0,2732.0,1985.0,747.0,1835.0,897.0,2415.0,580.0,1458.0,1256.0,167.0,1021.0,113.0,2155.0,1878.0,277.0,86.0,13.831663139737987,2.4424199916982725,2.2930914361478374,4.201358219288736
64.0,2744.0,2030.0,714.0,1850.0,894.0,2429.0,579.0,1456.0,1245.0,172.0,1066.0,116.0,2226.0,1971.0,255.0,99.0,13.848841199249692,2.4567100629883942,2.3163462088323308,4.199362340590067
65.0,2760.0,2065.0,695.0,1897.0,863.0,2436.0,539.0,1455.0,1242.0,171.0,1013.0,116.0,2289.0,2032.0,257.0,107.0,13.896074024918725,2.474271050178215,2.343425091424874,4.217919728232591
66.0,2774.0,2114.0,660.0,1929.0,845.0,2454.0,525.0,1450.0,1232.0,173.0,1000.0,116.0,2336.0,2115.0,221.0,108.0,13.908870329176994,2.493977485980961,2.37372993836298,4.226918068152599
67.0,2785.0,2169.0,616.0,1962.0,823.0,2471.0,509.0,1445.0,1219.0,180.0,1071.0,120.0,2396.0,2141.0,255.0,103.0,13.979646003556692,2.5145893279564855,2.4071486920415155,4.246890316859429
68.0,2805.0,2210.0,595.0,2009.0,796.0,2483.0,474.0,1443.0,1206.0,188.0,1174.0,121.0,2465.0,2200.0,265.0,115.0,13.99989258780389,2.5371510065327927,2.44382446046682,4.279698428460086
69.0,2822.0,2206.0,616.0,2032.0,790.0,2507.0,475.0,1438.0,1194.0,193.0,1268.0,130.0,2508.0,2287.0,221.0,123.0,14.01462251572618,2.561414238782494,2.4827856695452892,4.301828941028836
