tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.13237456194836,1.0
20.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.684286955602191,1.0
20.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.3729232786278844,8.185792496159465
20.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.1637399788105567,1.0
20.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.7516495286162415,1.0
20.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.501965011065894,1.0
20.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.847859027641415,1.0
20.0,8.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.6368049296704834,1.0
20.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.7603752941122113,1.0
20.0,10.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.251811990180445,8.608302912923476
20.0,11.0,11.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.1193516594518758,1.0
20.0,12.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.095837022005438,1.0
20.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.2164526569902936,1.0
20.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.899473165679993,1.0
20.0,15.0,15.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.5090306510100917,1.344819597227643
20.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.2245916520224656,1.0
20.0,17.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.721686673120508,1.0
20.0,18.0,18.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.9378330959708852,1.0
20.0,19.0,19.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.200120818268805,1.0
20.0,20.0,20.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.233254978224686,1.0
20.0,21.0,21.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.1228059926369567,1.0
20.0,22.0,22.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.5126475720774328,1.0
20.0,23.0,23.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.6004933931478071,1.0
20.0,24.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.7802703962355775,1.0
20.0,25.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.1807935879080187,1.0
20.0,26.0,26.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.2127108535011324,1.0
20.0,27.0,27.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.8658564681605807,1.0
20.0,28.0,28.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.108502744151659,1.0
20.0,29.0,29.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.3700017694698703,1.0
20.0,30.0,30.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0090127715128916,1.0
20.0,31.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.6504421696265859,1.0
20.0,32.0,32.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.4154089715231495,1.0
20.0,33.0,33.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
20.0,34.0,34.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.7146369309304619,1.0
20.0,35.0,35.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.5328204413480664,1.0
20.0,36.0,36.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.4472595563747,1.0
20.0,37.0,37.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.2077248564104628,1.0
20.0,38.0,38.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.997206877228924,8.417358570362795
20.0,39.0,39.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.9931345921001256,1.0
20.0,40.0,40.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.1438328980485464,1.0
20.0,41.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.7949235960556735,1.0
20.0,42.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.4829773529389456,1.0
20.0,43.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.2925859696660713,1.0
20.0,44.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.6857844163867908,1.0
20.0,45.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5609806854739174,1.0
20.0,46.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.4264238947136554,1.0
20.0,47.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.545075811687267,1.0
20.0,48.0,8.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.933966161382382,1.0
20.0,49.0,9.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.425367009232136,1.0
20.0,50.0,10.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,2.1626144518452115,1.0
20.0,51.0,11.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.8646729713372965,1.0
20.0,52.0,12.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.5226203232473625,1.0
20.0,53.0,13.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,3.7513906743880128,8.507109265512762
20.0,54.0,14.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.1076768448084646,1.0
20.0,55.0,15.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.4659024224590866,1.0
20.0,56.0,16.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.3771199404708203,1.0
20.0,57.0,17.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0466418943530282,1.194941233606194
20.0,58.0,18.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.3570495119957067,1.0
20.0,59.0,19.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.5054233306159248,1.0
20.0,60.0,20.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.8275890624682845,1.0
20.0,61.0,21.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.7000673847893155,1.0
20.0,62.0,22.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.1112027556655844,1.0
20.0,63.0,23.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.57665281219588,1.0
20.0,64.0,24.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.330387996418189,1.0
20.0,65.0,25.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.784753109112069,1.0
20.0,66.0,26.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.8244984102175457,1.0
20.0,67.0,27.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.233984643558906,8.351153322553596
20.0,68.0,28.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.7405299538613,1.0
20.0,69.0,29.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.5701788265082937,1.0
20.0,70.0,30.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.2722130209488665,1.0
