tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,2012.0,1697.0,315.0,1191.0,821.0,1613.0,422.0,1602.0,1482.0,120.0,463.0,80.0,2006.0,657.0,1349.0,0.0,10.015651714719358,2.4215496221865918,5.164440221778859,4.924435532485502
2.0,2020.0,1611.0,409.0,1182.0,838.0,1618.0,436.0,1608.0,1486.0,120.0,549.0,79.0,1861.0,624.0,1237.0,10.0,10.041963889096508,2.4385122705350795,4.454424618094484,4.880639640164275
3.0,2026.0,1510.0,516.0,1177.0,849.0,1627.0,450.0,1610.0,1487.0,120.0,650.0,81.0,1795.0,611.0,1184.0,10.0,10.03871936687851,2.4566576856341458,3.8510971671721874,4.840304663094044
4.0,2034.0,1440.0,594.0,1154.0,880.0,1638.0,484.0,1613.0,1489.0,120.0,720.0,78.0,1711.0,589.0,1122.0,13.0,10.040699269806934,2.472505517989553,3.340556488515332,4.817020268545883
5.0,2047.0,1378.0,669.0,1156.0,891.0,1647.0,491.0,1615.0,1492.0,119.0,764.0,83.0,1642.0,510.0,1132.0,11.0,10.03822512693221,2.488427063224571,2.906625110265157,4.788460731203666
6.0,2056.0,1336.0,720.0,1144.0,912.0,1654.0,510.0,1615.0,1491.0,119.0,806.0,84.0,1610.0,557.0,1053.0,12.0,10.099978087094446,2.5031693454174473,2.5390600037480793,4.7628195937972
7.0,2069.0,1281.0,788.0,1122.0,947.0,1666.0,544.0,1612.0,1487.0,119.0,861.0,87.0,1580.0,546.0,1034.0,8.0,10.154287479929447,2.514224218579078,2.2284890478855575,4.737860815025767
8.0,2076.0,1287.0,789.0,1098.0,978.0,1680.0,582.0,1608.0,1483.0,119.0,855.0,89.0,1535.0,548.0,987.0,7.0,10.185031592917753,2.521144502932123,1.9669220472993145,4.713349735452004
9.0,2090.0,1297.0,793.0,1102.0,988.0,1697.0,595.0,1603.0,1477.0,119.0,845.0,90.0,1529.0,564.0,965.0,6.0,10.222386737419283,2.5273035450309265,1.747032415435559,4.673394082383239
10.0,2099.0,1282.0,817.0,1110.0,989.0,1715.0,605.0,1599.0,1473.0,119.0,860.0,88.0,1537.0,517.0,1020.0,8.0,10.269588812828927,2.5331397985237167,1.566856706843048,4.63597048439711
11.0,2111.0,1281.0,830.0,1094.0,1017.0,1731.0,637.0,1595.0,1468.0,119.0,861.0,92.0,1531.0,534.0,997.0,9.0,10.351177481915785,2.5352037494148147,1.449948860090974,4.617010660712176
12.0,2122.0,1228.0,894.0,1087.0,1035.0,1742.0,655.0,1592.0,1465.0,119.0,914.0,103.0,1527.0,598.0,929.0,7.0,10.420947219872515,2.5352689055201987,1.3994037635802465,4.58295332662415
13.0,2130.0,1241.0,889.0,1077.0,1053.0,1747.0,670.0,1588.0,1461.0,119.0,901.0,101.0,1475.0,567.0,908.0,12.0,10.417596451162867,2.5348308481894692,1.4034904015850538,4.5493696394756125
14.0,2136.0,1299.0,837.0,1089.0,1047.0,1762.0,673.0,1583.0,1455.0,119.0,843.0,95.0,1493.0,580.0,913.0,9.0,10.499280053965242,2.534795668491353,1.4141282465634726,4.52437871845473
15.0,2148.0,1323.0,825.0,1106.0,1042.0,1783.0,677.0,1579.0,1451.0,119.0,819.0,95.0,1546.0,606.0,940.0,11.0,10.530589471304209,2.536220666119541,1.42600625683478,4.4917466296573725
16.0,2153.0,1319.0,834.0,1119.0,1034.0,1804.0,685.0,1572.0,1444.0,119.0,823.0,94.0,1562.0,644.0,918.0,9.0,10.63502554070365,2.5360624738794364,1.4371167233706572,4.462975119702064
17.0,2164.0,1303.0,861.0,1128.0,1036.0,1818.0,690.0,1569.0,1441.0,119.0,839.0,93.0,1552.0,662.0,890.0,9.0,10.731051950391747,2.5340704521901682,1.4492538769742618,4.429021631136547
18.0,2174.0,1327.0,847.0,1148.0,1026.0,1830.0,682.0,1564.0,1437.0,117.0,779.0,86.0,1506.0,619.0,887.0,16.0,10.771413824812923,2.531529141063485,1.460542494902188,4.405700437655751
19.0,2187.0,1305.0,882.0,1148.0,1039.0,1844.0,696.0,1559.0,1432.0,117.0,801.0,87.0,1525.0,681.0,844.0,22.0,10.872519589465075,2.5272915710220927,1.4721127787327497,4.373465217132747
20.0,2200.0,1304.0,896.0,1165.0,1035.0,1854.0,689.0,1556.0,1428.0,118.0,820.0,93.0,1507.0,707.0,800.0,16.0,10.954145382291372,2.523484727984628,1.484750349945528,4.347721196238095
