tick,worker_id,origin_lot_id,budget,sampled_count,chosen_firm_id,chosen_firm_type,chosen_price,chosen_score,best_sampled_firm_id,best_sampled_score,best_global_firm_id,best_global_score,best_global_price,better_unsampled_count,affordable_global_count
1,1,1224,8.60217668373607,9,,,NaN,-Inf,,-Inf,17,0.12895012808969303,4.004186285051901,0,120
1,2,1295,7.6968394499813915,9,,,NaN,-Inf,,-Inf,54,0.17507919590833015,4.052426830776183,0,120
1,3,489,9.741968973359796,8,,,NaN,-Inf,,-Inf,7,0.15657308762725333,3.953627290074344,0,120
1,4,496,7.354777841632564,9,,,NaN,-Inf,,-Inf,54,0.14882362537904711,4.052426830776183,0,120
1,5,1162,8.64934729500513,11,,,NaN,-Inf,,-Inf,7,0.09887003255022152,3.953627290074344,0,120
1.0,6.0,445.0,6.9542133224589175,9.0,120.0,1.0,4.011219883663619,0.1044523544315143,120.0,0.1044523544315143,17.0,0.13368804054661226,4.004186285051901,30.0,120.0
1,6,445,2.9429934387952983,11,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1,7,1097,7.060747069379603,9,,,NaN,-Inf,,-Inf,17,0.1664297825741731,4.004186285051901,0,120
1,8,1122,7.731588393552906,7,,,NaN,-Inf,,-Inf,17,0.10855369450632874,4.004186285051901,0,120
1,9,1515,9.638223475834627,8,,,NaN,-Inf,,-Inf,7,0.10973502248743187,3.953627290074344,0,120
1,10,1352,9.054829471626096,11,,,NaN,-Inf,,-Inf,17,0.09578189155017447,4.004186285051901,0,120
1,11,1020,8.159776479907618,9,,,NaN,-Inf,,-Inf,17,0.08968285031524297,4.004186285051901,0,120
1,12,1274,7.496736264702114,9,,,NaN,-Inf,,-Inf,7,0.11611229590222906,3.953627290074344,0,120
1.0,13.0,274.0,8.587707484933194,8.0,85.0,1.0,4.491990095275938,0.12658409527112888,85.0,0.12658409527112888,7.0,0.14382096754666127,3.953627290074344,10.0,120.0
1,13,274,4.095717389657256,8,,,NaN,-Inf,,-Inf,7,0.14382096754666127,3.953627290074344,0,11
1.0,14.0,630.0,9.278037352038568,8.0,106.0,2.0,4.2055798506502065,0.08557230342980211,106.0,0.08557230342980211,54.0,0.09899350713989365,4.052426830776183,17.0,120.0
1,14,630,5.072457501388362,13,,,NaN,-Inf,,-Inf,54,0.09899350713989365,4.052426830776183,0,72
1,15,633,7.927657198464921,10,,,NaN,-Inf,,-Inf,7,0.15671222729867862,3.953627290074344,0,120
1,16,135,8.244992609352785,11,,,NaN,-Inf,,-Inf,54,0.0847052048020443,4.052426830776183,0,120
1,17,212,8.352945998319711,8,,,NaN,-Inf,,-Inf,17,0.08902170565888873,4.004186285051901,0,120
1,18,1458,8.346520845383855,8,,,NaN,-Inf,,-Inf,7,0.1374198859100346,3.953627290074344,0,120
1,19,548,8.767540420913393,8,,,NaN,-Inf,,-Inf,7,0.12858812261370342,3.953627290074344,0,120
1,20,845,9.524764776243883,10,,,NaN,-Inf,,-Inf,54,0.1458305762522853,4.052426830776183,0,120
1,21,946,8.069067023474346,8,,,NaN,-Inf,,-Inf,7,0.10843308901195532,3.953627290074344,0,120
1.0,22.0,774.0,7.759564488587145,13.0,110.0,1.0,5.15794289685056,0.11326316029047616,110.0,0.11326316029047616,7.0,0.14776428586522694,3.953627290074344,25.0,120.0
1,22,774,2.601621591736585,8,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,23.0,543.0,7.543030878859144,9.0,5.0,3.0,4.509758797548317,0.08057836966474431,5.0,0.08057836966474431,17.0,0.09279194249570966,4.004186285051901,21.0,120.0
1,23,543,3.0332720813108267,10,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
1.0,24.0,849.0,7.291429738210349,10.0,51.0,1.0,5.010524440253431,0.05171799827485339,51.0,0.05171799827485339,17.0,0.11885462707914334,4.004186285051901,85.0,120.0
1,24,849,2.2809052979569175,10,,,NaN,-Inf,,-Inf,,-Inf,NaN,0,0
