tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0121972999923763,2.7409168009121423
5.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0343516265760786,2.6296729484462227
5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.1046496134526604,5.25414871257035
5.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.651890907409438,2.7415200203248644
5.0,5.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.440558516543399,2.380226534747334
5.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.828252614766026,2.0820386536052684
5.0,7.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.329705232382111,3.30777467139719
5.0,8.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5356407839104897,2.1714369336346286
5.0,9.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.258138729344878,2.3150911467374797
5.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.127052369756108,5.525342071469898
5.0,11.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.865618233710154,3.1833355739627187
5.0,12.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.850348194714633,2.895910807607098
5.0,13.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.505505870350801,3.0805779577782726
5.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5716697764006042,3.2767291173167887
5.0,15.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.5556602819309995,3.0308845969195897
5.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.9730877954159578,2.4757978934094638
