tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
250.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,5.123574507215094,1.9735865111266062
250.0,2.0,2.0,1.0,6.0,1.0,5.0,1.0,1.0,0.0,4.0496238840290095,16.578160770533067
250.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,3.8813523023864676,33.69998751029268
250.0,4.0,4.0,1.0,6.0,1.0,5.0,1.0,1.0,0.0,4.160367317464558,4.515423199268309
250.0,5.0,5.0,1.0,5.0,3.0,5.0,3.0,0.0,0.0,4.500828715975576,3.1690982426779652
250.0,6.0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,4.092423781103557,8.155356569485404
250.0,7.0,7.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,3.9626947205579066,43.97083999881037
250.0,8.0,8.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,5.069960882250248,10.330961705272054
250.0,9.0,9.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,4.895320367405908,2.6523352383556666
250.0,10.0,10.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,4.524780925131343,19.218631980856298
250.0,11.0,11.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,4.146491068715795,8.155356569485404
250.0,12.0,12.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,4.471713161183207,511.2748297704623
250.0,13.0,13.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.26172150311655,1.0
250.0,14.0,14.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,5.142000101571394,259.05873742448995
250.0,15.0,15.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,4.347031275022034,2.2879276757372633
250.0,16.0,16.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,5.02810280287677,34.710987135601464
250.0,17.0,17.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,4.574411206880102,11.633925180437084
250.0,18.0,18.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,4.748799501614624,81.79871496329378
250.0,19.0,19.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,4.230319186425826,5.5534009841132495
250.0,20.0,20.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,3.9605116752901637,300.3200780171023
250.0,21.0,21.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,4.46944814774103,8.652017784567064
250.0,22.0,22.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,4.357450459674443,28.2232089903059
250.0,23.0,23.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,4.445212744888422,8.155356569485404
250.0,24.0,24.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0238317720254795,12.705779806019251
250.0,25.0,25.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,4.546265424371462,41.44673390405351
250.0,26.0,26.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,3.9240781974205987,29.069905260015076
250.0,27.0,27.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,3.8897210607518025,820.4460114817978
250.0,28.0,28.0,1.0,4.0,2.0,4.0,2.0,0.0,0.0,4.395561861553566,10.330961705272054
250.0,29.0,29.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0,5.0841209902625994,23.636493202473762
250.0,30.0,30.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,5.337818245475008,1.0
250.0,31.0,31.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,3.7303893015784975,223.4663425738356
250.0,32.0,32.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,4.420692096123957,3.363928589996202
250.0,33.0,33.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,6.676900758042905,3.1217547578671048
250.0,34.0,34.0,1.0,5.0,2.0,3.0,2.0,2.0,0.0,4.20184123182864,6.438615334830195
250.0,35.0,35.0,1.0,4.0,2.0,4.0,2.0,0.0,0.0,4.172963730815073,2.8568478292081227
250.0,36.0,36.0,1.0,5.0,0.0,3.0,0.0,2.0,0.0,4.0029429519376345,1.0
250.0,37.0,37.0,1.0,6.0,1.0,6.0,1.0,0.0,0.0,4.0896858337694235,50.97425483581431
250.0,38.0,38.0,1.0,6.0,2.0,6.0,2.0,0.0,0.0,3.840163004616813,133.6451588167504
250.0,39.0,39.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0,4.155055724863825,2.2562052387097573
250.0,40.0,40.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,4.0347623880876675,1.0
250.0,41.0,1.0,2.0,5.0,2.0,5.0,2.0,0.0,0.0,4.056951466158806,14.729481122882603
250.0,42.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,4.122831073581566,207.5595502034277
250.0,43.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,4.581516469860053,6.631051198626835
250.0,44.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,4.763038991126823,3.8950437169008882
250.0,45.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,4.541708852732537,3.8950437169008882
250.0,46.0,6.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,3.968862396494386,1.0
250.0,47.0,7.0,2.0,2.0,4.0,1.0,4.0,1.0,0.0,4.51350274150017,12.335708549533253
250.0,48.0,8.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,3.4297452088788845,1.2667700813876164
250.0,49.0,9.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,4.054637200602826,2.4272624711896627
250.0,50.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,4.158203191623467,7.4633065436155634
250.0,51.0,11.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,4.574647550325182,1.0
250.0,52.0,12.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,4.473679602177632,12.335708549533253
250.0,53.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,4.09565687337511,7626.823448364417
250.0,54.0,14.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,4.052570986712666,1.0
250.0,55.0,15.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,4.37309462175212,1.0
250.0,56.0,16.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,4.215645490370224,2.5750827556851132
250.0,57.0,17.0,2.0,6.0,2.0,5.0,2.0,1.0,0.0,4.166268889497136,2.9852266778427525
