tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
20.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.396153472428222,1.0
20.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.9103321729160596,1.0
20.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.2789755211206395,8.185792496159465
20.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.9899198547592434,1.0
20.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.3408084641117517,1.0
20.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.1887618844111407,1.0
20.0,7.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.087678735232272,1.0
20.0,8.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.360615763678715,1.0
20.0,9.0,9.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.244855567339218,1.0
20.0,10.0,10.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.551435358585409,8.608302912923476
20.0,11.0,11.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.7484952198081873,1.0
20.0,12.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.1450316861383993,1.0
20.0,13.0,13.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0627597914570748,1.0
20.0,14.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.1436393270004124,1.0
20.0,15.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.6576231431197077,1.0
20.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.411925685876989,1.0
20.0,17.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0321414244456197,1.0
20.0,18.0,18.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.1010190408947493,1.0
20.0,19.0,19.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.804060558547213,1.0
20.0,20.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.8462901444414968,1.0
20.0,21.0,21.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.9625668223255848,1.0
20.0,22.0,22.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.8883293272534183,1.0
20.0,23.0,23.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.4805459364799276,1.0
20.0,24.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.2689599408278935,1.0
20.0,25.0,25.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.563550046993481,1.0
20.0,26.0,26.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.6010691905588383,1.0
20.0,27.0,27.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.5782956154237224,1.0
20.0,28.0,28.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.286060869974958,1.0
20.0,29.0,29.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.8668362682124213,1.0
20.0,30.0,30.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.5381646044246065,1.0
20.0,31.0,31.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.680908724561446,1.0
20.0,32.0,32.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.702656797242812,1.0
20.0,33.0,33.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.724629511742784,1.0
20.0,34.0,34.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.01557708589931,1.0
