tick,population,employed,unemployed,housed,unhoused,residential_units,vacant_residential_units,commercial_units,vacant_commercial_units,active_firms,firm_job_vacancies,firms_with_job_vacancies,committed_output,realized_sales,unsold_output,sold_out_firms,mean_wage,mean_residential_rent,mean_commercial_rent,mean_goods_price
1.0,2009.0,1832.0,177.0,1218.0,791.0,1605.0,387.0,1603.0,1483.0,120.0,328.0,80.0,2006.0,1724.0,282.0,61.0,9.975813515009927,2.424681166841717,5.164440221778859,4.924435532485502
2.0,2019.0,1791.0,228.0,1210.0,809.0,1610.0,400.0,1606.0,1486.0,120.0,369.0,79.0,1973.0,1648.0,325.0,59.0,9.987237150305981,2.446087909566034,4.454032260986637,4.920463192371289
3.0,2030.0,1787.0,243.0,1215.0,815.0,1620.0,405.0,1610.0,1490.0,120.0,373.0,78.0,1941.0,1616.0,325.0,57.0,10.00466900623205,2.4698401138675594,3.850994068385684,4.924326931929966
4.0,2038.0,1748.0,290.0,1204.0,834.0,1639.0,435.0,1613.0,1491.0,120.0,412.0,81.0,1938.0,1614.0,324.0,57.0,10.018444485265233,2.4923590947962895,3.3398772194182356,4.917393940336135
5.0,2053.0,1773.0,280.0,1222.0,831.0,1649.0,427.0,1615.0,1493.0,120.0,387.0,78.0,1925.0,1609.0,316.0,60.0,10.034143083851273,2.5163272531465117,2.9057019792315337,4.9162794783777555
6.0,2068.0,1772.0,296.0,1235.0,833.0,1662.0,427.0,1613.0,1489.0,120.0,388.0,79.0,1944.0,1626.0,318.0,57.0,10.055858659487374,2.5409757625469185,2.539134077209434,4.908557881911589
7.0,2082.0,1764.0,318.0,1238.0,844.0,1675.0,437.0,1606.0,1481.0,120.0,396.0,83.0,1950.0,1622.0,328.0,64.0,10.078961758695366,2.563913593819907,2.2297606176190015,4.905247610115662
8.0,2091.0,1751.0,340.0,1235.0,856.0,1691.0,456.0,1603.0,1478.0,120.0,409.0,82.0,1948.0,1642.0,306.0,54.0,10.104545072608635,2.58521875912709,1.9701299621879453,4.902811610828036
9.0,2106.0,1760.0,346.0,1244.0,862.0,1709.0,465.0,1598.0,1473.0,120.0,400.0,81.0,1939.0,1637.0,302.0,63.0,10.141835894161023,2.605912864713261,1.7505803558150468,4.904540537726362
10.0,2118.0,1763.0,355.0,1249.0,869.0,1726.0,477.0,1590.0,1465.0,120.0,397.0,80.0,1943.0,1659.0,284.0,57.0,10.171199263078634,2.625027753714763,1.5711608598118545,4.900931868947442
11.0,2134.0,1746.0,388.0,1240.0,894.0,1736.0,496.0,1587.0,1461.0,120.0,414.0,83.0,1947.0,1652.0,295.0,60.0,10.181724179784078,2.6420708995498385,1.456159566524563,4.899321597280934
12.0,2145.0,1771.0,374.0,1229.0,916.0,1758.0,529.0,1580.0,1454.0,120.0,389.0,83.0,1934.0,1663.0,271.0,58.0,10.232693452321472,2.6560022862918813,1.4069969029393377,4.898925573446236
13.0,2160.0,1784.0,376.0,1246.0,914.0,1773.0,527.0,1573.0,1447.0,120.0,376.0,83.0,1950.0,1693.0,257.0,66.0,10.27789835214327,2.6696269698727235,1.4130464703152663,4.886485548158947
14.0,2175.0,1805.0,370.0,1250.0,925.0,1793.0,543.0,1568.0,1442.0,120.0,355.0,78.0,1963.0,1731.0,232.0,65.0,10.32359606205611,2.681571862954277,1.4255821700639313,4.892349086888032
15.0,2189.0,1802.0,387.0,1257.0,932.0,1814.0,557.0,1561.0,1434.0,120.0,358.0,74.0,1979.0,1760.0,219.0,67.0,10.345373286674631,2.693191759175881,1.4382509755403106,4.894776408934287
16.0,2200.0,1763.0,437.0,1268.0,932.0,1831.0,563.0,1555.0,1427.0,120.0,397.0,77.0,1983.0,1758.0,225.0,73.0,10.354349620133537,2.7028765597098015,1.4516311874932932,4.894280531896778
17.0,2215.0,1785.0,430.0,1280.0,935.0,1841.0,561.0,1552.0,1423.0,120.0,375.0,72.0,1961.0,1718.0,243.0,66.0,10.38560493419976,2.711932499768201,1.4649041121914435,4.907742342443996
18.0,2233.0,1822.0,411.0,1294.0,939.0,1854.0,560.0,1546.0,1417.0,120.0,338.0,70.0,1984.0,1756.0,228.0,67.0,10.419932058449957,2.720839298249832,1.478228359844043,4.9291077568214225
19.0,2251.0,1831.0,420.0,1284.0,967.0,1865.0,581.0,1540.0,1411.0,120.0,329.0,73.0,2009.0,1809.0,200.0,76.0,10.465268805368444,2.725851789145935,1.492365630344483,4.939279774075649
20.0,2268.0,1847.0,421.0,1298.0,970.0,1885.0,587.0,1537.0,1408.0,120.0,313.0,83.0,2014.0,1778.0,236.0,64.0,10.501262893398387,2.7324475074369547,1.507409957723786,4.953274687554235
