"tick","lot_id","x","y","residential_units","commercial_units","occupied_residential","occupied_commercial","vacant_residential","vacant_commercial","residential_rent","commercial_rent","dist_geometric_center","dist_res_occupancy_centroid","dist_com_occupancy_centroid","total_units","total_occupied","commercial_vacancy_rate","residential_vacancy_rate","distance_bin"
250,1552,32,39,3,2,3,1,0,1,1.28116728568833,1372.24482390599,30,31.945308816596,30.2066666666667,5,4,0.5,0,30
250,560,40,14,2,2,1,1,1,1,1.27258041705013,431.133396374426,26,24.049504950495,23.7,4,2,0.5,0.5,25
250,1143,23,29,2,2,1,1,1,1,1,245.582782019466,11,12.9453088165959,11.2066666666667,4,2,0.5,0.5,10
250,460,20,12,4,2,4,1,0,1,1.29685661534765,15.8177117058426,9,7.05469118340405,8.79333333333333,6,5,0.5,0,5
250,431,31,11,2,2,2,1,0,1,1.52447111714385,11.6415338575341,20,18.049504950495,17.7,4,3,0.5,0,20
250,185,25,5,6,2,4,1,2,1,1,1.61664550462202,20,18.049504950495,17.7,8,5,0.5,0.333333333333333,20
250,3,3,1,3,2,2,1,1,1,1.15123765075981,1.32542720907779,37,35.054691183404,36.7933333333333,5,3,0.5,0.333333333333333,35
250,1,1,1,2,1,1,0,1,1,1,1,39,37.054691183404,38.7933333333333,3,1,1,0.5,35
250,2,2,1,2,1,2,0,0,1,1.45962354588056,1,38,36.054691183404,37.7933333333333,3,2,1,0,35
250,4,4,1,4,1,4,0,0,1,1.092727,1,36,34.054691183404,35.7933333333333,5,4,1,0,35
250,6,6,1,1,1,0,0,1,1,1.30704342406121,1,34,32.054691183404,33.7933333333333,2,0,1,1,30
250,7,7,1,2,2,1,1,1,1,1,1,33,31.054691183404,32.7933333333333,4,2,0.5,0.5,30
250,8,8,1,1,1,1,0,0,1,1.03,1,32,30.054691183404,31.7933333333333,2,1,1,0,30
250,9,9,1,4,1,3,0,1,1,1.34041467727366,1,31,29.054691183404,30.7933333333333,5,3,1,0.25,30
250,13,13,1,1,1,0,0,1,1,1,1,27,25.0546911834041,26.7933333333333,2,0,1,1,25
250,15,15,1,1,1,0,0,1,1,1,1,25,23.0546911834041,24.7933333333333,2,0,1,1,25
250,16,16,1,2,1,0,0,2,1,1,1,24,22.0546911834041,23.7933333333333,3,0,1,1,20
250,17,17,1,3,1,1,0,2,1,1,1,23,21.0546911834041,22.7933333333333,4,1,1,0.666666666666667,20
250,18,18,1,2,1,0,0,2,1,1,1,22,20.0546911834041,21.7933333333333,3,0,1,1,20
250,19,19,1,2,1,0,0,2,1,1,1,21,19.0546911834041,20.7933333333333,3,0,1,1,20
250,21,21,1,3,1,0,0,3,1,1,1,20,18.049504950495,18.7933333333333,4,0,1,1,20
250,23,23,1,1,1,0,0,1,1,1,1,22,20.049504950495,19.7,2,0,1,1,20
250,24,24,1,3,1,1,0,2,1,1,1,23,21.049504950495,20.7,4,1,1,0.666666666666667,20
250,25,25,1,1,1,0,0,1,1,1,1,24,22.049504950495,21.7,2,0,1,1,20
250,26,26,1,1,1,0,0,1,1,1.23201378458027,1,25,23.049504950495,22.7,2,0,1,1,25
