"tick","lot_id","x","y","residential_units","commercial_units","occupied_residential","occupied_commercial","vacant_residential","vacant_commercial","residential_rent","commercial_rent","dist_geometric_center","dist_res_occupancy_centroid","dist_com_occupancy_centroid","total_units","total_occupied","commercial_vacancy_rate","residential_vacancy_rate","distance_bin"
2000,737,17,19,17,15,17,14,0,1,2.1728820209983,77.6515323793864,5,13.7804921224996,13.127471383975,32,31,0.0666666666666667,0,5
2000,516,36,13,16,13,16,12,0,1,5.28420775880756,75.9179839667491,23,11.2195078775004,11.872528616025,29,28,0.0769230769230769,0,20
2000,336,16,9,6,11,1,10,5,1,1,75.7,16,16.562400424854,16.6919875130073,17,11,0.0909090909090909,0.833333333333333,15
2000,854,14,22,5,7,3,6,2,1,1,64.345,8,19.7804921224996,19.127471383975,12,9,0.142857142857143,0.4,5
2000,788,28,20,15,15,15,14,0,1,22.6888314858275,59.8681595263377,8,6.43759957514604,6.30801248699271,30,29,0.0666666666666667,0,5
2000,718,38,18,4,12,3,11,1,1,1.03809065,56.2413675521684,20,14.437599575146,14.3080124869927,16,14,0.0833333333333333,0.25,20
2000,1150,30,29,2,10,0,9,2,1,1.06274591306132,54.69325,18,17.437599575146,17.3080124869927,12,9,0.1,1,15
2000,506,26,13,8,15,8,14,0,1,27.8821265800404,54.1569870320877,13,2.56240042485396,2.69198751300729,23,22,0.0666666666666667,0,10
2000,379,19,10,14,13,14,12,0,1,13.4392391694109,53.3291319682415,12,12.562400424854,12.6919875130073,27,26,0.0769230769230769,0,10
2000,911,31,23,13,7,12,6,1,1,12.3379065448229,52.7060354316302,13,12.437599575146,12.3080124869927,20,18,0.142857142857143,0.0769230769230769,10
2000,507,27,13,10,12,10,11,0,1,28.9129483142193,51.9354515503328,14,2.21950787750044,2.87252861602497,22,21,0.0833333333333333,0,10
2000,942,22,24,11,11,8,10,3,1,3.49448288319207,49.580156907414,5,13.7804921224996,13.127471383975,22,18,0.0909090909090909,0.272727272727273,5
2000,310,30,8,10,16,7,15,3,1,20.7667659548755,49.082715709619,22,10.2195078775004,10.872528616025,26,22,0.0625,0.3,20
2000,631,31,16,14,9,14,8,0,1,21.8614283674332,48.5212048226572,15,5.43759957514604,5.30801248699271,23,22,0.111111111111111,0,15
2000,663,23,17,17,9,17,8,0,1,32.7366505596465,48.1578853717719,6,5.78049212249956,5.12747138397503,26,25,0.111111111111111,0,5
2000,953,33,24,11,14,11,13,0,1,5.03731794142778,47.7892608087245,16,15.437599575146,15.3080124869927,25,24,0.0714285714285714,0,15
2000,597,37,15,14,6,12,5,2,1,1,47.7020571109376,22,10.437599575146,10.872528616025,20,17,0.166666666666667,0.142857142857143,20
2000,113,33,3,4,13,0,12,4,1,1,47.6018775837516,30,18.2195078775004,18.872528616025,17,12,0.0769230769230769,1,30
2000,384,24,10,11,14,11,13,0,1,21.3940357866853,47.2946651783202,14,7.56240042485396,7.69198751300729,25,24,0.0714285714285714,0,10
2000,987,27,25,19,13,12,12,7,1,9.62467278330708,47.1987205016152,11,10.437599575146,10.3080124869927,32,24,0.0769230769230769,0.368421052631579,10
2000,414,14,11,6,13,0,12,6,1,1,47.1941787216001,16,16.562400424854,16.6919875130073,19,12,0.0769230769230769,1,15
2000,1145,25,29,1,10,0,7,1,3,1,46.6025720530731,13,15.7804921224996,15.127471383975,11,7,0.3,1,10
2000,1105,25,28,4,17,3,16,1,1,1,46.5926502206489,12,14.7804921224996,14.127471383975,21,19,0.0588235294117647,0.25,10
2000,678,38,17,7,13,2,12,5,1,1,46.5416187547164,21,13.437599575146,13.3080124869927,20,14,0.0769230769230769,0.714285714285714,20
2000,68,28,2,3,7,1,6,2,1,1,46.4892625,26,14.2195078775004,14.872528616025,10,7,0.142857142857143,0.666666666666667,25
