"tick","lot_id","x","y","residential_units","commercial_units","occupied_residential","occupied_commercial","vacant_residential","vacant_commercial","residential_rent","commercial_rent","dist_geometric_center","dist_res_occupancy_centroid","dist_com_occupancy_centroid","total_units","total_occupied","commercial_vacancy_rate","residential_vacancy_rate","distance_bin"
250,669,29,17,4,5,2,4,2,1,6.91516396340191,3.01361522361179,12,12.2711747057466,11.7725549658832,9,6,0.2,0.5,10
250,983,23,25,4,4,3,3,1,1,7.20337264439719,2.46268821470781,7,7.76667435956612,5.77558756633813,8,6,0.25,0.25,5
250,450,10,12,3,3,3,2,0,1,7.754056617262,2.229181089375,19,18.2333256404339,20.2244124336619,6,5,0.333333333333333,0,15
250,610,10,16,3,2,3,1,0,1,7.11779053382904,2.22666145915539,15,14.2333256404339,16.2244124336619,5,4,0.5,0,15
250,1098,18,28,4,5,3,4,1,1,7.45677956494866,2.19904533889327,10,9.7288252942534,10.2274450341168,9,7,0.2,0.25,10
250,1143,23,29,3,3,3,2,0,1,8.04551117842505,2.16714707935169,11,11.7666743595661,9.77558756633813,6,5,0.333333333333333,0,10
250,1067,27,27,7,3,7,2,0,1,7.07111549396549,2.16465298558097,13,13.7666743595661,11.7755875663381,10,9,0.333333333333333,0,10
250,1108,28,28,2,6,2,5,0,1,8.44748805670254,2.16391287604167,15,15.7666743595661,13.7755875663381,8,7,0.166666666666667,0,15
250,372,12,10,5,1,5,0,0,1,7.41608833913574,2.149141612875,19,18.2333256404339,20.2244124336619,6,5,1,0,15
250,609,9,16,2,2,2,1,0,1,7.44604155085609,2.07137280223009,16,15.2333256404339,17.2244124336619,4,3,0.5,0,15
250,221,21,6,2,2,2,1,0,1,6.68830555580715,1.9737326049375,15,15.2711747057466,15.2244124336619,4,3,0.5,0,15
250,549,29,14,2,3,2,2,0,1,7.3492397024393,1.86897886313293,15,15.2711747057466,14.7725549658832,5,4,0.333333333333333,0,15
250,972,12,25,5,3,5,2,0,1,7.52626884580352,1.8624372328391,13,12.7288252942534,13.2274450341168,8,7,0.333333333333333,0,10
250,1505,25,38,3,2,2,1,1,1,5.68913961436222,1.83223465375177,22,22.7666743595661,20.7755875663381,5,3,0.5,0.333333333333333,20
250,817,17,21,4,2,3,1,1,1,6.72810333170278,1.81777635416667,4,3.7288252942534,4.22744503411676,6,4,0.5,0.25,0
250,1341,21,34,3,2,2,1,1,1,6.27126591309638,1.80293083333333,14,14.7666743595661,13.2274450341168,5,3,0.5,0.333333333333333,10
250,1017,17,26,2,3,2,2,0,1,7.28102661424778,1.79187077440179,9,8.7288252942534,9.22744503411676,5,4,0.333333333333333,0,5
250,176,16,5,5,1,4,0,1,1,6.5545666884472,1.75757970833333,20,19.2333256404339,21.2244124336619,6,4,1,0.2,20
250,546,26,14,2,2,1,1,1,1,6.34981915178904,1.73956785416667,12,12.2711747057466,11.7725549658832,4,2,0.5,0.5,10
250,329,9,9,1,3,0,2,1,1,7.44636416873273,1.67132873307593,23,22.2333256404339,24.2244124336619,4,2,0.333333333333333,1,20
250,1210,10,31,3,2,1,1,2,1,7.10537142161935,1.65625323029144,21,20.7288252942534,21.2274450341168,5,2,0.5,0.666666666666667,20
250,544,24,14,3,4,3,3,0,1,7.74139365784704,1.6221925,10,10.2711747057466,9.77255496588324,7,6,0.25,0,10
250,822,22,21,2,3,0,2,2,1,7.03239341488054,1.57255814195929,2,2.76667435956612,0.775587566338132,5,2,0.333333333333333,1,0
250,511,31,13,6,2,5,1,1,1,6.95710725367777,1.56565656776144,18,18.2711747057466,17.7725549658832,8,6,0.5,0.166666666666667,15
250,666,26,17,2,2,2,1,0,1,7.03930176923579,1.56274378302235,9,9.2711747057466,8.77255496588324,4,3,0.5,0,5
