"tick","lot_id","x","y","residential_units","commercial_units","occupied_residential","occupied_commercial","vacant_residential","vacant_commercial","residential_rent","commercial_rent","dist_geometric_center","dist_res_occupancy_centroid","dist_com_occupancy_centroid","total_units","total_occupied","commercial_vacancy_rate","residential_vacancy_rate","distance_bin"
250,750,30,19,4,2,4,1,0,1,6.82681229856109,4.64741524465292,11,10.6730321378668,11.9773614363778,6,5,0.5,0,10
250,794,34,20,2,2,1,1,1,1,5.84894723798426,3.51192510639875,14,13.6730321378668,14.9773614363778,4,2,0.5,0.5,10
250,965,5,25,1,2,1,1,0,1,6.65187760867936,2.70078344449809,20,20.3269678621332,19.0226385636222,3,2,0.5,0,20
250,85,5,3,2,2,2,1,0,1,2.77147947863456,2.69623988330743,33,32.6152771308803,32.5573770491803,4,3,0.5,0,30
250,1259,19,32,2,4,0,3,2,1,9.05756954699922,2.42846047516482,13,13.3269678621332,12.0226385636222,6,3,0.25,1,10
250,997,37,25,2,2,2,1,0,1,5.4937737776145,1.5413140943625,21,21.3847228691197,21.4426229508197,4,3,0.5,0,20
250,660,20,17,3,2,3,1,0,1,6.91750464551863,1.34601962625343,4,3.6152771308803,3.97736143637783,5,4,0.5,0,0
250,741,21,19,2,2,2,1,0,1,6.35928844821822,1.22223803600278,2,1.67303213786679,2.97736143637783,4,3,0.5,0,0
250,826,26,21,3,2,1,1,2,1,6.97807647199218,1.17907669071723,6,6.3847228691197,6.44262295081967,5,2,0.5,0.666666666666667,5
250,787,27,20,5,3,3,2,2,1,5.99052243994277,1.16750253755069,7,6.67303213786679,7.97736143637783,8,5,0.333333333333333,0.4,5
250,759,39,19,6,1,6,0,0,1,1.74286684702649,1.15545968045211,20,19.6730321378668,20.9773614363778,7,6,1,0,20
250,1379,19,35,4,3,4,2,0,1,6.06400552072278,1.04101977488803,16,16.3269678621332,15.0226385636222,7,6,0.333333333333333,0,15
250,1018,18,26,3,5,0,4,3,1,7.1342856479889,1.02783254223588,8,8.32696786213321,7.02263856362217,8,4,0.2,1,5
250,1,1,1,4,1,4,0,0,1,1.10996116354594,1,39,38.6152771308803,38.5573770491803,5,4,1,0,35
250,2,2,1,2,1,1,0,1,1,1.13434968170255,1,38,37.6152771308803,37.5573770491803,3,1,1,0.5,35
250,4,4,1,3,1,3,0,0,1,1.30931761439789,1,36,35.6152771308803,35.5573770491803,4,3,1,0,35
250,5,5,1,3,1,0,0,3,1,1,1,35,34.6152771308803,34.5573770491803,4,0,1,1,35
250,6,6,1,3,1,0,0,3,1,1,1,34,33.6152771308803,33.5573770491803,4,0,1,1,30
250,7,7,1,3,1,2,0,1,1,2.52629423147744,1,33,32.6152771308803,32.5573770491803,4,2,1,0.333333333333333,30
250,8,8,1,4,1,3,0,1,1,1.22241174035974,1,32,31.6152771308803,31.5573770491803,5,3,1,0.25,30
250,9,9,1,3,1,3,0,0,1,1.33576231380808,1,31,30.6152771308803,30.5573770491803,4,3,1,0,30
250,11,11,1,1,1,1,0,0,1,4.21313945622484,1,29,28.6152771308803,28.5573770491803,2,1,1,0,25
250,13,13,1,1,1,0,0,1,1,5.62995815379804,1,27,26.6152771308803,26.5573770491803,2,0,1,1,25
250,14,14,1,3,1,3,0,0,1,2.2354811321949,1,26,25.6152771308803,25.5573770491803,4,3,1,0,25
250,15,15,1,2,1,2,0,0,1,4.78374271238582,1,25,24.6152771308803,24.5573770491803,3,2,1,0,25
