"tick","lot_id","x","y","residential_units","commercial_units","occupied_residential","occupied_commercial","vacant_residential","vacant_commercial","residential_rent","commercial_rent","dist_geometric_center","dist_res_occupancy_centroid","dist_com_occupancy_centroid","total_units","total_occupied","commercial_vacancy_rate","residential_vacancy_rate","distance_bin"
250,1067,27,27,4,2,3,1,1,1,6.69835714198154,3.9671629706928,13,12.4839736303705,13.9446002805049,6,4,0.5,0.25,10
250,453,13,12,3,4,3,3,0,1,7.88124256301526,3.04174338427519,16,16.5160263696295,15.0553997194951,7,6,0.25,0,15
250,836,36,21,2,2,2,1,0,1,6.53671848207112,2.9952067398887,16,15.4839736303705,16.9446002805049,4,3,0.5,0,15
250,382,22,10,2,3,2,2,0,1,7.38817598860589,2.56581742559818,12,11.2532393725847,11.0021037868163,5,4,0.333333333333333,0,10
250,239,39,6,4,2,4,1,0,1,4.74069245709835,2.49986085062766,33,32.2532393725847,32.0021037868163,6,5,0.5,0,30
250,514,34,13,3,2,3,1,0,1,8.70153937218867,2.14384305246498,21,20.2532393725847,20.0021037868163,5,4,0.5,0,20
250,1377,17,35,2,2,1,1,1,1,7.22818119742662,1.91968784509626,18,18.7467606274153,18.9978962131837,4,2,0.5,0.5,15
250,539,19,14,3,2,2,1,1,1,6.74001117496343,1.86360531903555,8,8.51602636962946,7.05539971949509,5,3,0.5,0.333333333333333,5
250,466,26,12,2,2,2,1,0,1,7.55596606894889,1.29502269495286,14,13.2532393725847,13.0021037868163,4,3,0.5,0,10
250,819,19,21,4,3,3,2,1,1,6.43479875953942,1.27799374250601,2,2.74676062741532,2.99789621318373,7,5,0.333333333333333,0.25,0
250,750,30,19,2,2,2,1,0,1,6.64471848606656,1.21338856682872,11,10.2532393725847,10.0021037868163,4,3,0.5,0,10
250,1458,18,37,7,1,7,0,0,1,4.27847494253126,1.17862920038184,19,19.7467606274153,19.9978962131837,8,7,1,0,15
250,1166,6,30,1,1,1,0,0,1,6.73991187994902,1.09084921469078,24,24.7467606274153,24.9978962131837,2,1,1,0,20
250,169,9,5,3,2,2,1,1,1,6.69302500415899,1.07921169392276,27,27.5160263696295,26.0553997194951,5,3,0.5,0.333333333333333,25
250,906,26,23,4,3,4,2,0,1,6.8640955759345,1.0780806799825,8,7.48397363037054,8.94460028050491,7,6,0.333333333333333,0,5
250,1178,18,30,3,2,1,1,2,1,6.04162285494768,1.05954901312598,12,12.7467606274153,12.9978962131837,5,2,0.5,0.666666666666667,10
250,68,28,2,4,2,4,1,0,1,2.42188563134437,1.03892186706485,26,25.2532393725847,25.0021037868163,6,5,0.5,0,25
250,212,12,6,3,4,2,3,1,1,6.49426136001779,1.03691625876948,23,23.5160263696295,22.0553997194951,7,5,0.25,0.333333333333333,20
250,506,26,13,5,4,4,3,1,1,6.42610538193443,1.00523746244592,13,12.2532393725847,12.0021037868163,9,7,0.25,0.2,10
250,1,1,1,3,1,0,0,3,1,1,1,39,39.5160263696295,38.0553997194951,4,0,1,1,35
250,2,2,1,2,1,1,0,1,1,1,1,38,38.5160263696295,37.0553997194951,3,1,1,0.5,35
250,6,6,1,4,1,4,0,0,1,1.68163131502326,1,34,34.5160263696295,33.0553997194951,5,4,1,0,30
250,7,7,1,4,1,4,0,0,1,1.5018521593179,1,33,33.5160263696295,32.0553997194951,5,4,1,0,30
250,8,8,1,1,1,1,0,0,1,7.00582179612253,1,32,32.5160263696295,31.0553997194951,2,1,1,0,30
250,9,9,1,3,1,1,0,2,1,3.84096421155937,1,31,31.5160263696295,30.0553997194951,4,1,1,0.666666666666667,30
