"tick","lot_id","x","y","residential_units","commercial_units","occupied_residential","occupied_commercial","vacant_residential","vacant_commercial","residential_rent","commercial_rent","dist_geometric_center","dist_res_occupancy_centroid","dist_com_occupancy_centroid","total_units","total_occupied","commercial_vacancy_rate","residential_vacancy_rate","distance_bin"
1000,1095,15,28,8,9,8,8,0,1,27.1806319940542,18.8338233402616,13,8.83824276282377,9.50190671751247,17,16,0.111111111111111,0,10
1000,832,32,21,10,6,10,5,0,1,3.31347680684399,16.7226402541724,12,15.1617572371762,14.4980932824875,16,15,0.166666666666667,0,10
1000,1338,18,34,11,5,11,4,0,1,7.34054623173277,14.5179365135997,16,11.8382427628238,12.5019067175125,16,15,0.2,0,15
1000,452,12,12,6,5,1,4,5,1,1,9.61872190720012,17,21.5157440325038,20.9037841009094,11,5,0.2,0.833333333333333,15
1000,1169,9,30,5,7,3,6,2,1,1,9.53392925409267,21,16.8382427628238,17.5019067175125,12,9,0.142857142857143,0.4,20
1000,747,27,19,8,4,8,3,0,1,18.2401977793637,8.97795204501495,8,12.1617572371762,11.4980932824875,12,11,0.25,0,5
1000,899,19,23,8,6,5,5,3,1,23.779507757815,8.24884286059653,4,3.51574403250381,2.90378410090936,14,10,0.166666666666667,0.375,0
1000,1221,21,31,8,6,8,5,0,1,31.2514294855674,7.9048524417219,11,6.48425596749619,7.09621589909064,14,13,0.166666666666667,0,10
1000,864,24,22,11,10,7,9,4,1,28.0997676239528,7.24972435388691,5,6.16175723717623,5.49809328248753,21,16,0.1,0.363636363636364,5
1000,1170,10,30,3,5,2,4,1,1,4.77417189669561,6.52045593184657,20,15.8382427628238,16.5019067175125,8,6,0.2,0.333333333333333,20
1000,423,23,11,6,4,0,3,6,1,1,5.9792930195231,12,16.1617572371762,15.4980932824875,10,3,0.25,1,10
1000,848,8,22,4,6,2,5,2,1,1,5.67353221286808,14,15.5157440325038,14.9037841009094,10,7,0.166666666666667,0.5,10
1000,1175,15,30,10,10,10,9,0,1,20.1592132228876,5.30199842443547,15,10.8382427628238,11.5019067175125,20,19,0.1,0,15
1000,622,22,16,12,6,10,5,2,1,8.88605349267999,4.70433191413566,6,10.1617572371762,9.49809328248753,18,15,0.166666666666667,0.166666666666667,5
1000,994,34,25,6,5,2,4,4,1,1.71133039679599,4.68493482579289,18,13.4842559674962,14.0962158990906,11,6,0.2,0.666666666666667,15
1000,1414,14,36,6,5,2,4,4,1,1,4.53364471498883,22,17.8382427628238,18.5019067175125,11,6,0.2,0.666666666666667,20
1000,874,34,22,9,5,4,3,5,2,1,3.87415713860784,15,16.1617572371762,15.4980932824875,14,7,0.4,0.555555555555556,15
1000,706,26,18,5,7,4,6,1,1,18.754786203445,3.84009737550094,8,12.1617572371762,11.4980932824875,12,10,0.142857142857143,0.2,5
1000,1053,13,27,7,9,7,8,0,1,23.155180240037,3.82229481390494,14,9.83824276282377,10.5019067175125,16,15,0.111111111111111,0,10
1000,1500,20,38,8,5,0,4,8,1,1,3.57064857374585,18,13.8382427628238,14.5019067175125,13,4,0.2,1,15
1000,1424,24,36,7,4,3,3,4,1,1.12147533137333,3.39328636148912,19,14.4842559674962,15.0962158990906,11,6,0.25,0.571428571428571,15
1000,413,13,11,5,4,1,3,4,1,1,2.99839688153902,17,21.5157440325038,20.9037841009094,9,4,0.25,0.8,15
1000,294,14,8,5,3,0,2,5,1,1,2.97257644411092,19,23.5157440325038,22.9037841009094,8,2,0.333333333333333,1,15
1000,378,18,10,7,6,0,5,7,1,1,2.85839755413753,13,17.5157440325038,16.9037841009094,13,5,0.166666666666667,1,10
1000,1050,10,27,9,5,8,4,1,1,6.3799710968205,2.83415351725162,17,12.8382427628238,13.5019067175125,14,12,0.2,0.111111111111111,15
