"tick","lot_id","x","y","residential_units","commercial_units","occupied_residential","occupied_commercial","vacant_residential","vacant_commercial","residential_rent","commercial_rent","dist_geometric_center","dist_res_occupancy_centroid","dist_com_occupancy_centroid","total_units","total_occupied","commercial_vacancy_rate","residential_vacancy_rate","distance_bin"
5000,1026,26,26,25,26,24,25,1,1,9.25536274010805,16.1820792252191,11,6.22113309352518,6.07122664276357,51,49,0.0384615384615385,0.04,10
5000,733,13,19,19,34,19,33,0,1,1.13434968170255,14.3836674129272,9,13.7788669064748,13.9287733572364,53,52,0.0294117647058824,0,5
5000,655,15,17,27,29,27,28,0,1,1.03,12.9146068758471,9,13.7788669064748,13.9287733572364,56,55,0.0344827586206897,0,5
5000,1224,24,31,25,35,25,34,0,1,10.1513491149501,12.7490746931359,14,9.22113309352518,9.07122664276357,60,59,0.0285714285714286,0,10
5000,577,17,15,26,32,22,28,4,4,1,12.1587500976619,9,13.7788669064748,13.9287733572364,58,50,0.125,0.153846153846154,5
5000,784,24,20,36,32,35,31,1,1,8.77295212212124,6.29687401807572,4,7.67365107913669,7.69254636971661,68,66,0.03125,0.0277777777777778,0
5000,1264,24,32,21,28,21,27,0,1,9.48646160891535,3.47028205432139,15,10.2211330935252,10.0712266427636,49,48,0.0357142857142857,0,15
5000,1341,21,34,28,26,24,25,4,1,1,3.2392570840666,14,9.32634892086331,9.30745363028339,54,49,0.0384615384615385,0.142857142857143,10
5000,1028,28,26,34,30,34,29,0,1,9.07671127132634,2.81839083354389,13,8.22113309352518,8.07122664276357,64,63,0.0333333333333333,0,10
5000,1133,13,29,40,26,40,25,0,1,1.12746713916675,2.81786598750511,16,12.3263489208633,12.3074536302834,66,65,0.0384615384615385,0,15
5000,1265,25,32,34,21,34,20,0,1,7.01160205881821,2.72656851590583,16,11.2211330935252,11.0712266427636,55,54,0.0476190476190476,0,15
5000,1299,19,33,31,30,30,29,1,1,6.31225901982387,2.63225886759438,14,10.3263489208633,10.3074536302834,61,59,0.0333333333333333,0.032258064516129,10
5000,625,25,16,14,32,14,31,0,1,1.04624485205575,1.61609150439673,9,12.6736510791367,12.6925463697166,46,45,0.03125,0,5
5000,1221,21,31,23,33,23,32,0,1,9.57090113653092,1.56520748259915,11,6.32634892086331,6.30745363028339,56,55,0.0303030303030303,0,10
5000,1031,31,26,27,30,27,28,0,2,1.03,1.32991542259519,16,11.2211330935252,11.0712266427636,57,55,0.0666666666666667,0,15
5000,826,26,21,39,26,38,25,1,1,7.99304861332424,1.27675837966126,6,8.67365107913669,8.69254636971661,65,63,0.0384615384615385,0.0256410256410256,5
5000,705,25,18,28,26,28,24,0,2,7.24679702202996,1.19791282868772,7,10.6736510791367,10.6925463697166,54,52,0.0769230769230769,0,5
5000,1226,26,31,36,33,36,32,0,1,8.33543959263286,1.12933169281636,16,11.2211330935252,11.0712266427636,69,68,0.0303030303030303,0,15
5000,662,22,17,26,28,26,27,0,1,8.83310888764996,1.0534424524852,5,8.67365107913669,8.69254636971661,54,53,0.0357142857142857,0,5
5000,1,1,1,3,1,0,0,3,1,1,1,39,43.7788669064748,43.9287733572364,4,0,1,1,35
5000,2,2,1,2,1,0,0,2,1,1,1,38,42.7788669064748,42.9287733572364,3,0,1,1,35
5000,3,3,1,1,1,0,0,1,1,1,1,37,41.7788669064748,41.9287733572364,2,0,1,1,35
5000,4,4,1,3,2,0,0,3,2,1,1,36,40.7788669064748,40.9287733572364,5,0,1,1,35
5000,5,5,1,2,1,0,0,2,1,1,1,35,39.7788669064748,39.9287733572364,3,0,1,1,35
5000,6,6,1,1,1,0,0,1,1,1,1,34,38.7788669064748,38.9287733572364,2,0,1,1,30
