"tick","lot_id","x","y","residential_units","commercial_units","occupied_residential","occupied_commercial","vacant_residential","vacant_commercial","residential_rent","commercial_rent","dist_geometric_center","dist_res_occupancy_centroid","dist_com_occupancy_centroid","total_units","total_occupied","commercial_vacancy_rate","residential_vacancy_rate","distance_bin"
250,1145,25,29,1,3,0,2,1,1,7.6020094133261,7.47870496316022,13,13.2214134773421,11.2641815235008,4,2,0.333333333333333,1,10
250,353,33,9,3,2,1,1,2,1,7.44552630466239,5.04753400722426,24,23.4904907255224,22.4457050243112,5,2,0.5,0.666666666666667,20
250,464,24,12,6,2,4,1,2,1,6.06472861639318,4.99645142527252,12,11.4904907255224,10.4457050243112,8,5,0.5,0.333333333333333,10
250,297,17,8,2,3,2,2,0,1,7.83435819974695,4.83617127194932,16,15.7785865226579,17.7358184764992,5,4,0.333333333333333,0,15
250,268,28,7,7,2,6,1,1,1,6.36043487717573,4.78297378595957,21,20.4904907255224,19.4457050243112,9,7,0.5,0.142857142857143,20
250,347,27,9,4,1,4,0,0,1,6.91121451758211,4.62462477813073,18,17.4904907255224,16.4457050243112,5,4,1,0,15
250,271,31,7,5,2,5,1,0,1,7.05657702553899,4.46731597171494,24,23.4904907255224,22.4457050243112,7,6,0.5,0,20
250,434,34,11,3,1,1,0,2,1,6.38873113216107,4.35875158428937,23,22.4904907255224,21.4457050243112,4,1,1,0.666666666666667,20
250,425,25,11,3,2,3,1,0,1,7.14969169697809,4.16753876576469,14,13.4904907255224,12.4457050243112,5,4,0.5,0,10
250,653,13,17,3,1,2,0,1,1,7.00764082136625,4.11523486144793,11,10.7785865226579,12.7358184764992,4,2,1,0.333333333333333,10
250,1228,28,31,2,1,2,0,0,1,7.83217173046437,3.98337005710168,18,18.2214134773421,16.2641815235008,3,2,1,0,15
250,429,29,11,3,2,2,1,1,1,7.25679355549455,3.92164741385547,18,17.4904907255224,16.4457050243112,5,3,0.5,0.333333333333333,15
250,1058,18,27,4,3,3,2,1,1,7.07699239733014,3.92042231435599,9,9.50950927447758,10.5542949756888,7,5,0.333333333333333,0.25,5
250,293,13,8,3,2,0,1,3,1,6.25706085486491,3.89248430837904,20,19.7785865226579,21.7358184764992,5,1,0.5,1,20
250,298,18,8,4,2,4,1,0,1,6.94017112553919,3.87826929090125,15,14.7785865226579,16.7358184764992,6,5,0.5,0,15
250,413,13,11,3,1,3,0,0,1,7.740243188341,3.78212709363907,17,16.7785865226579,18.7358184764992,4,3,1,0,15
250,1179,19,30,2,2,2,1,0,1,7.60334549007009,3.77560121562823,11,11.5095092744776,12.5542949756888,4,3,0.5,0,10
250,312,32,8,2,2,2,1,0,1,7.88345331777847,3.77295276880849,24,23.4904907255224,22.4457050243112,4,3,0.5,0,20
250,295,15,8,2,3,1,2,1,1,6.90685404561623,3.56545835040118,18,17.7785865226579,19.7358184764992,5,3,0.333333333333333,0.5,15
250,229,29,6,3,1,2,0,1,1,7.15194556753357,3.49425805307085,23,22.4904907255224,21.4457050243112,4,2,1,0.333333333333333,20
250,694,14,18,5,1,5,0,0,1,6.72227682998417,3.41182290117823,9,8.7785865226579,10.7358184764992,6,5,1,0,5
250,786,26,20,3,2,2,1,1,1,5.66719447902968,3.29931595526219,6,5.49049072552242,4.44570502431118,5,3,0.5,0.333333333333333,5
250,1393,33,35,5,2,5,1,0,1,6.55099444414634,3.23203615093196,27,27.2214134773421,25.2641815235008,7,6,0.5,0,25
250,1227,27,31,3,2,3,1,0,1,7.99769106059609,3.18439718080644,17,17.2214134773421,15.2641815235008,5,4,0.5,0,15
250,573,13,15,4,2,4,1,0,1,8.0887019367926,3.17446005698884,13,12.7785865226579,14.7358184764992,6,5,0.5,0,10
