"tick","lot_id","x","y","residential_units","commercial_units","occupied_residential","occupied_commercial","vacant_residential","vacant_commercial","residential_rent","commercial_rent","dist_geometric_center","dist_res_occupancy_centroid","dist_com_occupancy_centroid","total_units","total_occupied","commercial_vacancy_rate","residential_vacancy_rate","distance_bin"
5000,1,1,1,4,2,0,1,4,1,1,1,39,39,39.5174180327869,6,1,0.5,1,35
5000,2,2,1,3,1,0,0,3,1,1,1,38,38,38.5174180327869,4,0,1,1,35
5000,4,4,1,8,2,0,1,8,1,1,1,36,36,36.5174180327869,10,1,0.5,1,35
5000,5,5,1,6,2,0,1,6,1,1,1,35,35,35.5174180327869,8,1,0.5,1,35
5000,6,6,1,2,1,0,0,2,1,1,1,34,34,34.5174180327869,3,0,1,1,30
5000,7,7,1,2,1,0,0,2,1,1,1,33,33,33.5174180327869,3,0,1,1,30
5000,8,8,1,3,1,0,0,3,1,1,1,32,32,32.5174180327869,4,0,1,1,30
5000,9,9,1,4,1,0,0,4,1,1,1,31,31,31.5174180327869,5,0,1,1,30
5000,10,10,1,1,2,0,1,1,1,1,1,30,30,30.5174180327869,3,1,0.5,1,30
5000,11,11,1,3,1,0,0,3,1,1,1,29,29,29.5174180327869,4,0,1,1,25
5000,12,12,1,4,2,0,1,4,1,1,1,28,28,28.5174180327869,6,1,0.5,1,25
5000,13,13,1,5,3,0,2,5,1,1,1,27,27,27.5174180327869,8,2,0.333333333333333,1,25
5000,14,14,1,3,1,0,0,3,1,1,1,26,26,26.5174180327869,4,0,1,1,25
5000,15,15,1,2,1,0,0,2,1,1,1,25,25,25.5174180327869,3,0,1,1,25
5000,16,16,1,3,3,0,2,3,1,1,1,24,24,24.5174180327869,6,2,0.333333333333333,1,20
5000,17,17,1,4,1,0,0,4,1,1,1,23,23,23.5174180327869,5,0,1,1,20
5000,18,18,1,2,2,0,1,2,1,1,1,22,22,22.5174180327869,4,1,0.5,1,20
5000,19,19,1,4,1,0,0,4,1,1,1,21,21,21.5174180327869,5,0,1,1,20
5000,20,20,1,3,2,0,1,3,1,1,1,20,20,20.5174180327869,5,1,0.5,1,20
5000,21,21,1,2,1,0,0,2,1,1,1,20,20,19.8637295081967,3,0,1,1,20
5000,22,22,1,3,1,0,0,3,1,1,1,21,21,20.8637295081967,4,0,1,1,20
5000,23,23,1,1,3,0,2,1,1,1,1,22,22,21.8637295081967,4,2,0.333333333333333,1,20
5000,24,24,1,1,4,0,3,1,1,1,1,23,23,22.8637295081967,5,3,0.25,1,20
5000,25,25,1,3,1,0,0,3,1,1,1,24,24,23.8637295081967,4,0,1,1,20
5000,26,26,1,2,1,0,0,2,1,1,1,25,25,24.8637295081967,3,0,1,1,25
