lot_id,x,y,dist_centre,avg_res_rent,avg_com_rent,avg_occ_res,avg_occ_com,avg_job_access
1,1,1,23.00,1.0000,1.0000,0.0000,0.0000,0.0000
2,2,1,22.00,1.0000,1.0000,0.0000,0.0000,0.0000
3,3,1,21.00,1.0000,1.0000,0.0000,0.0000,0.0000
4,4,1,20.00,1.0000,1.0000,0.0000,0.0000,0.0000
5,5,1,19.00,1.0000,1.0000,0.0000,0.0000,0.0000
6,6,1,18.00,1.0000,1.0000,0.0000,0.0000,0.0000
7,7,1,17.00,1.0000,1.0000,0.0000,0.0000,0.0000
8,8,1,16.00,1.0000,1.0000,0.0000,0.0000,0.0000
9,9,1,15.00,1.0125,1.0000,0.0124,0.0000,0.0000
10,10,1,14.00,1.0000,1.0000,0.0000,0.0000,0.0000
11,11,1,13.00,1.0000,1.0000,0.0000,0.0000,0.0000
12,12,1,12.00,1.0000,1.0000,0.0000,0.0000,0.0000
13,13,1,12.00,1.0000,1.0000,0.0000,0.0000,0.0000
14,14,1,13.00,1.0000,1.0000,0.0000,0.0000,0.0000
15,15,1,14.00,1.0000,1.0000,0.0000,0.0000,0.0000
16,16,1,15.00,1.0000,1.0000,0.0000,0.0000,0.0000
17,17,1,16.00,1.0000,1.0000,0.0000,0.0000,0.0032
18,18,1,17.00,1.0000,1.0000,0.0000,0.0000,0.0344
19,19,1,18.00,1.0000,1.0000,0.0000,0.0000,0.0040
20,20,1,19.00,1.0002,1.0000,0.0016,0.0000,0.0040
21,21,1,20.00,1.0000,1.0000,0.0000,0.0000,0.0061
22,22,1,21.00,1.0000,1.0000,0.0000,0.0000,0.0000
23,23,1,22.00,1.0000,1.0000,0.0000,0.0000,0.0000
24,24,1,23.00,1.0000,1.0000,0.0000,0.0000,0.0000
25,1,2,22.00,1.0000,1.0000,0.0000,0.0000,0.0000
26,2,2,21.00,1.0000,1.0000,0.0000,0.0000,0.0000
27,3,2,20.00,1.0000,1.0000,0.0000,0.0000,0.0000
28,4,2,19.00,1.0000,1.0000,0.0000,0.0000,0.0000
29,5,2,18.00,1.0000,1.0000,0.0000,0.0000,0.0000
30,6,2,17.00,1.0000,1.0000,0.0000,0.0000,0.0000
31,7,2,16.00,1.0000,1.0000,0.0000,0.0000,0.0000
32,8,2,15.00,1.0000,1.0000,0.0000,0.0000,0.0000
33,9,2,14.00,1.0000,1.0000,0.0000,0.0000,0.0000
34,10,2,13.00,1.0000,1.0000,0.0000,0.0000,0.0000
35,11,2,12.00,1.0000,1.0000,0.0000,0.0000,0.0000
36,12,2,11.00,1.0000,1.0000,0.0000,0.0000,0.0000
37,13,2,11.00,1.0000,1.0000,0.0000,0.0000,0.0000
38,14,2,12.00,1.0000,1.0000,0.0000,0.0000,0.0000
39,15,2,13.00,1.0000,1.0000,0.0000,0.0000,0.0000
40,16,2,14.00,1.0000,1.0000,0.0000,0.0000,0.0032
41,17,2,15.00,1.0000,1.0000,0.0000,0.0000,0.0498
42,18,2,16.00,1.0000,1.0000,0.0000,0.0000,0.0859
43,19,2,17.00,1.0000,1.0000,0.0000,0.0000,0.0726
44,20,2,18.00,1.0000,1.0000,0.0000,0.0000,0.0601
45,21,2,19.00,1.0000,1.0000,0.0000,0.0000,0.0644
46,22,2,20.00,1.0000,1.0000,0.0000,0.0000,0.0222
47,23,2,21.00,1.0000,1.0000,0.0000,0.0000,0.0003
48,24,2,22.00,1.0000,1.0000,0.0000,0.0000,0.0000
49,1,3,21.00,1.0000,1.0000,0.0000,0.0000,0.0000
50,2,3,20.00,1.0000,1.0000,0.0000,0.0000,0.0000
51,3,3,19.00,1.0000,1.0000,0.0000,0.0000,0.0000
52,4,3,18.00,1.0000,1.0000,0.0000,0.0000,0.0000
53,5,3,17.00,1.0000,1.0000,0.0000,0.0000,0.0000
54,6,3,16.00,1.0000,1.0000,0.0000,0.0000,0.0000
55,7,3,15.00,1.0000,1.0000,0.0000,0.0000,0.0000
56,8,3,14.00,1.0000,1.0000,0.0000,0.0000,0.0000
57,9,3,13.00,1.0000,1.0000,0.0000,0.0000,0.0000
58,10,3,12.00,1.0000,1.0000,0.0000,0.0000,0.0000
59,11,3,11.00,1.0000,1.0000,0.0000,0.0000,0.0000
60,12,3,10.00,1.0000,1.0000,0.0000,0.0000,0.0000
61,13,3,10.00,1.0000,1.0000,0.0000,0.0000,0.0000
62,14,3,11.00,1.0000,1.0000,0.0000,0.0000,0.0000
63,15,3,12.00,1.0000,1.0000,0.0000,0.0000,0.0032
64,16,3,13.00,1.0000,1.0000,0.0000,0.0000,0.0871
65,17,3,14.00,1.0000,1.0000,0.0000,0.0000,0.1205
66,18,3,15.00,1.0000,1.0000,0.0000,0.0000,0.2110
67,19,3,16.00,1.0000,1.0000,0.0000,0.0000,0.3874
68,20,3,17.00,1.0000,1.0000,0.0000,0.0000,0.3402
69,21,3,18.00,1.0000,1.0000,0.0000,0.0000,0.4187
70,22,3,19.00,1.0000,1.0000,0.0000,0.0000,0.1245
71,23,3,20.00,1.0000,1.0000,0.0000,0.0000,0.0431
72,24,3,21.00,1.0000,1.0000,0.0000,0.0000,0.0016
73,1,4,20.00,1.0000,1.0000,0.0000,0.0000,0.0000
74,2,4,19.00,1.0000,1.0000,0.0000,0.0000,0.0000
75,3,4,18.00,1.0000,1.0000,0.0000,0.0000,0.0000
76,4,4,17.00,1.0000,1.0000,0.0000,0.0000,0.0000
77,5,4,16.00,1.0000,1.0000,0.0000,0.0000,0.0000
78,6,4,15.00,1.0000,1.0000,0.0000,0.0000,0.0000
79,7,4,14.00,1.0000,1.0000,0.0000,0.0000,0.0000
80,8,4,13.00,1.0000,1.0000,0.0000,0.0000,0.0000
81,9,4,12.00,1.0000,1.0000,0.0000,0.0000,0.0000
82,10,4,11.00,1.0000,1.0000,0.0000,0.0000,0.0000
83,11,4,10.00,1.0000,1.0000,0.0000,0.0000,0.0000
84,12,4,9.00,1.0000,1.0000,0.0000,0.0000,0.0000
85,13,4,9.00,1.0000,1.0000,0.0000,0.0000,0.0000
86,14,4,10.00,1.0000,1.0000,0.0000,0.0000,0.0034
87,15,4,11.00,1.0000,1.0000,0.0000,0.0000,0.0952
88,16,4,12.00,1.0000,1.0000,0.0000,0.0000,0.2041
89,17,4,13.00,1.0000,1.0000,0.0000,0.0000,0.3628
90,18,4,14.00,1.0021,1.0000,0.0600,0.0000,0.7572
91,19,4,15.00,1.0000,1.0000,0.0000,0.0000,1.0291
92,20,4,16.00,1.0000,1.0000,0.0000,0.0000,1.1003
93,21,4,17.00,1.0000,1.0000,0.0000,0.0000,0.9797
94,22,4,18.00,1.0000,1.0000,0.0000,0.0000,0.5428
95,23,4,19.00,1.0000,1.0000,0.0000,0.0000,0.1609
96,24,4,20.00,1.0000,1.0000,0.0000,0.0000,0.0456
97,1,5,19.00,1.0000,1.0000,0.0000,0.0000,0.0000
98,2,5,18.00,1.0000,1.0000,0.0000,0.0000,0.0000
99,3,5,17.00,1.0000,1.0000,0.0000,0.0000,0.0000
100,4,5,16.00,1.0000,1.0000,0.0000,0.0000,0.0000
101,5,5,15.00,1.0000,1.0000,0.0000,0.0000,0.0000
102,6,5,14.00,1.0000,1.0000,0.0000,0.0000,0.0000
103,7,5,13.00,1.0000,1.0000,0.0000,0.0000,0.0000
104,8,5,12.00,1.0000,1.0000,0.0000,0.0000,0.0000
105,9,5,11.00,1.0000,1.0000,0.0000,0.0000,0.0000
106,10,5,10.00,1.0000,1.0000,0.0000,0.0000,0.0000
107,11,5,9.00,1.0000,1.0000,0.0000,0.0000,0.0000
108,12,5,8.00,1.0000,1.0000,0.0000,0.0000,0.0000
109,13,5,8.00,1.0000,1.0000,0.0000,0.0000,0.0034
110,14,5,9.00,1.0000,1.0000,0.0000,0.0000,0.0955
111,15,5,10.00,1.0000,1.0000,0.0000,0.0000,0.2325
112,16,5,11.00,1.0000,1.0000,0.0000,0.0000,0.5065
113,17,5,12.00,1.0000,1.0000,0.0004,0.0000,1.1478
114,18,5,13.00,1.0001,1.0000,0.0012,0.0000,1.6903
115,19,5,14.00,1.0000,1.0000,0.0008,0.0000,2.0253
116,20,5,15.00,1.0000,1.0000,0.0296,0.0000,2.1013
117,21,5,16.00,1.0000,1.0000,0.0000,0.0000,1.7439
118,22,5,17.00,1.0000,1.0000,0.0000,0.0000,1.1640
119,23,5,18.00,1.0000,1.0000,0.0000,0.0000,0.6071
120,24,5,19.00,1.0000,1.0000,0.0000,0.0000,0.1693
121,1,6,18.00,1.0000,1.0000,0.0000,0.0000,0.0000
122,2,6,17.00,1.0000,1.0000,0.0000,0.0000,0.0000
123,3,6,16.00,1.0000,1.0000,0.0000,0.0000,0.0000
124,4,6,15.00,1.0000,1.0000,0.0000,0.0000,0.0000
125,5,6,14.00,1.0000,1.0000,0.0000,0.0000,0.0000
126,6,6,13.00,1.0000,1.0000,0.0000,0.0000,0.0000
127,7,6,12.00,1.0000,1.0000,0.0000,0.0000,0.0000
128,8,6,11.00,1.0000,1.0000,0.0000,0.0000,0.0000
129,9,6,10.00,1.0000,1.0000,0.0000,0.0000,0.0000
130,10,6,9.00,1.0000,1.0000,0.0000,0.0000,0.0000
131,11,6,8.00,1.0000,1.0000,0.0000,0.0000,0.0000
132,12,6,7.00,1.0000,1.0000,0.0000,0.0000,0.0034
133,13,6,7.00,1.0000,1.0000,0.0000,0.0000,0.0955
134,14,6,8.00,1.0000,1.0000,0.0000,0.0000,0.2331
135,15,6,9.00,1.0000,1.0000,0.0000,0.0000,0.5445
136,16,6,10.00,1.0000,1.0000,0.0004,0.0000,1.3323
137,17,6,11.00,1.0178,1.0000,0.0376,0.0000,2.2536
138,18,6,12.00,1.0000,1.0000,0.0004,0.0000,2.9267
139,19,6,13.00,1.0001,1.0000,0.0012,0.0000,3.2344
140,20,6,14.00,1.0000,1.0000,0.0312,0.0000,3.2549
141,21,6,15.00,1.0099,1.0000,0.0124,0.0000,2.8348
142,22,6,16.00,1.0000,1.0000,0.0000,0.0000,2.0643
143,23,6,17.00,1.0000,1.0000,0.0000,0.0000,1.2792
144,24,6,18.00,1.0000,1.0000,0.0008,0.0000,0.6268
145,1,7,17.00,1.0000,1.0000,0.0000,0.0000,0.0000
146,2,7,16.00,1.0000,1.0000,0.0000,0.0000,0.0000
147,3,7,15.00,1.0000,1.0000,0.0000,0.0000,0.0000
148,4,7,14.00,1.0000,1.0000,0.0000,0.0000,0.0000
149,5,7,13.00,1.0000,1.0000,0.0000,0.0000,0.0000
