productivity,initial_hire,solo_found_prob,goods_tc,bid_share,grid_min_res_occ,sold_out_premium,pop_growth,mean_emp,grid_expanded,firm_growth,score
4.0768,4,0.025766,0.02008,0.1512,0.5815,0.34,0.787,0.65,false,false,1.891
4.0165,7,0.020943,0.16979,0.1634,0.5628,0.5738,0.972,0.574,false,true,2.877
5.5365,4,0.004059,0.17166,0.0763,0.6313,0.9,0.947,0.668,false,false,2.047
4.7988,4,0.006088,0.03328,0.1029,0.6627,0.663,0.501,0.777,false,false,1.929
7.5966,4,0.003252,0.07678,0.0788,0.5965,0.548,0.546,0.637,false,false,1.684
3.9168,6,0.005569,0.07206,0.13,0.8791,0.3006,1.054,0.637,false,false,2.063
7.5571,3,0.009812,0.02503,0.1749,0.7156,0.6718,0.73,0.647,false,false,1.841
3.8401,6,0.017508,0.0566,0.1997,0.5605,0.9295,1.136,0.605,false,false,2.061
3.094,5,0.008576,0.18426,0.1988,0.5656,0.2352,1.152,0.559,false,false,1.983
4.0257,7,0.004267,0.02053,0.119,0.5957,0.9253,1.049,0.717,false,false,2.221
4.4266,3,0.018675,0.04016,0.0932,0.5619,0.8784,0.712,0.611,false,false,1.756
3.4802,6,0.006061,0.17026,0.0926,0.5318,0.6906,1.123,0.639,false,false,2.121
5.0947,6,0.003071,0.12859,0.0957,0.7495,0.7731,1.073,0.567,false,false,1.939
5.266,8,0.027143,0.09844,0.1246,0.5846,0.2945,1.004,0.633,false,true,3.019
7.133,5,0.026698,0.16728,0.1173,0.8835,0.9596,0.607,0.612,false,true,2.678
6.5556,6,0.017682,0.18503,0.1509,0.5054,0.8123,1.107,0.632,false,true,3.094
5.6804,5,0.027844,0.05149,0.1935,0.6699,0.5031,0.779,0.64,false,false,1.864
3.9574,7,0.026497,0.0203,0.0897,0.5214,0.37,1.397,0.638,false,false,2.324
4.9395,7,0.017298,0.10128,0.1791,0.6484,0.6392,0.851,0.55,false,false,1.738
4.412,5,0.016861,0.13678,0.1494,0.7895,0.9759,1.668,0.593,false,true,3.438
3.0308,6,0.015119,0.15379,0.1731,0.7419,0.302,1.433,0.491,false,false,2.057
3.638,4,0.010985,0.11929,0.163,0.5762,0.7251,1.268,0.639,false,false,2.229
4.003,5,0.011821,0.08505,0.128,0.8409,0.2159,1.166,0.661,false,true,3.197
7.9037,7,0.004841,0.05258,0.1717,0.6409,0.217,0.711,0.713,false,false,1.959
4.193,7,0.007746,0.0474,0.0667,0.8754,0.3235,1.102,0.626,false,true,3.079
4.296,4,0.008455,0.13407,0.1917,0.8756,0.3435,0.779,0.649,false,false,1.883
7.3148,5,0.008011,0.02702,0.0745,0.7888,0.2742,1.11,0.73,false,true,3.292
7.9381,3,0.007858,0.03086,0.1439,0.8049,0.6631,0.545,0.663,false,false,1.735
7.505,6,0.017023,0.15783,0.1029,0.6464,0.512,0.504,0.635,false,false,1.648
6.939,4,0.003071,0.03124,0.0864,0.6632,0.3326,0.762,0.677,false,false,1.926
3.8258,3,0.010214,0.15775,0.1884,0.8195,0.4394,0.797,0.663,false,false,1.923
3.9251,4,0.029055,0.08002,0.0753,0.8579,0.692,0.948,0.646,false,true,3.003
6.7215,3,0.003505,0.03189,0.1597,0.6774,0.9295,0.409,0.625,false,false,1.556
5.2362,6,0.005548,0.10732,0.1554,0.8827,0.2395,0.951,0.662,false,false,2.038
7.9833,7,0.004366,0.04292,0.12,0.8265,0.9906,1.004,0.636,false,false,2.025
5.4526,6,0.011592,0.12911,0.1657,0.7733,0.6447,1.232,0.587,false,true,3.098
4.3281,6,0.003999,0.04828,0.1432,0.5576,0.7319,0.79,0.632,false,false,1.858
7.5769,8,0.015881,0.07588,0.1804,0.5627,0.5097,1.173,0.623,false,true,3.125
4.1839,4,0.017949,0.07279,0.068,0.6727,0.6068,2.736,0.703,false,true,4.459
6.2945,6,0.014335,0.13268,0.1708,0.5759,0.9658,0.871,0.64,false,true,2.933
5.7486,7,0.003806,0.15503,0.1944,0.5898,0.721,1.335,0.587,false,true,3.175
7.9852,6,0.01746,0.05137,0.0853,0.756,0.3659,1.505,0.725,false,true,3.578
5.9991,8,0.005034,0.0584,0.0574,0.5425,0.7615,2.139,0.662,false,true,3.929
7.8753,4,0.008665,0.08473,0.1969,0.7339,0.7611,0.608,0.611,false,true,2.678
6.2587,5,0.021906,0.0664,0.1841,0.6016,0.7591,0.651,0.673,false,false,1.834
7.4259,7,0.026761,0.0206,0.1436,0.8839,0.9727,2.637,0.555,false,true,4.087
4.5862,3,0.022269,0.04475,0.0521,0.5716,0.6281,0.932,0.731,false,true,3.162
3.4968,3,0.016699,0.19278,0.1113,0.7561,0.6418,1.106,0.684,false,false,2.198
5.3198,6,0.024493,0.09143,0.1704,0.7503,0.7341,2.132,0.627,false,true,3.852
4.7797,8,0.007712,0.11232,0.1959,0.5094,0.7013,1.022,0.574,false,false,1.914
7.9156,4,0.015672,0.17449,0.1628,0.7895,0.672,0.784,0.672,false,false,1.932
4.5956,8,0.011448,0.02219,0.1666,0.5299,0.6001,1.091,0.567,false,false,1.952
7.3889,7,0.009844,0.02075,0.136,0.8689,0.933,0.973,0.656,false,true,3.041
