tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
3500.0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,2.0,4.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,3.0,5.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
3500.0,4.0,6.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
3500.0,5.0,7.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,6.0,8.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
3500.0,7.0,9.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,8.0,10.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,9.0,11.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.4968904538101298,11.967449993420063
3500.0,10.0,12.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.4872468298214403
3500.0,11.0,13.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,2.5505615985356176,1.2986288243518798
3500.0,12.0,14.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,1.6949934617092457,1.0
3500.0,13.0,3.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,14.0,4.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3500.0,15.0,5.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,16.0,6.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3500.0,17.0,7.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,18.0,8.0,6.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
3500.0,19.0,9.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,20.0,10.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,21.0,11.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,1.03,1.0
3500.0,22.0,12.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,1.2579884644018107,1.0
3500.0,23.0,13.0,6.0,1.0,2.0,1.0,2.0,0.0,0.0,2.572793762806136,1.2141163863577074
3500.0,24.0,14.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,1.5606740243495734,1.0
3500.0,25.0,3.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,26.0,4.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,27.0,5.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3500.0,28.0,6.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,29.0,7.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,30.0,8.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3500.0,31.0,9.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,32.0,10.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,33.0,11.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,34.0,12.0,7.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
3500.0,35.0,13.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,1.7703500827623766,1.0
3500.0,36.0,14.0,7.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0648491998978025,1.0
3500.0,37.0,3.0,8.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0
3500.0,38.0,4.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3500.0,39.0,5.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3500.0,40.0,6.0,8.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
3500.0,41.0,7.0,8.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0
3500.0,42.0,8.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,43.0,9.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,44.0,10.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,45.0,11.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,46.0,12.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,1.1255088100000001,1.0
3500.0,47.0,13.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,1.1683801721536267,1.0
3500.0,48.0,14.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,1.850612852262164,1.0
3500.0,49.0,3.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3500.0,50.0,4.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,51.0,5.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3500.0,52.0,6.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,53.0,7.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
3500.0,54.0,8.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,55.0,9.0,9.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
3500.0,56.0,10.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0609,1.0
3500.0,57.0,11.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,58.0,12.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,59.0,13.0,9.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
3500.0,60.0,14.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,1.3439163793441222,1.0
3500.0,61.0,3.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,62.0,4.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,63.0,5.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,64.0,6.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,65.0,7.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,66.0,8.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,67.0,9.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,68.0,10.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,69.0,11.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,70.0,12.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,1.5579674166007653,1.0
3500.0,71.0,13.0,10.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0
3500.0,72.0,14.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,1.1492380339275017,1.0
3500.0,73.0,3.0,11.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0
3500.0,74.0,4.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,75.0,5.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,76.0,6.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,77.0,7.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,78.0,8.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,79.0,9.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,80.0,10.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,81.0,11.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
3500.0,82.0,12.0,11.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,7.401935232477224
3500.0,83.0,13.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,1.1940522965290001,1.0
3500.0,84.0,14.0,11.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0860969985297075,2.108649138378408
