tick,population,active_firms,realized_sales,employed,unemployed,mean_goods_price,mean_commercial_rent
500.0,141.0,6.0,175.0,77.0,64.0,4.0002826500899555,5.846110829871263
1000.0,104.0,6.0,126.0,42.0,62.0,3.7694011084411536,2.8272957420152043
1500.0,98.0,6.0,169.0,67.0,31.0,3.912828449874936,7.823538253262353
2000.0,128.0,8.0,162.0,64.0,64.0,4.773064824075513,5.137191662291554
2500.0,343.0,7.0,405.0,223.0,120.0,4.288151816485331,6.4365358847580225
3000.0,148.0,7.0,155.0,80.0,68.0,4.348934214357419,4.279965679949284
3500.0,133.0,7.0,200.0,65.0,68.0,3.809771505726365,3.6657475415287184
4000.0,136.0,7.0,216.0,87.0,49.0,3.763476227772447,3.6401459238596656
4500.0,110.0,6.0,128.0,63.0,47.0,3.647444841088625,3.989077428610408
5000.0,113.0,7.0,122.0,74.0,39.0,4.5038346234499445,2.558210457392763
5500.0,159.0,6.0,157.0,78.0,81.0,3.889781823488189,2.596992824589269
6000.0,219.0,7.0,297.0,156.0,63.0,4.5025853293675,4.30654975002375
6500.0,100.0,6.0,149.0,72.0,28.0,4.176951299219582,3.7521392629754833
7000.0,117.0,7.0,200.0,106.0,11.0,4.146226154775421,4.474746981359015
7500.0,97.0,6.0,99.0,43.0,54.0,4.346151244002626,1.9899654923047203
8000.0,202.0,7.0,281.0,161.0,41.0,4.09211389478098,4.188285603402408
8500.0,115.0,8.0,102.0,60.0,55.0,4.4192485247694195,3.0065790464291005
9000.0,107.0,6.0,136.0,68.0,39.0,4.193578531049093,3.192929036420912
9500.0,97.0,7.0,153.0,63.0,34.0,4.566305145987714,3.03656461289095
10000.0,123.0,8.0,188.0,64.0,59.0,4.543716106945868,2.7814505322732788
