id,from_lot_id,to_lot_id,from_x,from_y,to_x,to_y,euclidean_dist,road_length,congested_length,capacity,usage_last_tick
1,101,50,7,13,4,9,5.0000,1.6667,1.6667,125.00,0
2,90,39,8,12,5,8,5.0000,1.6667,1.6667,125.00,0
3,89,42,7,12,8,8,4.1231,1.3744,1.3744,103.08,0
4,55,15,9,9,5,6,5.0000,1.6667,1.6667,125.00,0
5,200,40,8,4,6,8,4.4721,1.4907,1.4907,111.80,0
6,16,21,6,6,11,6,5.0000,1.6667,1.6667,125.00,0
7,41,111,7,8,5,14,6.3246,2.1082,2.1082,158.11,0
8,63,43,5,10,9,8,4.4721,1.4907,1.4907,111.80,0
9,40,111,6,8,5,14,6.0828,2.0276,2.0276,152.07,0
10,101,42,7,13,8,8,5.0990,1.6997,1.6997,127.48,0
11,41,33,7,8,11,7,4.1231,1.3744,1.3744,103.08,0
12,26,18,4,7,8,6,4.1231,1.3744,1.3744,103.08,0
13,67,201,9,10,9,4,6.0000,2.0000,2.0000,150.00,0
14,77,4,7,11,6,5,6.0828,2.0276,2.0276,152.07,0
15,50,43,4,9,9,8,5.0990,1.6997,1.6997,127.48,0
16,73,17,3,11,7,6,6.4031,2.1344,2.1344,160.08,0
17,113,62,7,14,4,10,5.0000,1.6667,1.6667,125.00,0
18,89,42,7,12,8,8,4.1231,1.3744,1.3744,103.08,0
19,52,97,6,9,3,13,5.0000,1.6667,1.6667,125.00,0
20,197,230,5,4,2,10,6.7082,2.2361,2.2361,167.71,0
21,75,229,5,11,1,10,4.1231,1.3744,1.3744,103.08,0
22,196,42,4,4,8,8,5.6569,1.8856,1.8856,141.42,0
23,18,65,8,6,7,10,4.1231,1.3744,1.3744,103.08,0
24,55,113,9,9,7,14,5.3852,1.7951,1.7951,134.63,0
25,58,54,12,9,8,9,4.0000,1.3333,1.3333,100.00,0
26,6,67,8,5,9,10,5.0990,1.6997,1.6997,127.48,0
27,32,40,10,7,6,8,4.1231,1.3744,1.3744,103.08,0
28,233,64,1,11,6,10,5.0990,1.6997,1.6997,127.48,0
29,74,27,4,11,5,7,4.1231,1.3744,1.3744,103.08,0
30,20,67,10,6,9,10,4.1231,1.3744,1.3744,103.08,0
31,73,20,3,11,10,6,8.6023,2.8674,2.8674,215.06,0
32,49,30,3,9,8,7,5.3852,1.7951,1.7951,134.63,0
33,42,9,8,8,11,5,4.2426,1.4142,1.4142,106.07,0
34,45,17,11,8,7,6,4.4721,1.4907,1.4907,111.80,0
35,56,63,10,9,5,10,5.0990,1.6997,1.6997,127.48,0
36,63,229,5,10,1,10,4.0000,1.3333,1.3333,100.00,0
37,75,14,5,11,4,6,5.0990,1.6997,1.6997,127.48,0
38,27,86,5,7,4,12,5.0990,1.6997,1.6997,127.48,0
39,30,90,8,7,8,12,5.0000,1.6667,1.6667,125.00,0
40,213,17,1,6,7,6,6.0000,2.0000,2.0000,150.00,0
41,5,38,7,5,4,8,4.2426,1.4142,1.4142,106.07,0
42,66,4,8,10,6,5,5.3852,1.7951,1.7951,134.63,0
43,41,181,7,8,5,3,5.3852,1.7951,1.7951,134.63,0
44,221,52,1,8,6,9,5.0990,1.6997,1.6997,127.48,0
45,210,30,2,5,8,7,6.3246,2.1082,2.1082,158.11,0
46,16,202,6,6,10,4,4.4721,1.4907,1.4907,111.80,0
47,49,165,3,9,5,2,7.2801,2.4267,2.4267,182.00,0
48,14,62,4,6,4,10,4.0000,1.3333,1.3333,100.00,0
49,27,147,5,7,3,1,6.3246,2.1082,2.1082,158.11,0
50,15,150,5,6,6,1,5.0990,1.6997,1.6997,127.48,0
