tick,firm_id,firm_type,reason,cash_before_exit,revenue_this_tick,wages_this_tick,commercial_rent_this_tick,capital_rental_this_tick,process_rental_this_tick,input_cost_this_tick,profit_this_tick,worker_count,capital_units,process_count,commercial_units,last_plan_tick,last_plan_passed,last_plan_projected_end_cash,last_plan_total_cost,last_plan_buffer
302,5,5,negative_cash,-219.7861384345204,145.05960140270457,210.0,2.0,0.75,0.6,258.63763576123887,-326.9280343585343,21,3,1,2,291,0,-67.47360272849141,4925.758620689655,1266.0377937353476
365,8,4,negative_cash,-1.1397287107744414,0.0,0.0,1.0,0.25,0.6,0.0,-1.85,0,1,1,1,349,0,-32.78972871077443,57.0,14.25
397,12,3,negative_cash,-1.3426182613488562,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,378,0,-47.856248174480626,69.0,31.663629913131782
460,14,5,negative_cash,-0.02568372479801817,0.0,0.0,0.0,0.25,0.6,0.0,-0.85,0,1,1,0,409,1,6.0743162752020226,37.0,9.25
469,6,6,negative_cash,-1.7286665133237875,259.1291235870179,270.0,2.0,2.75,6.6,175.0,-197.2208764129821,27,11,11,2,451,1,233.1816096154862,6640.0,1713.3415783238024
630,24,5,negative_cash,-72.56966847711152,0.0,19.170518350955852,1.0,0.5,0.6,57.25111972201921,-78.52163807297507,2,2,1,1,591,1,3032.5321264125796,0.0,0.0
632,15,4,negative_cash,-0.026256651918060037,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,613,0,-23.126256651918055,77.0,19.25
661,17,6,negative_cash,-36.12838547534257,41.83687392468204,40.0,1.0,1.5,1.2,49.0,-50.863126075317965,4,6,2,1,642,1,139.79017835585353,1194.0,313.979730324172
666,18,5,negative_cash,-25.34582332477916,111.9771025969857,40.0,1.0,1.25,0.6,100.3188557181668,-31.191753121181094,4,5,1,1,657,0,-242.16234981676837,2000.6917600490376,519.4251942289974
736,25,3,negative_cash,-0.7055371687770604,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,722,0,-61.469167081908836,69.0,31.663629913131782
739,20,3,negative_cash,-0.8084474824035026,0.0,0.0,1.0,0.5,0.6,0.0,-2.1,0,2,1,1,734,0,-42.8084474824035,42.0,10.5
743,30,5,negative_cash,-73.94761523256616,0.0,18.45231317548192,1.0,0.5,0.6,53.583849568720176,-74.1361627442021,2,2,1,1,701,1,3001.7227056346487,0.0,0.0
743,23,3,negative_cash,-1.4746415747713093,0.0,0.0,1.0,0.25,0.6,0.0,-1.85,0,1,1,1,723,0,-35.7246415747713,57.0,14.25
757,1,1,negative_cash,-2.9197502278493968,8.847359999999998,10.0,5.0,0.25,0.6,0.0,-7.002640000000001,1,1,1,5,740,0,-2.158830786350542,137.0,44.368120558501154
768,3,3,negative_cash,-5.418452276794769,0.0,0.0,5.0,1.5,0.6,0.0,-7.1,0,6,1,5,767,0,-200.81845227679477,162.0,40.5
769,26,3,negative_cash,-2.330771942039481,0.0,0.0,2.0,0.5,0.6,0.0,-3.1,0,2,1,2,753,0,-30.230771942039468,62.0,15.5
801,33,5,negative_cash,-14.581511161588736,0.0,21.73651976705234,1.0,0.5,0.6,58.12210138870587,-81.95862115575821,2,2,1,1,763,1,3005.830496015959,0.0,0.0
814,21,6,negative_cash,-25.367966770336338,104.03801514705064,60.59458658072785,1.0,2.0,3.0,70.0,-32.556571433677206,6,8,5,1,802,1,226.14959110816596,2365.491405722174,636.2971889064835
828,27,4,negative_cash,-1.1328536027206821,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,813,0,-29.632853602720672,57.0,14.25
849,32,3,negative_cash,-2.220443393089546,0.0,19.32050923856398,2.0,0.5,1.2,9.703680075,-32.724189313563976,2,2,2,2,830,1,43.586423475206516,460.41018477127955,115.10254619281989
863,29,4,negative_cash,-0.9394723811374037,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,853,0,-68.68947238113739,77.0,19.25
865,28,4,negative_cash,-0.6883648630147721,0.0,0.0,1.0,0.25,0.6,0.0,-1.85,0,1,1,1,858,0,-54.98836486301477,57.0,14.25
871,38,5,negative_cash,-11.71811446329555,0.0,19.136921319798102,1.0,0.5,0.6,52.243142336444734,-73.48006365624283,2,2,1,1,831,1,3007.194490894017,0.0,0.0
876,31,3,negative_cash,-0.9327737695566887,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,859,0,-54.480081302537364,77.0,41.99730753298069
923,41,5,negative_cash,-7.831512820372666,0.0,20.203687401677332,1.0,0.5,0.6,53.494705375568884,-75.79839277724622,2,2,1,1,884,1,3007.527805749222,0.0,0.0
928,37,3,negative_cash,-2.035415184925536,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,914,0,-45.29232685229526,57.0,26.156911667369734
936,19,6,negative_cash,-31.421865226213058,77.2547954872689,60.0,1.0,2.5,1.7999999999999998,70.0,-58.045204512731104,6,10,3,1,928,1,140.4127516357106,1882.6176470588236,497.8147628064329
954,2,2,negative_cash,-3.976435148780758,0.0,0.0,4.0,0.5,0.6,0.0,-5.1,0,2,1,4,953,1,114.04436485121914,122.0,30.5
963,34,1,negative_cash,-8.498572699737315,4.608,10.0,3.0,0.5,0.6,0.0,-9.491999999999999,1,2,1,3,953,1,111.53698457873361,82.0,23.98201345934063
965,44,5,negative_cash,-11.635348563820699,0.0,20.654209479229255,1.0,0.5,0.6,52.97879280168656,-75.73300228091581,2,2,1,1,924,1,3152.92937533414,0.0,0.0
969,36,3,negative_cash,-0.8088011243764859,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,955,0,-43.158801124376474,77.0,19.25
973,35,6,negative_cash,-19.762475028463186,45.05429725215805,50.0,1.0,1.5,1.2,56.0,-64.64570274784195,5,6,2,1,961,1,165.0702190031575,1503.967741935484,397.3882227051222
1005,42,3,negative_cash,-14.149116390197285,0.0,19.188487826956237,1.0,0.5,1.2,9.891195088246553,-31.77968291520279,2,2,2,1,987,1,10.781785324254258,437.7697565391247,109.44243913478118
1012,22,6,negative_cash,-21.74321974241829,310.9881021248205,198.8415239187297,4.0,4.25,6.6,203.0,-105.7034217939092,20,17,11,4,998,1,84.64056536469207,6094.335332743526,1550.975487621446
1039,43,3,negative_cash,-2.665373677203721,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1031,0,-51.11537367720372,57.0,14.25
1071,50,5,negative_cash,-27.816327166592856,11.271712171622395,20.35185742887846,1.0,0.5,0.6,70.0,-81.18014525725607,2,2,1,1,1028,1,3018.603882578689,0.0,0.0
1075,40,4,negative_cash,-2.3645677860428793,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,1069,0,-81.51456778604287,77.0,19.25
