tick,lot_id,x,y,residential_units,commercial_units,occupied_residential,occupied_commercial,vacant_residential,vacant_commercial,residential_rent,commercial_rent
2500.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2500.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2500.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2500.0,4.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2500.0,5.0,5.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.2212890055701586,1.0
2500.0,6.0,6.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.806106399850488,1.0
2500.0,7.0,7.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
2500.0,8.0,8.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.3422673027347445,1.0
2500.0,9.0,9.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2500.0,10.0,10.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
2500.0,11.0,11.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2500.0,12.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2500.0,13.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.2879276757372633,1.0
2500.0,14.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2500.0,15.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2500.0,16.0,4.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,2.020460350714793,1.0
2500.0,17.0,5.0,2.0,5.0,1.0,5.0,1.0,0.0,0.0,1.1552473281786295,1.0
2500.0,18.0,6.0,2.0,6.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0
2500.0,19.0,7.0,2.0,6.0,1.0,5.0,1.0,1.0,0.0,1.622944386762563,1.0
2500.0,20.0,8.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,2.2740459249851894,1.0
2500.0,21.0,9.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
2500.0,22.0,10.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2500.0,23.0,11.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2500.0,24.0,12.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2500.0,25.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2500.0,26.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
2500.0,27.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,1.3439163793441222,1.0
2500.0,28.0,4.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,2.2077938472847336,1.0
2500.0,29.0,5.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,2.532880367042914,1.0
2500.0,30.0,6.0,3.0,5.0,1.0,3.0,1.0,2.0,0.0,2.412490114997423,1.0
2500.0,31.0,7.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,1.532442481865353,1.0
2500.0,32.0,8.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,2.274045924985189,1.0
2500.0,33.0,9.0,3.0,5.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0
2500.0,34.0,10.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0
2500.0,35.0,11.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2500.0,36.0,12.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2500.0,37.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,1.0,1.9161034088607827,1.0
2500.0,38.0,2.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,2.5000803453253524,1.0
2500.0,39.0,3.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,1.4685337134515648,1.0
2500.0,40.0,4.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,2.3729968825027217,1.0
2500.0,41.0,5.0,4.0,5.0,1.0,5.0,1.0,0.0,0.0,2.6592143743085415,1.0
2500.0,42.0,6.0,4.0,4.0,1.0,2.0,1.0,2.0,0.0,2.6087620240234464,1.0
2500.0,43.0,7.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,2.2308713822652306,1.0
2500.0,44.0,8.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,1.325351676390037,1.0
2500.0,45.0,9.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,2.6500272327052166,1.0
2500.0,46.0,10.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2500.0,47.0,11.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2500.0,48.0,12.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2500.0,49.0,1.0,5.0,2.0,1.0,2.0,0.0,0.0,1.0,2.504430360372747,1.0
2500.0,50.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,0.0,1.8425848985139588,1.0
2500.0,51.0,3.0,5.0,4.0,1.0,4.0,1.0,0.0,0.0,2.256310431673489,1.0
2500.0,52.0,4.0,5.0,4.0,1.0,3.0,1.0,1.0,0.0,2.5306085650628347,1.0
2500.0,53.0,5.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,2.9516246810256095,1.0
2500.0,54.0,6.0,5.0,7.0,1.0,6.0,1.0,1.0,0.0,2.797233008224796,1.0
2500.0,55.0,7.0,5.0,3.0,1.0,2.0,1.0,1.0,0.0,2.258184858247132,1.0
2500.0,56.0,8.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,1.7024330612399046,1.0
2500.0,57.0,9.0,5.0,3.0,1.0,3.0,1.0,0.0,0.0,1.1592740743,1.0
2500.0,58.0,10.0,5.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
2500.0,59.0,11.0,5.0,2.0,1.0,2.0,0.0,0.0,1.0,1.8602945717094976,1.0
2500.0,60.0,12.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2500.0,61.0,1.0,6.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0
2500.0,62.0,2.0,6.0,4.0,1.0,4.0,1.0,0.0,0.0,2.0186967852292503,1.0
2500.0,63.0,3.0,6.0,4.0,1.0,3.0,1.0,1.0,0.0,2.1472302322413155,1.0
2500.0,64.0,4.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,2.821107665941355,1.0
2500.0,65.0,5.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,2.94387877758936,1.0
2500.0,66.0,6.0,6.0,5.0,1.0,5.0,1.0,0.0,0.0,2.1805769081083524,1.0
2500.0,67.0,7.0,6.0,5.0,1.0,5.0,1.0,0.0,0.0,2.5043499115799945,1.0
2500.0,68.0,8.0,6.0,4.0,1.0,4.0,1.0,0.0,0.0,1.37579098783112,1.0
2500.0,69.0,9.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,1.2667700813876164,1.0
2500.0,70.0,10.0,6.0,4.0,1.0,2.0,1.0,2.0,0.0,2.3422673027347445,1.0
2500.0,71.0,11.0,6.0,5.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0
2500.0,72.0,12.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2500.0,73.0,1.0,7.0,2.0,1.0,2.0,0.0,0.0,1.0,1.5112735014828582,1.0
2500.0,74.0,2.0,7.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0879838406554507,1.0
2500.0,75.0,3.0,7.0,4.0,1.0,4.0,1.0,0.0,0.0,1.6047064390987884,1.0
2500.0,76.0,4.0,7.0,5.0,1.0,5.0,1.0,0.0,0.0,2.2563043917064176,1.0
2500.0,77.0,5.0,7.0,6.0,1.0,5.0,0.0,1.0,1.0,2.0919503686779164,1.0
2500.0,78.0,6.0,7.0,6.0,1.0,5.0,1.0,1.0,0.0,2.1211736132658596,1.0
2500.0,79.0,7.0,7.0,2.0,1.0,0.0,1.0,2.0,0.0,2.4124965730626062,1.0
2500.0,80.0,8.0,7.0,3.0,1.0,3.0,0.0,0.0,1.0,1.652847632271752,1.0
2500.0,81.0,9.0,7.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0946282904531583,1.0
2500.0,82.0,10.0,7.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2500.0,83.0,11.0,7.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
