tick,d_population,d_employed,d_unemployed,d_housed,d_unhoused,d_residential_units,d_vacant_residential_units,d_commercial_units,d_vacant_commercial_units,d_active_firms,d_firm_job_vacancies,d_firms_with_job_vacancies,d_committed_output,d_realized_sales,d_unsold_output,d_sold_out_firms,d_mean_wage,d_mean_residential_rent,d_mean_commercial_rent,d_mean_goods_price
1.0,40.0,40.0,0.0,4.0,36.0,144.0,140.0,6.0,1.0,5.0,0.0,0.0,84.0,35.0,49.0,2.0,9.901066979469164,2.305508541082716,2.48738278004404,6.3
2.0,0.0,0.0,0.0,4.0,-4.0,0.0,-4.0,1.0,1.0,0.0,0.0,0.0,4.0,-3.0,7.0,-1.0,0.0,-0.1057150585261648,-0.2138627710565184,0.0
3.0,0.0,0.0,0.0,7.0,-7.0,0.0,-7.0,1.0,1.0,0.0,0.0,0.0,0.0,-4.0,4.0,0.0,0.0,-0.09196000130708404,-0.28102800134812833,0.0
4.0,0.0,0.0,0.0,4.0,-4.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,4.0,-6.0,10.0,0.0,0.0,-0.0827971200970361,-0.23887380114590884,0.0
5.0,0.0,0.0,0.0,7.0,-7.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0710586132993214,-0.2030427309740226,-0.09999999999999964
6.0,0.0,0.0,0.0,3.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,4.0,-8.0,12.0,0.0,0.0,-0.06439798048184886,-0.1725863213279195,0.0519999999999996
7.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.059349751327627986,-0.14669837312873124,0.0
8.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,5.0,0.0,0.0,-0.05442477794446621,-0.12469361715942151,0.0
9.0,0.0,0.0,0.0,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.050565599865703525,-0.09380131816703585,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04819765787076502,-0.012795845736353506,-0.09839999999999982
11.0,0.0,0.0,0.0,3.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,-1.0,0.0,-0.04349054312051526,0.0,0.054079999999999906
12.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,0.0,0.0,-0.04131392191786132,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.03751219702372621,0.0,0.0
14.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,-0.03488029851950025,0.0,-0.057599999999999874
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029747186532176118,0.0,0.0
16.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02412329428227933,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.021541906092357843,0.0,0.0
