tick,firm_id,firm_type,workers_before,workers_after,capital_before,capital_after,projected_end_cash_before,projected_end_cash_after,total_cost_before,total_cost_after,buffer_before,buffer_after,plan_passed_before,plan_passed_after
40.0,1.0,1.0,8.0,8.0,2.0,2.0,44476.92999509944,44460.80895661985,1691.259106488124,1703.2591064881242,580.8119880665788,584.9330265461714,1.0,1.0
47.0,3.0,3.0,8.0,8.0,2.0,3.0,44949.92697522468,44910.96779889899,1703.5639180802395,1732.5639180802398,585.0377049045159,594.996881230198,1.0,1.0
51.0,5.0,5.0,8.0,8.0,2.0,3.0,42856.800763733365,42820.19380713782,3543.8220050292275,3572.8220050292275,929.5758680898376,937.1828246853856,1.0,1.0
51.0,6.0,6.0,8.0,8.0,2.0,2.0,41457.12377263584,41442.12377263584,1753.8621650958498,1765.86216509585,438.46554127396246,441.4655412739625,1.0,1.0
53.0,2.0,2.0,8.0,8.0,2.0,2.0,43727.238991905695,43712.238991905695,1667.382635098592,1679.3826350985921,416.845658774648,419.84565877464803,1.0,1.0
60.0,1.0,1.0,8.0,8.0,2.0,2.0,42961.332581544455,42961.332581544455,1723.2591064881242,1723.2591064881242,430.81477662203105,430.81477662203105,1.0,1.0
67.0,3.0,3.0,8.0,8.0,3.0,3.0,43063.490971102576,43063.490971102576,1541.9276718635363,1541.9276718635363,613.2397293002529,613.2397293002529,1.0,1.0
71.0,5.0,5.0,8.0,8.0,3.0,4.0,41125.53735216617,41104.00616530191,4299.863181499815,4316.863181499815,1146.0872685947131,1150.6184554589693,1.0,1.0
71.0,6.0,6.0,8.0,8.0,2.0,2.0,38783.26016773262,38783.26016773262,1805.06216509585,1805.06216509585,632.0669810813514,632.0669810813514,1.0,1.0
73.0,2.0,2.0,8.0,8.0,2.0,2.0,42121.33004800029,42121.33004800029,1679.3826350985921,1679.3826350985921,419.84565877464803,419.84565877464803,1.0,1.0
80.0,1.0,1.0,8.0,8.0,2.0,2.0,41326.547290898205,41326.547290898205,1723.2591064881242,1723.2591064881242,430.81477662203105,430.81477662203105,1.0,1.0
87.0,3.0,3.0,8.0,8.0,3.0,4.0,41978.10178020814,41955.26364236205,1699.5458081880593,1716.5458081880595,583.6578061144403,589.4959439605299,1.0,1.0
91.0,5.0,5.0,9.0,9.0,4.0,4.0,39060.07202207707,39060.07202207707,5008.922005029228,5008.922005029228,1278.4357323021222,1278.4357323021222,1.0,1.0
91.0,6.0,6.0,8.0,8.0,2.0,2.0,35695.12918620661,35695.12918620661,1765.86216509585,1765.86216509585,963.1357975115004,963.1357975115004,1.0,1.0
93.0,2.0,2.0,8.0,8.0,2.0,2.0,40530.421012918225,40530.421012918225,1679.3826350985921,1679.3826350985921,419.84565877464803,419.84565877464803,1.0,1.0
100.0,1.0,1.0,8.0,8.0,2.0,2.0,39691.761784449205,39691.761784449205,1723.2591064881242,1723.2591064881242,430.81477662203105,430.81477662203105,1.0,1.0
107.0,3.0,3.0,8.0,8.0,4.0,4.0,39776.7049516829,39776.7049516829,1558.9276718635365,1558.9276718635365,850.2696734665785,850.2696734665785,1.0,1.0
111.0,5.0,5.0,10.0,10.0,4.0,4.0,36203.03790763646,36203.03790763646,5416.422005029227,5416.422005029227,1380.0856836016749,1380.0856836016749,1.0,1.0
111.0,6.0,6.0,8.0,8.0,2.0,2.0,33188.46070161937,33188.46070161937,1765.86216509585,1765.86216509585,810.3421170028495,810.3421170028495,1.0,1.0
113.0,2.0,2.0,8.0,8.0,2.0,2.0,38939.51197781963,38939.51197781963,1679.3826350985921,1679.3826350985921,419.84565877464803,419.84565877464803,1.0,1.0
120.0,1.0,1.0,8.0,8.0,2.0,2.0,38056.9762779611,38056.9762779611,1723.2591064881242,1723.2591064881242,430.81477662203105,430.81477662203105,1.0,1.0
127.0,3.0,3.0,8.0,8.0,4.0,4.0,38331.0559071524,38331.0559071524,1558.9276718635365,1558.9276718635365,715.3812878728573,715.3812878728573,1.0,1.0
131.0,5.0,5.0,10.0,10.0,4.0,4.0,33183.86679898774,33183.86679898774,5399.596206478756,5399.596206478756,1361.7062083299693,1361.7062083299693,1.0,1.0
131.0,6.0,6.0,8.0,8.0,2.0,2.0,31317.94984654127,31317.94984654127,1890.3066095402944,1890.3066095402944,535.714362540694,535.714362540694,1.0,1.0
133.0,2.0,2.0,8.0,8.0,2.0,2.0,37348.60294272104,37348.60294272104,1679.3826350985921,1679.3826350985921,419.84565877464803,419.84565877464803,1.0,1.0
140.0,1.0,1.0,8.0,8.0,2.0,2.0,36377.19077147298,36377.19077147298,1743.2591064881242,1743.2591064881242,435.81477662203105,435.81477662203105,1.0,1.0
147.0,3.0,3.0,8.0,8.0,4.0,4.0,36800.93290092937,36800.93290092937,1558.9276718635365,1558.9276718635365,775.0454487030387,775.0454487030387,1.0,1.0
