firm_id,founded_tick,exit_tick,lifetime_ticks,censored_alive
1.0,1.0,920.0,920.0,0
2.0,1.0,5000.0,5000.0,1
3.0,1.0,329.0,329.0,0
4.0,1.0,325.0,325.0,0
5.0,1.0,250.0,250.0,0
6.0,1.0,239.0,239.0,0
7.0,116.0,119.0,4.0,0
8.0,123.0,126.0,4.0,0
9.0,124.0,128.0,5.0,0
10.0,150.0,153.0,4.0,0
11.0,158.0,161.0,4.0,0
12.0,189.0,192.0,4.0,0
13.0,213.0,263.0,51.0,0
14.0,215.0,218.0,4.0,0
15.0,230.0,233.0,4.0,0
16.0,240.0,468.0,229.0,0
17.0,251.0,485.0,235.0,0
18.0,252.0,330.0,79.0,0
19.0,267.0,269.0,3.0,0
20.0,296.0,334.0,39.0,0
21.0,322.0,327.0,6.0,0
22.0,326.0,556.0,231.0,0
23.0,330.0,679.0,350.0,0
24.0,335.0,336.0,2.0,0
25.0,337.0,362.0,26.0,0
26.0,344.0,367.0,24.0,0
27.0,361.0,435.0,75.0,0
28.0,370.0,372.0,3.0,0
29.0,373.0,399.0,27.0,0
30.0,381.0,383.0,3.0,0
31.0,387.0,485.0,99.0,0
32.0,406.0,408.0,3.0,0
33.0,416.0,421.0,6.0,0
34.0,427.0,429.0,3.0,0
35.0,435.0,437.0,3.0,0
36.0,436.0,437.0,2.0,0
37.0,441.0,443.0,3.0,0
38.0,456.0,540.0,85.0,0
39.0,469.0,990.0,522.0,0
40.0,477.0,479.0,3.0,0
41.0,486.0,749.0,264.0,0
42.0,487.0,552.0,66.0,0
43.0,492.0,590.0,99.0,0
44.0,497.0,499.0,3.0,0
45.0,528.0,532.0,5.0,0
46.0,532.0,591.0,60.0,0
47.0,537.0,542.0,6.0,0
48.0,537.0,567.0,31.0,0
49.0,547.0,670.0,124.0,0
50.0,549.0,552.0,4.0,0
51.0,557.0,920.0,364.0,0
52.0,565.0,605.0,41.0,0
53.0,579.0,584.0,6.0,0
54.0,584.0,634.0,51.0,0
55.0,594.0,625.0,32.0,0
56.0,608.0,613.0,6.0,0
57.0,660.0,665.0,6.0,0
58.0,673.0,675.0,3.0,0
59.0,680.0,1014.0,335.0,0
60.0,700.0,704.0,5.0,0
61.0,704.0,710.0,7.0,0
62.0,710.0,715.0,6.0,0
63.0,742.0,820.0,79.0,0
64.0,750.0,1032.0,283.0,0
65.0,775.0,830.0,56.0,0
66.0,784.0,789.0,6.0,0
67.0,786.0,788.0,3.0,0
68.0,793.0,854.0,62.0,0
69.0,794.0,798.0,5.0,0
70.0,795.0,809.0,15.0,0
71.0,821.0,823.0,3.0,0
72.0,843.0,845.0,3.0,0
73.0,843.0,848.0,6.0,0
74.0,843.0,848.0,6.0,0
75.0,868.0,870.0,3.0,0
76.0,880.0,896.0,17.0,0
77.0,893.0,912.0,20.0,0
78.0,895.0,900.0,6.0,0
79.0,913.0,941.0,29.0,0
80.0,920.0,922.0,3.0,0
81.0,921.0,1023.0,103.0,0
82.0,921.0,1779.0,859.0,0
83.0,921.0,1712.0,792.0,0
84.0,929.0,982.0,54.0,0
85.0,944.0,948.0,5.0,0
86.0,954.0,958.0,5.0,0
87.0,991.0,1109.0,119.0,0
88.0,991.0,1208.0,218.0,0
89.0,1015.0,1392.0,378.0,0
90.0,1019.0,1076.0,58.0,0
91.0,1027.0,1050.0,24.0,0
92.0,1033.0,1302.0,270.0,0
93.0,1068.0,1071.0,4.0,0
94.0,1112.0,1208.0,97.0,0
95.0,1145.0,1147.0,3.0,0
96.0,1146.0,1151.0,6.0,0
97.0,1153.0,1155.0,3.0,0
98.0,1156.0,1161.0,6.0,0
99.0,1161.0,1187.0,27.0,0
100.0,1164.0,1166.0,3.0,0
101.0,1182.0,1184.0,3.0,0
102.0,1189.0,1192.0,4.0,0
103.0,1207.0,1227.0,21.0,0
104.0,1209.0,1430.0,222.0,0
105.0,1236.0,1239.0,4.0,0
106.0,1260.0,1263.0,4.0,0
107.0,1266.0,1314.0,49.0,0
108.0,1293.0,1295.0,3.0,0
109.0,1294.0,1325.0,32.0,0
110.0,1300.0,1328.0,29.0,0
111.0,1303.0,1479.0,177.0,0
112.0,1308.0,1336.0,29.0,0
113.0,1314.0,1317.0,4.0,0
114.0,1331.0,1336.0,6.0,0
115.0,1333.0,1335.0,3.0,0
116.0,1339.0,1340.0,2.0,0
117.0,1374.0,1379.0,6.0,0
118.0,1377.0,1380.0,4.0,0
119.0,1385.0,1387.0,3.0,0
120.0,1392.0,1394.0,3.0,0
121.0,1393.0,1743.0,351.0,0
122.0,1394.0,1398.0,5.0,0
123.0,1394.0,1486.0,93.0,0
124.0,1402.0,1411.0,10.0,0
125.0,1408.0,1412.0,5.0,0
126.0,1417.0,1464.0,48.0,0
127.0,1421.0,1423.0,3.0,0
128.0,1425.0,1429.0,5.0,0
129.0,1429.0,1476.0,48.0,0
130.0,1429.0,1569.0,141.0,0
131.0,1431.0,1537.0,107.0,0
132.0,1431.0,1672.0,242.0,0
133.0,1434.0,1439.0,6.0,0
134.0,1444.0,1448.0,5.0,0
135.0,1449.0,1450.0,2.0,0
136.0,1450.0,1452.0,3.0,0
137.0,1452.0,1454.0,3.0,0
138.0,1452.0,1457.0,6.0,0
139.0,1476.0,1480.0,5.0,0
140.0,1480.0,1674.0,195.0,0
141.0,1490.0,1682.0,193.0,0
142.0,1495.0,1497.0,3.0,0
143.0,1510.0,1512.0,3.0,0
144.0,1528.0,1533.0,6.0,0
145.0,1558.0,1561.0,4.0,0
146.0,1564.0,1570.0,7.0,0
147.0,1584.0,1586.0,3.0,0
148.0,1596.0,1601.0,6.0,0
149.0,1604.0,1606.0,3.0,0
150.0,1613.0,1616.0,4.0,0
151.0,1619.0,1621.0,3.0,0
152.0,1639.0,1657.0,19.0,0
153.0,1642.0,1666.0,25.0,0
154.0,1645.0,1651.0,7.0,0
155.0,1651.0,1711.0,61.0,0
156.0,1653.0,1750.0,98.0,0
157.0,1659.0,1665.0,7.0,0
158.0,1661.0,1712.0,52.0,0
159.0,1665.0,1670.0,6.0,0
160.0,1670.0,1709.0,40.0,0
161.0,1672.0,1756.0,85.0,0
162.0,1673.0,1867.0,195.0,0
163.0,1674.0,1678.0,5.0,0
164.0,1675.0,1886.0,212.0,0
165.0,1677.0,1682.0,6.0,0
166.0,1682.0,1718.0,37.0,0
167.0,1693.0,1697.0,5.0,0
168.0,1706.0,1709.0,4.0,0
169.0,1707.0,1738.0,32.0,0
170.0,1710.0,1817.0,108.0,0
171.0,1713.0,1982.0,270.0,0
172.0,1715.0,1741.0,27.0,0
173.0,1732.0,1734.0,3.0,0
174.0,1743.0,1745.0,3.0,0
175.0,1744.0,2050.0,307.0,0
176.0,1745.0,1799.0,55.0,0
177.0,1755.0,1770.0,16.0,0
178.0,1775.0,1778.0,4.0,0
179.0,1780.0,1782.0,3.0,0
180.0,1780.0,2661.0,882.0,0
181.0,1783.0,1806.0,24.0,0
182.0,1785.0,1842.0,58.0,0
183.0,1801.0,1804.0,4.0,0
184.0,1811.0,1858.0,48.0,0
185.0,1817.0,1819.0,3.0,0
186.0,1839.0,1841.0,3.0,0
187.0,1848.0,1852.0,5.0,0
188.0,1851.0,1855.0,5.0,0
189.0,1856.0,1858.0,3.0,0
190.0,1868.0,2054.0,187.0,0
191.0,1872.0,1874.0,3.0,0
192.0,1874.0,1952.0,79.0,0
193.0,1876.0,1878.0,3.0,0
194.0,1882.0,1884.0,3.0,0
195.0,1887.0,2076.0,190.0,0
196.0,1906.0,1981.0,76.0,0
197.0,1919.0,1924.0,6.0,0
198.0,1948.0,1950.0,3.0,0
199.0,1956.0,1959.0,4.0,0
200.0,1958.0,2077.0,120.0,0
201.0,1963.0,1968.0,6.0,0
202.0,1983.0,2116.0,134.0,0
203.0,2040.0,2046.0,7.0,0
204.0,2051.0,2362.0,312.0,0
205.0,2055.0,2294.0,240.0,0
206.0,2057.0,2075.0,19.0,0
207.0,2065.0,2067.0,3.0,0
208.0,2076.0,2170.0,95.0,0
209.0,2077.0,2295.0,219.0,0
210.0,2081.0,2086.0,6.0,0
211.0,2090.0,2100.0,11.0,0
212.0,2117.0,2396.0,280.0,0
213.0,2139.0,2154.0,16.0,0
214.0,2193.0,2196.0,4.0,0
215.0,2295.0,2534.0,240.0,0
216.0,2296.0,2515.0,220.0,0
217.0,2299.0,2396.0,98.0,0
218.0,2310.0,2447.0,138.0,0
219.0,2323.0,2326.0,4.0,0
220.0,2360.0,2404.0,45.0,0
221.0,2363.0,2651.0,289.0,0
222.0,2376.0,2439.0,64.0,0
223.0,2397.0,2769.0,373.0,0
224.0,2411.0,2415.0,5.0,0
225.0,2438.0,2441.0,4.0,0
226.0,2438.0,2510.0,73.0,0
227.0,2441.0,2538.0,98.0,0
228.0,2447.0,2449.0,3.0,0
229.0,2469.0,2475.0,7.0,0
230.0,2472.0,2475.0,4.0,0
231.0,2491.0,2493.0,3.0,0
232.0,2512.0,2539.0,28.0,0
233.0,2515.0,2517.0,3.0,0
234.0,2516.0,2694.0,179.0,0
235.0,2533.0,2652.0,120.0,0
236.0,2535.0,2822.0,288.0,0
237.0,2551.0,2556.0,6.0,0
238.0,2612.0,2711.0,100.0,0
239.0,2619.0,2627.0,9.0,0
240.0,2622.0,2719.0,98.0,0
241.0,2649.0,2737.0,89.0,0
242.0,2652.0,2963.0,312.0,0
243.0,2662.0,2676.0,15.0,0
244.0,2662.0,3450.0,789.0,0
245.0,2679.0,2717.0,39.0,0
246.0,2695.0,2900.0,206.0,0
247.0,2697.0,2736.0,40.0,0
248.0,2701.0,2708.0,8.0,0
249.0,2702.0,2717.0,16.0,0
250.0,2704.0,2783.0,80.0,0
251.0,2709.0,2711.0,3.0,0
252.0,2725.0,2731.0,7.0,0
253.0,2726.0,2728.0,3.0,0
254.0,2734.0,2736.0,3.0,0
255.0,2736.0,2738.0,3.0,0
256.0,2768.0,2770.0,3.0,0
257.0,2770.0,3015.0,246.0,0
258.0,2775.0,2824.0,50.0,0
259.0,2783.0,2831.0,49.0,0
260.0,2785.0,2787.0,3.0,0
261.0,2803.0,2806.0,4.0,0
262.0,2804.0,2807.0,4.0,0
263.0,2823.0,3046.0,224.0,0
264.0,2834.0,2837.0,4.0,0
265.0,2850.0,2853.0,4.0,0
266.0,2860.0,2863.0,4.0,0
267.0,2864.0,2868.0,5.0,0
268.0,2865.0,2868.0,4.0,0
269.0,2867.0,2873.0,7.0,0
270.0,2873.0,2879.0,7.0,0
271.0,2894.0,2899.0,6.0,0
272.0,2894.0,2939.0,46.0,0
273.0,2901.0,3137.0,237.0,0
274.0,2905.0,2917.0,13.0,0
275.0,2915.0,2920.0,6.0,0
276.0,2925.0,2929.0,5.0,0
277.0,2926.0,2929.0,4.0,0
278.0,2937.0,2942.0,6.0,0
279.0,2939.0,2956.0,18.0,0
280.0,2954.0,2959.0,6.0,0
281.0,2956.0,2959.0,4.0,0
282.0,2959.0,2964.0,6.0,0
283.0,2964.0,3284.0,321.0,0
284.0,2968.0,2971.0,4.0,0
285.0,2970.0,2973.0,4.0,0
286.0,2972.0,2975.0,4.0,0
287.0,2999.0,3002.0,4.0,0
288.0,3005.0,3008.0,4.0,0
289.0,3010.0,3082.0,73.0,0
290.0,3016.0,3018.0,3.0,0
291.0,3016.0,3018.0,3.0,0
292.0,3016.0,3336.0,321.0,0
293.0,3019.0,3073.0,55.0,0
294.0,3024.0,3067.0,44.0,0
295.0,3027.0,3071.0,45.0,0
296.0,3047.0,3277.0,231.0,0
297.0,3051.0,3062.0,12.0,0
298.0,3064.0,3068.0,5.0,0
299.0,3078.0,3083.0,6.0,0
300.0,3089.0,3093.0,5.0,0
301.0,3102.0,3104.0,3.0,0
302.0,3106.0,3108.0,3.0,0
303.0,3108.0,3111.0,4.0,0
304.0,3137.0,3163.0,27.0,0
305.0,3138.0,3343.0,206.0,0
306.0,3139.0,3144.0,6.0,0
307.0,3145.0,3159.0,15.0,0
308.0,3154.0,3233.0,80.0,0
309.0,3157.0,3161.0,5.0,0
310.0,3158.0,3195.0,38.0,0
311.0,3161.0,3183.0,23.0,0
312.0,3164.0,3166.0,3.0,0
313.0,3167.0,3170.0,4.0,0
314.0,3191.0,3193.0,3.0,0
315.0,3192.0,3272.0,81.0,0
316.0,3219.0,3287.0,69.0,0
317.0,3235.0,3238.0,4.0,0
318.0,3236.0,3241.0,6.0,0
319.0,3240.0,3245.0,6.0,0
320.0,3240.0,3243.0,4.0,0
321.0,3241.0,3250.0,10.0,0
322.0,3258.0,3260.0,3.0,0
323.0,3278.0,3470.0,193.0,0
324.0,3281.0,3333.0,53.0,0
325.0,3284.0,3308.0,25.0,0
326.0,3285.0,3584.0,300.0,0
327.0,3301.0,3314.0,14.0,0
328.0,3312.0,3315.0,4.0,0
329.0,3314.0,3316.0,3.0,0
330.0,3327.0,3347.0,21.0,0
331.0,3337.0,3777.0,441.0,0
332.0,3340.0,3360.0,21.0,0
333.0,3344.0,3553.0,210.0,0
334.0,3355.0,3357.0,3.0,0
335.0,3364.0,3366.0,3.0,0
336.0,3367.0,3467.0,101.0,0
337.0,3421.0,3423.0,3.0,0
338.0,3440.0,3443.0,4.0,0
339.0,3451.0,4370.0,920.0,0
340.0,3470.0,3487.0,18.0,0
341.0,3471.0,3733.0,263.0,0
342.0,3477.0,3479.0,3.0,0
343.0,3479.0,3481.0,3.0,0
344.0,3509.0,3534.0,26.0,0
345.0,3533.0,3589.0,57.0,0
346.0,3534.0,3539.0,6.0,0
347.0,3536.0,3539.0,4.0,0
348.0,3554.0,3779.0,226.0,0
349.0,3559.0,3563.0,5.0,0
350.0,3571.0,3606.0,36.0,0
351.0,3585.0,3875.0,291.0,0
352.0,3589.0,3591.0,3.0,0
353.0,3589.0,3594.0,6.0,0
354.0,3605.0,3610.0,6.0,0
355.0,3640.0,3646.0,7.0,0
356.0,3640.0,3645.0,6.0,0
357.0,3642.0,3652.0,11.0,0
358.0,3657.0,3660.0,4.0,0
359.0,3660.0,3662.0,3.0,0
360.0,3661.0,3734.0,74.0,0
361.0,3668.0,3671.0,4.0,0
362.0,3688.0,3690.0,3.0,0
363.0,3699.0,3701.0,3.0,0
364.0,3703.0,3723.0,21.0,0
365.0,3713.0,3716.0,4.0,0
366.0,3734.0,3739.0,6.0,0
367.0,3734.0,3979.0,246.0,0
368.0,3737.0,3760.0,24.0,0
369.0,3742.0,3744.0,3.0,0
370.0,3753.0,3782.0,30.0,0
371.0,3754.0,3756.0,3.0,0
372.0,3761.0,3822.0,62.0,0
373.0,3778.0,4163.0,386.0,0
374.0,3780.0,4063.0,284.0,0
375.0,3791.0,3798.0,8.0,0
376.0,3794.0,3796.0,3.0,0
377.0,3819.0,3829.0,11.0,0
378.0,3829.0,3834.0,6.0,0
379.0,3857.0,3860.0,4.0,0
380.0,3867.0,3870.0,4.0,0
381.0,3876.0,4209.0,334.0,0
382.0,3885.0,3918.0,34.0,0
383.0,3896.0,3899.0,4.0,0
384.0,3897.0,3945.0,49.0,0
385.0,3916.0,3917.0,2.0,0
386.0,3920.0,3939.0,20.0,0
387.0,3920.0,3929.0,10.0,0
388.0,3929.0,3932.0,4.0,0
389.0,3947.0,3953.0,7.0,0
390.0,3974.0,4006.0,33.0,0
391.0,3974.0,3979.0,6.0,0
392.0,3977.0,4031.0,55.0,0
393.0,3980.0,4217.0,238.0,0
394.0,3981.0,3998.0,18.0,0
395.0,3999.0,4016.0,18.0,0
396.0,4004.0,4064.0,61.0,0
397.0,4004.0,4007.0,4.0,0
398.0,4015.0,4108.0,94.0,0
399.0,4037.0,4040.0,4.0,0
400.0,4038.0,4041.0,4.0,0
401.0,4043.0,4045.0,3.0,0
402.0,4044.0,4049.0,6.0,0
403.0,4064.0,4272.0,209.0,0
404.0,4066.0,4068.0,3.0,0
405.0,4071.0,4073.0,3.0,0
406.0,4072.0,4077.0,6.0,0
407.0,4074.0,4089.0,16.0,0
408.0,4076.0,4089.0,14.0,0
409.0,4084.0,4087.0,4.0,0
410.0,4087.0,4090.0,4.0,0
411.0,4087.0,4090.0,4.0,0
412.0,4129.0,4166.0,38.0,0
413.0,4133.0,4137.0,5.0,0
414.0,4147.0,4218.0,72.0,0
415.0,4159.0,4161.0,3.0,0
416.0,4162.0,4164.0,3.0,0
417.0,4164.0,4617.0,454.0,0
418.0,4171.0,4221.0,51.0,0
419.0,4172.0,4176.0,5.0,0
420.0,4180.0,4182.0,3.0,0
421.0,4194.0,4199.0,6.0,0
422.0,4194.0,4197.0,4.0,0
423.0,4204.0,4206.0,3.0,0
424.0,4205.0,4220.0,16.0,0
425.0,4210.0,4605.0,396.0,0
426.0,4218.0,4226.0,9.0,0
427.0,4218.0,4395.0,178.0,0
428.0,4223.0,4228.0,6.0,0
429.0,4228.0,4241.0,14.0,0
430.0,4233.0,4328.0,96.0,0
431.0,4241.0,4335.0,95.0,0
432.0,4248.0,4252.0,5.0,0
433.0,4248.0,4253.0,6.0,0
434.0,4257.0,4355.0,99.0,0
435.0,4264.0,4269.0,6.0,0
436.0,4269.0,4315.0,47.0,0
437.0,4270.0,4272.0,3.0,0
438.0,4271.0,4417.0,147.0,0
439.0,4273.0,4549.0,277.0,0
440.0,4275.0,4323.0,49.0,0
441.0,4289.0,4297.0,9.0,0
442.0,4305.0,4307.0,3.0,0
443.0,4306.0,4313.0,8.0,0
444.0,4308.0,4358.0,51.0,0
445.0,4309.0,4355.0,47.0,0
446.0,4322.0,4358.0,37.0,0
447.0,4337.0,4339.0,3.0,0
448.0,4343.0,4349.0,7.0,0
449.0,4349.0,4379.0,31.0,0
450.0,4352.0,4382.0,31.0,0
451.0,4353.0,4406.0,54.0,0
452.0,4360.0,4365.0,6.0,0
453.0,4366.0,4368.0,3.0,0
454.0,4369.0,4384.0,16.0,0
455.0,4371.0,5000.0,630.0,1
456.0,4376.0,4444.0,69.0,0
457.0,4385.0,4435.0,51.0,0
458.0,4387.0,4392.0,6.0,0
459.0,4395.0,4448.0,54.0,0
460.0,4395.0,4411.0,17.0,0
461.0,4396.0,4598.0,203.0,0
462.0,4404.0,4409.0,6.0,0
463.0,4410.0,4452.0,43.0,0
464.0,4410.0,4502.0,93.0,0
465.0,4413.0,4427.0,15.0,0
466.0,4422.0,4447.0,26.0,0
467.0,4431.0,4433.0,3.0,0
468.0,4433.0,4436.0,4.0,0
469.0,4464.0,4538.0,75.0,0
470.0,4467.0,4469.0,3.0,0
471.0,4472.0,4474.0,3.0,0
472.0,4483.0,4507.0,25.0,0
473.0,4520.0,4521.0,2.0,0
474.0,4521.0,4576.0,56.0,0
475.0,4522.0,4527.0,6.0,0
476.0,4529.0,4533.0,5.0,0
477.0,4532.0,4571.0,40.0,0
478.0,4533.0,4545.0,13.0,0
479.0,4535.0,4540.0,6.0,0
480.0,4542.0,4545.0,4.0,0
481.0,4547.0,4567.0,21.0,0
482.0,4550.0,4782.0,233.0,0
483.0,4561.0,4572.0,12.0,0
484.0,4565.0,4567.0,3.0,0
485.0,4566.0,4568.0,3.0,0
486.0,4566.0,4568.0,3.0,0
487.0,4571.0,4623.0,53.0,0
488.0,4583.0,4587.0,5.0,0
489.0,4585.0,4592.0,8.0,0
490.0,4589.0,4660.0,72.0,0
491.0,4589.0,4592.0,4.0,0
492.0,4599.0,4824.0,226.0,0
493.0,4606.0,4617.0,12.0,0
494.0,4606.0,4893.0,288.0,0
495.0,4612.0,4617.0,6.0,0
496.0,4613.0,4675.0,63.0,0
497.0,4618.0,5000.0,383.0,1
498.0,4627.0,4633.0,7.0,0
499.0,4634.0,4639.0,6.0,0
500.0,4646.0,4649.0,4.0,0
501.0,4648.0,4659.0,12.0,0
502.0,4648.0,4652.0,5.0,0
503.0,4654.0,4691.0,38.0,0
504.0,4679.0,4682.0,4.0,0
505.0,4695.0,4700.0,6.0,0
506.0,4705.0,4708.0,4.0,0
507.0,4717.0,4836.0,120.0,0
508.0,4721.0,4724.0,4.0,0
509.0,4725.0,4775.0,51.0,0
510.0,4730.0,4733.0,4.0,0
511.0,4737.0,4837.0,101.0,0
512.0,4744.0,4776.0,33.0,0
513.0,4747.0,4750.0,4.0,0
514.0,4754.0,4811.0,58.0,0
515.0,4754.0,4761.0,8.0,0
516.0,4757.0,4760.0,4.0,0
517.0,4762.0,4765.0,4.0,0
518.0,4764.0,4766.0,3.0,0
519.0,4766.0,4861.0,96.0,0
520.0,4782.0,4784.0,3.0,0
521.0,4783.0,4790.0,8.0,0
522.0,4783.0,5000.0,218.0,1
523.0,4786.0,4807.0,22.0,0
524.0,4791.0,4795.0,5.0,0
525.0,4799.0,4875.0,77.0,0
526.0,4800.0,4833.0,34.0,0
527.0,4806.0,4809.0,4.0,0
528.0,4807.0,4809.0,3.0,0
529.0,4807.0,4811.0,5.0,0
530.0,4811.0,4950.0,140.0,0
531.0,4812.0,4816.0,5.0,0
532.0,4814.0,4819.0,6.0,0
533.0,4825.0,5000.0,176.0,1
534.0,4826.0,4851.0,26.0,0
535.0,4826.0,4865.0,40.0,0
536.0,4827.0,4923.0,97.0,0
537.0,4836.0,4873.0,38.0,0
538.0,4838.0,4848.0,11.0,0
539.0,4842.0,4844.0,3.0,0
540.0,4846.0,4979.0,134.0,0
541.0,4860.0,4878.0,19.0,0
542.0,4862.0,4955.0,94.0,0
543.0,4866.0,4870.0,5.0,0
544.0,4871.0,4895.0,25.0,0
545.0,4872.0,4880.0,9.0,0
546.0,4877.0,4881.0,5.0,0
547.0,4880.0,4891.0,12.0,0
548.0,4884.0,4887.0,4.0,0
549.0,4887.0,4889.0,3.0,0
550.0,4892.0,4894.0,3.0,0
551.0,4894.0,5000.0,107.0,1
