metric,original_1500,current_at_1500,delta_current_minus_original
population_t1500,98.0,106.0,8.0
employment_rate_t1500,0.6836734693877551,0.8773584905660378,0.19368502117828268
active_firms_t1500,6.0,9.0,3.0
realized_sales_t1500,169.0,240.0,71.0
mean_goods_price_t1500,3.912828449874936,4.539150228135892,0.6263217782609556
mean_commercial_rent_t1500,7.823538253262353,4.847644343508516,-2.9758939097538377
founded_firms_by_1500,37.0,142.0,105.0
exited_by_1500,31.0,133.0,102.0
alive_at_1500,6.0,9.0,3.0
median_lifetime_at_1500,62.0,6.0,-56.0
p90_lifetime_at_1500,596.4,248.90000000000006,-347.4999999999999
