firm_id,founded_tick,exit_tick,lifetime_ticks,censored_alive
1,1,1104,1104,0
2,1,1500,1500,1
3,1,545,545,0
4,1,1500,1500,1
5,1,586,586,0
6,1,409,409,0
7,70,135,66,0
8,80,87,8,0
9,123,125,3,0
10,174,323,150,0
11,222,313,92,0
12,230,232,3,0
13,262,323,62,0
14,410,495,86,0
15,410,987,578,0
16,496,500,5,0
17,509,558,50,0
18,539,541,3,0
19,546,1094,549,0
20,555,556,2,0
21,560,621,62,0
22,587,1198,612,0
23,751,753,3,0
24,783,785,3,0
25,933,936,4,0
26,988,1500,513,1
27,1024,1026,3,0
28,1095,1500,406,1
29,1105,1500,396,1
30,1170,1175,6,0
31,1196,1201,6,0
32,1199,1500,302,1
33,1220,1222,3,0
34,1260,1333,74,0
35,1297,1302,6,0
36,1302,1312,11,0
37,1360,1368,9,0
