failure_tick,firm_id,firm_type,pre_revenue_mean,pre_revenue_slope,pre_revenue_cv,pre_sales_mean,pre_sales_slope,pre_sales_cv,pre_capacity_mean,pre_sellthrough_mean,pre_stockout_share,pre_input_scale_mean,pre_unsold_mean,pre_profit_proxy_mean,pre_switch_out,pre_switch_in,pre_net_switch,pre_switch_out_stockout,pre_switch_out_inactive,pre_switch_out_over_budget,pre_switch_out_cheaper_share,cause_label
228,13,6,30.475560754508425,1.1194439000294178,0.2873025100820818,11.0,0.36428571428571427,0.2854189737121547,12.866666666666667,0.8666666666666668,0.4666666666666667,1.0,0.9333333333333333,-17.576060871912553,0,0,0,0,0,0,NaN,stockout_service_failure
249,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.9117647058823529,0.0,0.0,0.058823529411764705,10.647058823529411,-37.39545388322719,0,0,0,0,0,0,NaN,mixed_margin_failure
292,15,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-59.040461373230926,0,0,0,0,0,0,NaN,mixed_margin_failure
309,17,3,203.0345138513868,-0.7308309910934683,0.09791557095542193,28.45,-0.013508442776735451,0.10315503426956028,34.725,0.8419913136509702,0.175,0.9984097885512175,6.125,145.67776198211538,0,0,0,0,0,0,NaN,mixed_margin_failure
314,18,3,166.53105589097686,-1.3711706045947802,0.16418004907184958,24.975,-0.1725140712945591,0.16483700550073577,33.0,0.7811971966205837,0.3,0.9994722878286758,7.825,107.83451260777117,0,0,0,0,0,0,NaN,stockout_service_failure
316,19,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-57.28249967399506,0,0,0,0,0,0,NaN,mixed_margin_failure
330,20,1,85.96323937888383,2.9413309302738826,0.3537327285199084,16.41176470588235,0.4782276546982429,0.3092838997104606,17.08823529411765,0.9603641456582633,0.8823529411764706,0.9663235221806178,0.20588235294117646,62.162047246602896,0,0,0,0,0,0,NaN,stockout_service_failure
349,21,5,56.84314044212387,0.9682314735957162,0.2510734194087053,11.962962962962964,0.20757020757020758,0.25447769081484634,2.4074074074074074,0.9202279202279202,0.8518518518518519,0.18518518518518517,0.5555555555555556,-6.183892211473606,0,0,0,0,0,0,NaN,input_bottleneck_stockout
356,16,2,439.15898837172097,-0.12051941639515594,0.14420358317743057,86.9,0.31388367729831146,0.15848688965370678,104.025,0.8427745381313152,0.175,0.9970793802586,16.575,414.74082101530894,0,0,0,0,0,0,NaN,mixed_margin_failure
362,22,5,123.96252117258551,3.389748874819793,0.31308257528897726,28.61111111111111,0.555984555984556,0.23856078441841008,29.63888888888889,0.9722222222222222,0.9722222222222222,0.9977966516532705,0.0,61.16582161194395,0,0,0,0,0,0,NaN,stockout_service_failure
