tick,firm_type,n_firms,uniq_prices,uniq_prices_r2,min_price_gap,tie_share_r2,mean_sellthrough
1.0,1.0,1,1,1,0.0,0.0,0.0
1.0,2.0,1,1,1,0.0,0.0,0.0
1.0,3.0,1,1,1,0.0,0.0,0.0
1.0,4.0,1,1,1,0.0,0.0,0.0
1.0,5.0,1,1,1,0.0,0.0,0.0
1.0,6.0,1,1,1,0.0,0.0,0.0
2.0,1.0,1,1,1,0.0,0.0,0.21052631578947367
2.0,2.0,1,1,1,0.0,0.0,0.6842105263157895
2.0,3.0,1,1,1,0.0,0.0,0.0
2.0,4.0,1,1,1,0.0,0.0,0.631578947368421
2.0,5.0,1,1,1,0.0,0.0,1.0
2.0,6.0,1,1,1,0.0,0.0,1.0
3.0,1.0,1,1,1,0.0,0.0,0.25
3.0,2.0,1,1,1,0.0,0.0,0.65
3.0,3.0,1,1,1,0.0,0.0,0.0
3.0,4.0,1,1,1,0.0,0.0,0.65
3.0,5.0,1,1,1,0.0,0.0,1.0
3.0,6.0,1,1,1,0.0,0.0,1.0
4.0,1.0,1,1,1,0.0,0.0,0.25
4.0,2.0,1,1,1,0.0,0.0,0.65
4.0,3.0,1,1,1,0.0,0.0,0.0
4.0,4.0,1,1,1,0.0,0.0,0.65
4.0,5.0,1,1,1,0.0,0.0,1.0
4.0,6.0,1,1,1,0.0,0.0,1.0
5.0,1.0,1,1,1,0.0,0.0,0.25
5.0,2.0,1,1,1,0.0,0.0,0.65
5.0,3.0,1,1,1,0.0,0.0,0.0
5.0,4.0,1,1,1,0.0,0.0,0.65
5.0,5.0,1,1,1,0.0,0.0,1.0
5.0,6.0,1,1,1,0.0,0.0,1.0
6.0,1.0,1,1,1,0.0,0.0,0.23809523809523808
6.0,2.0,1,1,1,0.0,0.0,0.6666666666666666
6.0,3.0,1,1,1,0.0,0.0,0.0
6.0,4.0,1,1,1,0.0,0.0,0.6666666666666666
6.0,5.0,1,1,1,0.0,0.0,1.0
6.0,6.0,1,1,1,0.0,0.0,1.0
7.0,1.0,1,1,1,0.0,0.0,0.23809523809523808
7.0,2.0,1,1,1,0.0,0.0,0.6666666666666666
7.0,3.0,1,1,1,0.0,0.0,0.0
7.0,4.0,1,1,1,0.0,0.0,0.6666666666666666
7.0,5.0,1,1,1,0.0,0.0,1.0
7.0,6.0,1,1,1,0.0,0.0,1.0
8.0,1.0,1,1,1,0.0,0.0,0.23809523809523808
8.0,2.0,1,1,1,0.0,0.0,0.6666666666666666
8.0,3.0,1,1,1,0.0,0.0,0.0
8.0,4.0,1,1,1,0.0,0.0,0.6666666666666666
8.0,5.0,1,1,1,0.0,0.0,1.0
8.0,6.0,1,1,1,0.0,0.0,1.0
9.0,1.0,1,1,1,0.0,0.0,0.22727272727272727
9.0,2.0,1,1,1,0.0,0.0,0.6818181818181818
9.0,3.0,1,1,1,0.0,0.0,0.0
9.0,4.0,1,1,1,0.0,0.0,0.6363636363636364
9.0,5.0,1,1,1,0.0,0.0,1.0
9.0,6.0,1,1,1,0.0,0.0,0.9090909090909091
10.0,1.0,1,1,1,0.0,0.0,0.22727272727272727
10.0,2.0,1,1,1,0.0,0.0,0.6818181818181818
10.0,3.0,1,1,1,0.0,0.0,0.0
10.0,4.0,1,1,1,0.0,0.0,0.6363636363636364
10.0,5.0,1,1,1,0.0,0.0,1.0
10.0,6.0,1,1,1,0.0,0.0,0.9090909090909091
11.0,1.0,1,1,1,0.0,0.0,0.22727272727272727
11.0,2.0,1,1,1,0.0,0.0,0.6818181818181818
11.0,3.0,1,1,1,0.0,0.0,0.0
11.0,4.0,1,1,1,0.0,0.0,0.6363636363636364
11.0,5.0,1,1,1,0.0,0.0,1.0
11.0,6.0,1,1,1,0.0,0.0,0.9090909090909091
12.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
12.0,2.0,1,1,1,0.0,0.0,0.6086956521739131
12.0,3.0,1,1,1,0.0,0.0,0.0
12.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
12.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
12.0,6.0,1,1,1,0.0,0.0,0.8695652173913043
13.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
13.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
13.0,3.0,1,1,1,0.0,0.0,0.0
13.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
13.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
13.0,6.0,1,1,1,0.0,0.0,0.9130434782608695
14.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
14.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
14.0,3.0,1,1,1,0.0,0.0,0.0
14.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
14.0,5.0,1,1,1,0.0,0.0,0.8695652173913043
14.0,6.0,1,1,1,0.0,0.0,1.0
15.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
15.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
15.0,3.0,1,1,1,0.0,0.0,0.0
15.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
15.0,5.0,1,1,1,0.0,0.0,0.9130434782608695
15.0,6.0,1,1,1,0.0,0.0,0.9565217391304348
16.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
16.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
16.0,3.0,1,1,1,0.0,0.0,0.0
16.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
16.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
16.0,6.0,1,1,1,0.0,0.0,0.9130434782608695
17.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
17.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
17.0,3.0,1,1,1,0.0,0.0,0.0
17.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
17.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
17.0,6.0,1,1,1,0.0,0.0,0.9130434782608695
18.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
18.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
18.0,3.0,1,1,1,0.0,0.0,0.0
18.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
18.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
18.0,6.0,1,1,1,0.0,0.0,0.9130434782608695
19.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
19.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
19.0,3.0,1,1,1,0.0,0.0,0.0
19.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
19.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
19.0,6.0,1,1,1,0.0,0.0,0.9130434782608695
20.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
20.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
20.0,3.0,1,1,1,0.0,0.0,0.0
20.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
20.0,5.0,1,1,1,0.0,0.0,0.8695652173913043
20.0,6.0,1,1,1,0.0,0.0,1.0
21.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
21.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
21.0,3.0,1,1,1,0.0,0.0,0.0
21.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
21.0,5.0,1,1,1,0.0,0.0,0.8695652173913043
21.0,6.0,1,1,1,0.0,0.0,1.0
22.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
22.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
22.0,3.0,1,1,1,0.0,0.0,0.0
22.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
22.0,5.0,1,1,1,0.0,0.0,1.0
22.0,6.0,1,1,1,0.0,0.0,0.8695652173913043
23.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
23.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
23.0,3.0,1,1,1,0.0,0.0,0.0
23.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
23.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
23.0,6.0,1,1,1,0.0,0.0,0.9130434782608695
24.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
24.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
24.0,3.0,1,1,1,0.0,0.0,0.0
24.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
24.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
24.0,6.0,1,1,1,0.0,0.0,0.9130434782608695
25.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
25.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
25.0,3.0,1,1,1,0.0,0.0,0.0
25.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
25.0,5.0,1,1,1,0.0,0.0,0.9130434782608695
25.0,6.0,1,1,1,0.0,0.0,0.9565217391304348
26.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
26.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
26.0,3.0,1,1,1,0.0,0.0,0.0
26.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
26.0,5.0,1,1,1,0.0,0.0,0.8695652173913043
26.0,6.0,1,1,1,0.0,0.0,1.0
27.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
27.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
27.0,3.0,1,1,1,0.0,0.0,0.0
27.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
27.0,5.0,1,1,1,0.0,0.0,0.9130434782608695
27.0,6.0,1,1,1,0.0,0.0,0.9565217391304348
28.0,1.0,1,1,1,0.0,0.0,0.21739130434782608
28.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
28.0,3.0,1,1,1,0.0,0.0,0.0
28.0,4.0,1,1,1,0.0,0.0,0.6086956521739131
28.0,5.0,1,1,1,0.0,0.0,0.8695652173913043
