firm_id,tick,n_rows,input_gap_share,demand_gap_share,realized_share,mean_input_scale,soldout_rate,mean_capacity,mean_committed,mean_sales
7,119,3,0.3225806451612903,0.6774193548387096,0.0,0.6666666666666666,0.0,10.333333333333334,7.0,0.0
8,126,3,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,11.0,7.333333333333333,0.0
9,128,4,0.23809523809523808,0.7619047619047619,0.0,0.75,0.0,10.5,8.0,0.0
10,153,3,0.3225806451612903,0.6774193548387096,0.0,0.6666666666666666,0.0,10.333333333333334,7.0,0.0
11,161,3,0.3225806451612903,0.6774193548387096,0.0,0.6666666666666666,0.0,10.333333333333334,7.0,0.0
12,192,3,0.3225806451612903,0.6774193548387096,0.0,0.6666666666666666,0.0,10.333333333333334,7.0,0.0
14,218,3,0.3225806451612903,0.6774193548387096,0.0,0.6666666666666666,0.0,10.333333333333334,7.0,0.0
15,233,3,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,8.0,5.333333333333333,0.0
6,239,40,0.004513961788788578,0.011442368255301281,0.9932815452445938,0.9981500181631947,0.775,238.15,239.275,236.55
5,250,40,0.005599472990777339,0.002086078173034695,1.003403601229688,0.9986104272500175,0.975,227.7,228.95,228.475
13,263,40,0.0,0.31343283582089554,0.6882255389718076,1.0,0.1,15.075,15.1,10.375
19,269,2,0.5,0.5,0.0,1.0,0.0,11.0,5.5,0.0
4,325,40,0.0007232749891508751,0.7150296542745552,0.28699551569506726,0.9995822724113118,0.0,172.825,173.175,49.6
21,327,5,0.2,0.23076923076923078,0.5692307692307692,1.0,0.2,13.0,10.4,7.4
3,329,40,0.0,1.016282225237449,0.0,1.0,0.0,55.275,56.175,0.0
18,330,40,0.0027624309392265192,0.3383977900552486,0.669889502762431,0.999691893209661,0.05,36.2,36.5,24.25
20,334,38,0.0237741456166419,0.01188707280832095,0.9643387815750372,0.969868414582658,0.868421052631579,17.710526315789473,17.289473684210527,17.07894736842105
24,336,1,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0
25,362,25,0.043227665706051875,0.2507204610951009,0.7060518731988472,0.9982072205085671,0.56,13.88,13.28,9.8
26,367,23,0.043478260869565216,0.2608695652173913,0.6956521739130435,1.0,0.4782608695652174,12.0,11.478260869565217,8.347826086956522
28,372,2,0.5,0.4230769230769231,0.07692307692307693,1.0,0.0,13.0,6.5,1.0
30,383,2,0.5,0.5,0.0,1.0,0.0,13.0,6.5,0.0
29,399,26,0.04263565891472868,0.1996124031007752,0.7577519379844961,0.9928187464524622,0.8076923076923077,19.846153846153847,19.0,15.038461538461538
32,408,2,0.5,0.5,0.0,1.0,0.0,12.0,6.0,0.0
33,421,5,0.2,0.8,0.0,1.0,0.0,12.0,9.6,0.0
34,429,2,0.5,0.5,0.0,1.0,0.0,12.0,6.0,0.0
27,435,40,0.0071151358344113845,0.18111254851228978,0.8208279430789134,0.9977741993128996,0.675,38.65,38.725,31.725
35,437,2,0.5,0.5,0.0,1.0,0.0,13.0,6.5,0.0
36,437,1,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0
37,443,2,0.5,0.5,0.0,1.0,0.0,11.0,5.5,0.0
16,468,40,0.006169909824394874,0.0029663028001898433,0.9952539155196962,0.9975131937807781,0.9,210.7,210.325,209.7
40,479,2,0.5416666666666666,0.5416666666666666,0.0,1.0,0.0,12.0,6.5,0.0
17,485,40,0.0060312204351939454,0.0,1.0086329233680227,0.9982275154079826,1.0,211.4,213.225,213.225
44,499,2,0.5,0.5,0.0,1.0,0.0,12.0,6.0,0.0
45,532,4,0.24489795918367346,0.7551020408163265,0.0,1.0,0.0,12.25,9.25,0.0
38,540,40,0.008456659619450317,0.27167019027484146,0.7230443974630021,1.0,0.375,23.65,23.525,17.1
47,542,5,0.2,0.8,0.0,1.0,0.0,12.0,9.6,0.0
50,552,3,0.3225806451612903,0.6774193548387096,0.0,0.6666666666666666,0.0,10.333333333333334,7.0,0.0
42,552,40,0.004317789291882556,0.05699481865284974,0.9412780656303973,0.9997803946190146,0.725,28.95,28.9,27.25
22,556,40,0.003988035892323031,0.6595214356929212,0.3601694915254237,0.9970986835868209,0.0,100.3,102.275,36.125
48,567,30,0.03358778625954199,0.18931297709923664,0.7770992366412214,0.998674676382894,0.4,21.833333333333332,21.1,16.966666666666665
53,584,5,0.2,0.8,0.0,1.0,0.0,11.0,8.8,0.0
43,590,40,0.0036652412950519244,0.17287721441661577,0.8234575442883323,0.9974785477457371,0.175,40.925,40.775,33.7
46,591,40,0.004962779156327543,0.31265508684863524,0.6823821339950372,0.9969634518825691,0.25,30.225,30.075,20.625
52,605,40,0.024305555555555556,0.2916666666666667,0.6840277777777778,1.0,0.275,14.4,14.05,9.85
56,613,5,0.2,0.8,0.0,1.0,0.0,11.0,8.8,0.0
55,625,31,0.03232323232323232,0.13535353535353536,0.8323232323232324,0.9651220478782485,0.8709677419354839,15.96774193548387,15.451612903225806,13.290322580645162
54,634,40,0.004878048780487805,0.11382113821138211,0.8813008130081301,0.9971593913420035,0.45,15.375,15.3,13.55
57,665,5,0.2,0.8,0.0,1.0,0.0,12.0,9.6,0.0
49,670,40,0.004234026173979984,0.26674364896073904,0.7336412625096228,0.9985307579563084,0.4,64.95,64.975,47.65
58,675,2,0.5,0.5,0.0,1.0,0.0,11.0,5.5,0.0
23,679,40,0.0008250825082508251,0.9991749174917491,0.0,0.9996952186387226,0.0,60.6,60.55,0.0
60,704,4,0.25,0.75,0.0,0.75,0.0,13.0,9.75,0.0
61,710,6,0.15625,0.84375,0.0,1.0,0.0,10.666666666666666,9.0,0.0
62,715,5,0.2,0.8,0.0,1.0,0.0,14.0,11.2,0.0
41,749,40,0.004979253112033195,0.01839557399723375,0.9775933609958506,0.9984422946170379,0.6,180.75,180.025,176.7
67,788,2,0.5,0.5,0.0,1.0,0.0,13.0,6.5,0.0
66,789,5,0.2,0.8,0.0,1.0,0.0,11.0,8.8,0.0
69,798,4,0.25,0.75,0.0,1.0,0.0,12.0,9.0,0.0
70,809,14,0.0794392523364486,0.2383177570093458,0.6822429906542056,0.9934598787327756,0.5,15.285714285714286,14.071428571428571,10.428571428571429
63,820,40,0.0028653295128939827,0.15950334288443171,0.8404966571155683,0.9982299936076661,0.275,26.175,26.175,22.0
71,823,2,0.5,0.5,0.0,1.0,0.0,12.0,6.0,0.0
65,830,40,0.005928853754940711,0.09980237154150198,0.8942687747035574,0.9978006805592301,0.75,25.3,25.15,22.625
72,845,2,0.5,0.5,0.0,1.0,0.0,12.0,6.0,0.0
73,848,5,0.18867924528301888,0.8113207547169812,0.0,1.0,0.0,10.6,8.6,0.0
74,848,5,0.2,0.8,0.0,1.0,0.0,11.0,8.8,0.0
68,854,40,0.00927643784786642,0.09461966604823747,0.8961038961038961,0.9963348721110048,0.925,26.95,26.7,24.15
75,870,2,0.5,0.4166666666666667,0.08333333333333333,1.0,0.0,12.0,6.0,1.0
76,896,16,0.07142857142857142,0.16326530612244897,0.7653061224489796,0.994953315247026,0.8125,12.25,11.375,9.375
78,900,5,0.2,0.8,0.0,1.0,0.0,14.0,11.2,0.0
77,912,19,0.057432432432432436,0.24662162162162163,0.6959459459459459,1.0,0.7368421052631579,15.578947368421053,14.68421052631579,10.842105263157896
1,920,40,0.0020050125313283208,0.8731829573934837,0.13032581453634084,1.0,0.0,99.75,100.1,13.0
51,920,40,0.001447178002894356,0.7197298601061264,0.27882296189097927,0.9994345871201356,0.0,155.475,155.25,43.35
80,922,2,0.4782608695652174,0.5217391304347826,0.0,1.0,0.0,11.5,6.0,0.0
79,941,28,0.038181818181818185,0.1690909090909091,0.7927272727272727,0.9941877489257293,0.6785714285714286,19.642857142857142,18.892857142857142,15.571428571428571
85,948,4,0.2631578947368421,0.7368421052631579,0.0,1.0,0.0,14.25,10.5,0.0
86,958,4,0.25,0.75,0.0,1.0,0.0,13.0,9.75,0.0
84,982,40,0.007874015748031496,0.23847019122609675,0.7671541057367829,0.9970999795093934,0.625,22.225,22.35,17.05
39,990,40,0.008596868283696654,0.028860914952410194,0.9739023641387781,0.9950049067191046,0.575,81.425,81.65,79.3
59,1014,40,0.0,1.0,0.0,1.0,0.0,64.925,64.925,0.0
81,1023,40,0.014227642276422764,0.15921409214092141,0.8265582655826558,0.9950625260547991,0.75,36.9,36.375,30.5
64,1032,40,0.007496823379923761,0.009021601016518424,0.9952986022871665,0.9952054969626019,0.85,196.75,197.6,195.825
91,1050,23,0.07234042553191489,0.4978723404255319,0.4297872340425532,1.0,0.0,10.217391304347826,9.478260869565217,4.391304347826087
93,1071,3,0.3333333333333333,0.6666666666666666,0.0,0.8858512354338854,0.0,13.0,8.666666666666666,0.0
90,1076,40,0.007226738934056007,0.11472448057813911,0.8834688346883469,0.9982872660538323,0.825,27.675,27.625,24.45
87,1109,40,0.005952380952380952,0.08234126984126984,0.9166666666666666,0.994119482788831,0.3,25.2,25.175,23.1
95,1147,2,0.5,0.5,0.0,1.0,0.0,12.0,6.0,0.0
96,1151,5,0.2,0.8,0.0,1.0,0.0,11.0,8.8,0.0
97,1155,2,0.5,0.5,0.0,1.0,0.0,11.0,5.5,0.0
98,1161,5,0.2,0.8,0.0,1.0,0.0,11.0,8.8,0.0
100,1166,2,0.5,0.5,0.0,1.0,0.0,11.0,5.5,0.0
101,1184,2,0.5,0.5,0.0,1.0,0.0,14.0,7.0,0.0
99,1187,26,0.04180064308681672,0.15755627009646303,0.8006430868167203,1.0,0.5769230769230769,11.961538461538462,11.461538461538462,9.576923076923077
102,1192,3,0.3225806451612903,0.6774193548387096,0.0,0.6666666666666666,0.0,10.333333333333334,7.0,0.0
88,1208,40,0.0048562300319488815,0.02722044728434505,0.9736741214057508,0.9987585152095392,0.45,195.625,195.8,190.475
103,1227,20,0.06557377049180328,0.19262295081967212,0.7459016393442623,0.9822108915678681,0.55,12.2,11.45,9.1
105,1239,3,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,11.0,7.333333333333333,0.0
106,1263,3,0.32142857142857145,0.6428571428571429,0.03571428571428571,1.0,0.0,9.333333333333334,6.333333333333333,0.3333333333333333
108,1295,2,0.5,0.5,0.0,1.0,0.0,14.0,7.0,0.0
92,1302,40,0.005355776587605203,0.16392501912777352,0.8588370313695486,0.9955797742021295,0.425,130.7,133.675,112.25
107,1314,40,0.0113314447592068,0.11992445703493862,0.8687440982058546,0.9965077327453713,0.8,26.475,26.175,23.0
113,1317,3,0.3333333333333333,0.6666666666666666,0.0,0.9257029752097434,0.0,11.0,7.333333333333333,0.0
109,1325,31,0.03416856492027335,0.42369020501138954,0.5444191343963554,1.0,0.3870967741935484,14.161290322580646,13.709677419354838,7.709677419354839
110,1328,28,0.037209302325581395,0.18372093023255814,0.7790697674418605,1.0,0.6071428571428571,15.357142857142858,14.785714285714286,11.964285714285714
115,1335,2,0.5,0.4230769230769231,0.07692307692307693,1.0,0.0,13.0,6.5,1.0
114,1336,5,0.2,0.8,0.0,1.0,0.0,12.0,9.6,0.0
112,1336,28,0.038306451612903226,0.19153225806451613,0.7701612903225806,1.0,0.7857142857142857,17.714285714285715,17.035714285714285,13.642857142857142
116,1340,1,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0
117,1379,5,0.18867924528301888,0.8113207547169812,0.0,1.0,0.0,10.6,8.6,0.0
118,1380,3,0.3225806451612903,0.6774193548387096,0.0,0.6666666666666666,0.0,10.333333333333334,7.0,0.0
119,1387,2,0.47619047619047616,0.5238095238095238,0.0,1.0,0.0,10.5,5.5,0.0
89,1392,40,0.0,1.00732421875,0.0,1.0,0.0,51.2,51.575,0.0
120,1394,2,0.5,0.5,0.0,1.0,0.0,12.0,6.0,0.0
122,1398,4,0.25,0.75,0.0,1.0,0.0,12.0,9.0,0.0
124,1411,9,0.10309278350515463,0.31958762886597936,0.5773195876288659,0.8888888888888888,0.0,10.777777777777779,9.666666666666666,6.222222222222222
125,1412,4,0.25,0.75,0.0,1.0,0.0,12.0,9.0,0.0
127,1423,2,0.4827586206896552,0.5172413793103449,0.0,1.0,0.0,14.5,7.5,0.0
128,1429,4,0.25,0.75,0.0,1.0,0.0,11.0,8.25,0.0
104,1430,40,0.007349081364829396,0.003543307086614173,1.0,0.9967781973543502,0.925,190.5,191.175,190.5
133,1439,5,0.2,0.8,0.0,1.0,0.0,13.0,10.4,0.0
134,1448,4,0.25,0.75,0.0,1.0,0.0,12.0,9.0,0.0
135,1450,1,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0
136,1452,2,0.5,0.5,0.0,1.0,0.0,10.0,5.0,0.0
137,1454,2,0.5,0.5,0.0,1.0,0.0,13.0,6.5,0.0
138,1457,5,0.2,0.8,0.0,1.0,0.0,14.0,11.2,0.0
126,1464,40,0.010227272727272727,0.1375,0.8522727272727273,0.998012014574341,0.575,22.0,21.775,18.75
129,1476,40,0.013719512195121951,0.19054878048780488,0.8094512195121951,0.9953321851941004,0.8,16.4,16.4,13.275
111,1479,40,0.006295519071719541,0.015306752252808295,0.9893840266633749,0.9967114699124355,0.7,202.525,203.475,200.375
139,1480,4,0.25,0.75,0.0,1.0,0.0,11.0,8.25,0.0
142,1497,2,0.5,0.5,0.0,1.0,0.0,11.0,5.5,0.0
143,1512,2,0.5,0.4583333333333333,0.041666666666666664,1.0,0.0,12.0,6.0,0.5
144,1533,5,0.20634920634920634,0.7936507936507936,0.0,1.0,0.0,12.6,10.0,0.0
131,1537,40,0.004153686396677051,0.14849428868120457,0.8546209761163032,0.998012014574341,0.225,24.075,24.15,20.575
145,1561,3,0.3225806451612903,0.6774193548387096,0.0,0.6666666666666666,0.0,10.333333333333334,7.0,0.0
130,1569,40,0.005016722408026756,0.33988294314381273,0.6551003344481605,0.9986076819729875,0.125,59.8,59.5,39.175
146,1570,6,0.15625,0.84375,0.0,1.0,0.0,10.666666666666666,9.0,0.0
147,1586,2,0.5,0.5,0.0,1.0,0.0,12.0,6.0,0.0
148,1601,5,0.18867924528301888,0.8113207547169812,0.0,1.0,0.0,10.6,8.6,0.0
149,1606,2,0.48,0.52,0.0,1.0,0.0,12.5,6.5,0.0
150,1616,3,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,8.0,5.333333333333333,0.0
151,1621,2,0.5,0.5,0.0,1.0,0.0,13.0,6.5,0.0
154,1651,6,0.15625,0.84375,0.0,1.0,0.0,10.666666666666666,9.0,0.0
152,1657,18,0.06312292358803986,0.21262458471760798,0.7242524916943521,0.9377188721688283,0.7777777777777778,16.72222222222222,15.666666666666666,12.11111111111111
157,1665,6,0.15625,0.84375,0.0,1.0,0.0,10.666666666666666,9.0,0.0
153,1666,24,0.046753246753246755,0.3090909090909091,0.6441558441558441,1.0,0.6666666666666666,16.041666666666668,15.291666666666666,10.333333333333334
159,1670,5,0.2,0.8,0.0,1.0,0.0,17.0,13.6,0.0
132,1672,40,0.007615421227986673,0.0034507377439314613,0.997144217039505,0.9973776777766112,0.875,210.1,210.225,209.5
140,1674,40,0.009064327485380117,0.004970760233918129,0.9970760233918129,0.9953759158981278,0.85,171.0,171.35,170.5
163,1678,4,0.25,0.75,0.0,1.0,0.0,11.0,8.25,0.0
141,1682,40,0.0024681201151789387,0.46359522830111066,0.5438091320444262,0.9995078782993012,0.2,60.775,61.225,33.05
165,1682,5,0.2,0.8,0.0,1.0,0.0,12.0,9.6,0.0
167,1697,4,0.25,0.75,0.0,1.0,0.0,8.0,6.0,0.0
160,1709,39,0.024581005586592177,0.2346368715083799,0.740782122905028,0.9989805202945339,0.5641025641025641,22.94871794871795,22.384615384615383,17.0
168,1709,3,0.3225806451612903,0.6774193548387096,0.0,0.6666666666666666,0.0,10.333333333333334,7.0,0.0
155,1711,40,0.0066857688634192934,0.1384909264565425,0.8586437440305635,1.0,0.575,26.175,26.1,22.475
83,1712,40,0.0005867683731846853,0.7143904943523544,0.2850227372744609,0.999729547462344,0.0,170.425,170.325,48.575
158,1712,40,0.005070993914807302,0.35598377281947263,0.6389452332657201,0.997259997049692,0.175,24.65,24.525,15.75
166,1718,36,0.042826552462526764,0.28051391862955033,0.6766595289079229,0.9939625539424802,0.2777777777777778,12.972222222222221,12.416666666666666,8.777777777777779
173,1734,2,0.5,0.5,0.0,1.0,0.0,13.0,6.5,0.0
169,1738,31,0.04065040650406504,0.2032520325203252,0.7560975609756098,0.9885231558502375,0.5161290322580645,11.903225806451612,11.419354838709678,9.0
172,1741,26,0.03990610328638498,0.19248826291079812,0.7676056338028169,0.9968762878548347,0.5,16.384615384615383,15.73076923076923,12.576923076923077
121,1743,40,0.0004149377593360996,1.008713692946058,0.0,1.0,0.0,60.25,60.775,0.0
