tick,distance,mean_commercial_rent,mean_residential_rent,n_commercial_lots,n_residential_lots,cbd_x,cbd_y
500,0,1.0,1.1255,1,1,6,2
500,1,1.0,1.4021,1,4,6,2
500,2,1.0,1.4979,3,7,6,2
500,3,1.0,1.3639,5,9,6,2
500,4,1.0,1.3025,6,11,6,2
500,5,1.0,1.5466,7,13,6,2
500,6,1.0,1.3039,8,14,6,2
500,7,1.0,1.3457,8,13,6,2
500,8,1.0,1.8197,8,12,6,2
500,9,1.0,1.1067,8,12,6,2
500,10,0.0,1.0811,0,12,6,2
500,11,0.0,1.0,0,11,6,2
500,12,0.0,1.0,0,9,6,2
500,13,0.0,1.0,0,7,6,2
500,14,0.0,1.0,0,5,6,2
500,15,0.0,1.0,0,3,6,2
500,16,0.0,1.0,0,1,6,2
1000,0,1.2108,2.4844,1,1,6,6
1000,1,1.0,2.2547,4,4,6,6
1000,2,1.0,1.9515,8,8,6,6
1000,3,1.0,1.9139,12,12,6,6
1000,4,1.0,1.5274,16,16,6,6
1000,5,1.0,1.072,15,20,6,6
1000,6,1.0,1.3568,6,22,6,6
1000,7,0.0,1.0172,0,20,6,6
1000,8,0.0,1.0,0,16,6,6
1000,9,0.0,1.0,0,12,6,6
1000,10,0.0,1.0,0,8,6,6
1000,11,0.0,1.0,0,4,6,6
1000,12,0.0,1.0,0,1,6,6
1500,0,1.0412,2.6667,1,1,6,5
1500,1,1.0,2.3769,4,4,6,5
1500,2,1.0,2.0691,8,8,6,5
1500,3,1.0038,1.7093,11,12,6,5
1500,4,1.0,1.6129,13,16,6,5
1500,5,1.0,1.2758,13,19,6,5
1500,6,1.0,1.4575,11,20,6,5
1500,7,1.0,1.1513,3,19,6,5
1500,8,0.0,1.0,0,16,6,5
1500,9,0.0,1.0,0,12,6,5
1500,10,0.0,1.0,0,8,6,5
1500,11,0.0,1.0,0,5,6,5
1500,12,0.0,1.0,0,3,6,5
1500,13,0.0,1.0,0,1,6,5
2000,0,1.0031,1.1724,1,1,8,3
2000,1,1.0,1.7532,4,4,8,3
2000,2,1.0,1.8604,8,8,8,3
2000,3,1.0,1.7759,11,11,8,3
2000,4,1.0,1.4893,10,13,8,3
2000,5,1.0,1.6108,11,14,8,3
2000,6,1.0,1.5776,12,14,8,3
2000,7,1.0,1.4844,10,14,8,3
2000,8,1.0,1.0978,8,14,8,3
2000,9,1.0,1.1736,6,13,8,3
2000,10,1.0,1.0629,4,11,8,3
2000,11,1.0,1.0672,4,9,8,3
2000,12,1.0,1.0,2,7,8,3
2000,13,0.0,1.0,0,5,8,3
2000,14,0.0,1.0,0,3,8,3
2000,15,0.0,1.0,0,2,8,3
2000,16,0.0,1.0,0,1,8,3
2500,0,1.0,1.0,1,1,2,1
2500,1,1.0,1.0,2,3,2,1
2500,2,1.0,1.322,4,4,2,1
