id,from_lot_id,to_lot_id,from_x,from_y,to_x,to_y,euclidean_dist,road_length,congested_length,capacity,usage_last_tick
1,102,61,6,9,1,6,5.8310,1.9437,1.9437,145.77,0
2,49,61,1,5,1,6,1.0000,0.3333,0.3333,25.00,0
3,37,49,1,4,1,5,1.0000,0.3333,0.3333,25.00,0
4,20,28,8,2,4,3,4.1231,1.3744,1.3744,103.08,0
5,8,20,8,1,8,2,1.0000,0.3333,0.3334,25.00,0
6,7,8,7,1,8,1,1.0000,0.3333,0.3333,25.00,0
7,6,7,6,1,7,1,1.0000,0.3333,0.3333,25.00,0
8,75,80,3,7,8,7,5.0000,1.6667,1.6668,125.00,0
9,5,6,5,1,6,1,1.0000,0.3333,0.3333,25.00,0
10,4,5,4,1,5,1,1.0000,0.3333,0.3333,25.00,0
11,115,95,7,10,11,8,4.4721,1.4907,1.4907,111.80,0
12,3,4,3,1,4,1,1.0000,0.3333,0.3333,25.00,0
13,2,3,2,1,3,1,1.0000,0.3333,0.3333,25.00,0
14,1,2,1,1,2,1,1.0000,0.3333,0.3333,25.00,0
15,69,116,9,6,8,10,4.1231,1.3744,1.3745,103.08,0
16,9,8,9,1,8,1,1.0000,0.3333,0.3333,25.00,0
17,10,9,10,1,9,1,1.0000,0.3333,0.3333,25.00,0
18,18,100,6,2,4,9,7.2801,2.4267,2.4267,182.00,0
19,11,10,11,1,10,1,1.0000,0.3333,0.3333,25.00,0
20,12,11,12,1,11,1,1.0000,0.3333,0.3333,25.00,0
21,13,1,1,2,1,1,1.0000,0.3333,0.3333,25.00,0
22,113,45,5,10,9,4,7.2111,2.4037,2.4037,180.28,0
23,14,13,2,2,1,2,1.0000,0.3333,0.3333,25.00,0
24,15,14,3,2,2,2,1.0000,0.3333,0.3333,25.00,0
25,75,42,3,7,6,4,4.2426,1.4142,1.4142,106.07,0
26,16,28,4,2,4,3,1.0000,0.3333,0.3333,25.00,0
27,17,5,5,2,5,1,1.0000,0.3333,0.3333,25.00,0
28,19,20,7,2,8,2,1.0000,0.3333,0.3333,25.00,0
29,102,82,6,9,10,7,4.4721,1.4907,1.4907,111.80,0
30,21,20,9,2,8,2,1.0000,0.3333,0.3333,25.00,0
31,22,10,10,2,10,1,1.0000,0.3333,0.3333,25.00,0
32,30,94,6,3,10,8,6.4031,2.1344,2.1344,160.08,0
33,23,22,11,2,10,2,1.0000,0.3333,0.3333,25.00,0
34,24,12,12,2,12,1,1.0000,0.3333,0.3333,25.00,0
35,25,37,1,3,1,4,1.0000,0.3333,0.3333,25.00,0
36,104,87,8,9,3,8,5.0990,1.6997,1.6997,127.48,0
37,26,14,2,3,2,2,1.0000,0.3333,0.3333,25.00,0
38,27,28,3,3,4,3,1.0000,0.3333,0.3333,25.00,0
39,61,101,1,6,5,9,5.0000,1.6667,1.6667,125.00,0
40,29,30,5,3,6,3,1.0000,0.3333,0.3335,25.00,0
41,31,30,7,3,6,3,1.0000,0.3333,0.3333,25.00,0
42,32,20,8,3,8,2,1.0000,0.3333,0.3339,25.00,0
43,92,32,8,8,8,3,5.0000,1.6667,1.6668,125.00,0
44,33,32,9,3,8,3,1.0000,0.3333,0.3334,25.00,0
45,34,22,10,3,10,2,1.0000,0.3333,0.3333,25.00,0
46,65,69,5,6,9,6,4.0000,1.3333,1.3335,100.00,0
47,35,23,11,3,11,2,1.0000,0.3333,0.3333,25.00,0
48,36,35,12,3,11,3,1.0000,0.3333,0.3333,25.00,0
49,38,37,2,4,1,4,1.0000,0.3333,0.3333,25.00,0
50,104,51,8,9,3,5,6.4031,2.1344,2.1344,160.08,0
